question_text,question_type,option1,option1_explanation,option2,option2_explanation,option3,option3_explanation,option4,option4_explanation,option5,option5_explanation,option6,option6_explanation,option7,option7_explanation,correct_answers,overall_explanation
What is the plugin name for the Guided Application Creator?,single-correct,com.glide.guided-app-creator,Incorrect. This is not the exact plugin name.,com.glide.sn-guided-app-creator,Correct. This is the official plugin name for Guided Application Creator.,glide.sn-guided-app-creator,Incorrect. This is not the correct plugin identifier.,com.glide.sn-guided-creator-app,Incorrect. This is not the correct plugin name.,,,,,,,2,The Guided Application Creator plugin is identified as com.glide.sn-guided-app-creator.
Which script type does not always execute on the server side?,single-correct,Business Rule,Incorrect. Business Rules always run on the server side.,UI Action,Correct. UI Actions can run on client or server side depending on configuration.,Script Includes,Incorrect. Script Includes run on the server side.,Script Action,Incorrect. Script Actions run on the server side.,,,,,,,2,"UI Actions can execute on the client or server side, whereas other scripts listed always run server side."
Which of the following is NOT a recognized annotation type in ServiceNow?,single-correct,Text,Incorrect. This is a valid annotation type.,Info Box Red,Correct. Info Box Red is not a standard annotation type.,Section Details,Incorrect. This is a valid annotation type.,Line Separator,Incorrect. This is a valid annotation type.,Info Box Yellow,Incorrect. This is a valid annotation type.,Section Separator,Incorrect. This is a valid annotation type.,Info Box Blue,Incorrect. This is a valid annotation type.,2,"Info Box Red is not a recognized annotation type, unlike other listed options."
Which feature in the Script Debugger allows you to narrow down script issues by filtering searches?,single-correct,Script Tracer,Incorrect. Script Tracer tracks script execution but does not filter searches.,Script Filter,Incorrect. This is not a standard feature name.,Session Tracer,"Incorrect. Session Tracer tracks user sessions, not script filtering.",Script Search,Correct. Script Search filters debugging output to help locate issues.,,,,,,,4,Script Search helps filter debugging output to quickly identify script problems.
Which conditions must be true for a user to access a record in an application table? Note: There are 3 correct answers to this question.,multiple-correct,The user has one of the roles specified in the required roles related list,Correct. The user must have one of the required roles.,Conditions configured in the access controls must evaluate to true,Correct. Access control conditions must be met.,Matching access controls for the records evaluate to true,Incorrect. This is a vague statement and not a separate condition.,Scripts configured in the access control must evaluate to true,Correct. Access control scripts must also evaluate to true.,,,,,,,"1,2,4","To grant access, conditions, scripts, and user roles defined in access controls must all evaluate to true."
What is the recommended way to add instructions to a form in ServiceNow?,single-correct,Form Annotations,Correct. Form Annotations provide inline instructions directly on forms.,Context menu or UI Action,"Incorrect. These are for actions, not instructions.",Populated read only field,Incorrect. This is not a best practice for instructions.,Related links to wiki pages,Incorrect. This is indirect and less user-friendly.,,,,,,,1,Form Annotations are the best practice for adding clear instructions on forms.
Which aspect is NOT true regarding email notifications?,single-correct,Who,Incorrect. 'Who' defines recipients and is a key part of notifications.,How,"Correct. 'How' is not a configurable aspect of email notifications; 'Who', 'When', and 'What' are.",What,Incorrect. 'What' defines the content of the notification.,When,Incorrect. 'When' defines timing and triggers.,,,,,,,2,"Email notifications are defined by who receives them, when they are sent, and what content they include; 'How' is not a configuration aspect."
Which method is used to simulate mobile device testing in ServiceNow?,single-correct,$t.do,Incorrect. This is not used for mobile emulation.,$tablet.do,"Incorrect. This is used for tablet emulation, not mobile.",$mobile.do,Incorrect. This is not a valid method.,$m.do,Correct. $m.do is used to emulate mobile devices.,,,,,,,4,$m.do is the correct method to emulate a mobile device for testing purposes.
What are application files in a ServiceNow application?,single-correct,Artifacts comprising the ServiceNow application,Correct. Application files are the components that make up an application.,An xml export of the applications table records,"Incorrect. This describes data export, not application files.",csv files containing data imported into an application,"Incorrect. CSV files are data files, not application files.",XML exports of an application export set,"Incorrect. Export sets are for data export, not application files.",,,,,,,1,Application files are the various artifacts that constitute the ServiceNow application.
Which of the following is NOT a valid report type in ServiceNow?,single-correct,Trend,Incorrect. Trend is a valid report type.,Line,Correct. 'Line' is not a standalone report type; it is a subtype of chart.,List,Incorrect. List is a valid report type.,Chart,Incorrect. Chart is a valid report type.,,,,,,,2,'Line' is not a distinct report type but a subtype of chart reports.
Which of the following are core activities of a Workflow? Note: There are 3 correct answers to this question.,multiple-correct,Notifications,Correct. Notifications are used to communicate during workflows.,Test,Incorrect. Testing is not a workflow activity.,Conditions,Correct. Conditions control workflow logic.,Service Catalog,Incorrect. Service Catalog is a separate module.,Utilities,Incorrect. Utilities are not core workflow activities.,Approvals,Correct. Approvals are a core workflow activity.,Subflows,Incorrect. Subflows are reusable components but not core activities.,"1,3,6","Core workflow activities include Approvals, Conditions, and Notifications which control process flow and communication."
Which statement is true about homepages on mobile devices?,single-correct,There are no homepages available on mobile,Incorrect. Mobile homepages do exist.,They are the same as desktop homepages with the delete option,Incorrect. Delete option is not available on mobile.,They are similar to desktop homepages but without the delete option,Correct. Mobile homepages resemble desktop but lack some features like delete.,They are identical to desktop homepages in every way,Incorrect. Mobile homepages have some feature differences.,,,,,,,3,Mobile homepages are similar to desktop but with limited features such as no delete option.
Which statement about inbound email processing in ServiceNow is NOT true?,single-correct,"If automatic user creation is disabled, the Guest user is impersonated",Incorrect. This is true behavior.,"If no user match is found, the email is sent to the Inbox Junk folder",Correct. Emails without user matches are not sent to Junk but handled differently.,"If a match is found, the user is impersonated for inbound action execution",Incorrect. This is true.,Inbound Action scripts can reference the user using methods such as gs.getUserName(),Incorrect. This is true.,,,,,,,2,Emails without user matches are not sent to Junk but may be processed differently; other statements are true.
Which records track cross-scope applications or scripts requesting access to application resources?,single-correct,Access control level records,Incorrect. These control access but do not track cross-scope requests.,Caller tracking records,Incorrect. Not a standard record type.,Cross-scope access records,Correct. These records track cross-scope access requests.,Restricted caller access records,Incorrect. Not a standard record type.,,,,,,,3,Cross-scope access records are used to track requests for access across application scopes.
Which of the following is NOT a valid state for a scheduled job in ServiceNow?,single-correct,Running,Incorrect. Running is a valid state.,Error,Incorrect. Error is a valid state.,Ready,Incorrect. Ready is a valid state.,Queued,Incorrect. Queued is a valid state.,Waiting for approval,Correct. Scheduled jobs do not have a 'Waiting for approval' state.,,,,,5,'Waiting for approval' is not a recognized state for scheduled jobs in ServiceNow.
Which user experience options are available in Guided Application Creator? Note: There are 2 correct answers to this question.,multiple-correct,Classic,Incorrect. Classic is not an option in Guided Application Creator.,Tablet,Incorrect. Tablet is not a listed option.,Workspace,Correct. Workspace is a supported UX option.,Desktop,Incorrect. Desktop is not a specific UX option here.,Mobile,Correct. Mobile is a supported UX option.,,,,,"3,5","Mobile and Workspace are valid UX options in Guided Application Creator, while Classic, Tablet, and Desktop are not."
Which of the following is NOT an authentication method used by REST APIs?,single-correct,Basic Auth,Incorrect. Basic Auth is a common REST API authentication method.,OAuth 2.0,Incorrect. OAuth 2.0 is a widely used authentication protocol.,Mutual authentication using protocol profiles,Incorrect. Mutual authentication is a valid method.,CIM,"Incorrect. CIM is not an authentication method but a model; however, it is not used for REST API authentication.",JDBC,"Correct. JDBC is a database connectivity method, not an API authentication method.",,,,,5,"JDBC is not an authentication method for REST APIs, unlike Basic Auth and OAuth 2.0."
Which database operation cannot be configured in an Async Business Rule when the rule is in a different scope than the table?,single-correct,Update,Incorrect. Update operations are allowed.,Insert,Incorrect. Insert operations are allowed.,Delete,Incorrect. Delete operations are allowed.,Query,Correct. Query operations are not allowed in Async Business Rules across scopes.,,,,,,,4,Async Business Rules in different scopes cannot perform query operations as part of their configuration.
How can a developer extract data from the response body after invoking a REST web service? Note: There are 3 correct answers to this question.,multiple-correct,Use the Convert Response Body wizard to translate the response into an object,Correct. This wizard helps convert response bodies to usable objects.,Click the Convert Response Body button to convert the response,Incorrect. There is no such button.,Use the XMLDocument2 Script Include to parse the XML,"Incorrect. XMLDocument2 is an API, not a Script Include.",Use the XMLDocument2 API to extract data from XML formatted responses,Correct. XMLDocument2 API is used to parse XML responses.,Use the JSON API to convert JSON formatted responses to a JavaScript object,Correct. JSON API is used for parsing JSON responses.,,,,,"1,4,5","Developers can parse REST responses using XMLDocument2 API for XML, JSON API for JSON, and the Convert Response Body wizard."
What mechanism protects applications by restricting access to application files and data?,single-correct,ACLs,Incorrect. ACLs protect data but not application files specifically.,Application Scope,Correct. Application Scope isolates and protects application files and data.,Roles,Incorrect. Roles control user permissions but do not protect application files.,,,,,,,,,2,Application Scope is the primary mechanism for protecting application files and data by isolating them.
What does the code search feature in Studio enable?,single-correct,Searching in your application,Correct. It allows searching across all files within the current application.,Search from a list of applications,Incorrect. Code search is scoped to the current application.,Searching in all applications,Incorrect. It does not search across all applications.,Searching in a business rule,Incorrect. This is too narrow; code search covers the whole application.,,,,,,,1,Code search in Studio enables searching through all code files within the current application.
What are the two core base tables from which all other tables extend in ServiceNow?,single-correct,incident and cmdb_rel_ci,Incorrect. These are not base tables.,incident and cmdb_ci,Incorrect. These are extended tables.,task and cmdb,Correct. task and cmdb are the foundational base tables.,task and cmdb_model,Incorrect. cmdb_model is not a base table.,,,,,,,3,task and cmdb are the two core base tables from which other tables extend.
Which of the following is NOT an action supported by Studio?,single-correct,Download only the required session logs,Correct. Studio does not support selective downloading of session logs.,Integrate with source control,Incorrect. Studio supports source control integration.,Format code indentation with JS Beautify,Incorrect. Studio supports code formatting.,Enable context menu options to modify data,Incorrect. Studio supports context menu options.,,,,,,,1,Studio does not provide functionality to download only required session logs.
Which scenario is NOT appropriate for using a Scheduled Script Execution (Scheduled Job)?,single-correct,Running a cleanup script on the last day of every month,Incorrect. This is a valid use case.,Running a client-side script at the same time every day,"Correct. Scheduled jobs run server-side scripts, not client-side.",Querying the database daily for unassigned records,Incorrect. This is a valid use case.,Sending weekly email reminders,Incorrect. This is a valid use case.,,,,,,,2,Scheduled Script Executions cannot run client-side scripts; they are for server-side automation.
What is the primary purpose of Integration Hub in ServiceNow?,single-correct,Activity in workflow designer to integrate 3rd party applications,Incorrect. This describes a workflow activity but not Integration Hub's full purpose.,Enables execution of third-party APIs as part of a flow when specific events occur,Correct. Integration Hub facilitates integration with external systems via APIs.,Custom application from ServiceNow store used for importing data,Incorrect. This does not describe Integration Hub.,,,,,,,,,2,Integration Hub enables flows to interact with third-party APIs triggered by events.
Which API methods are used for working with datetime in a scoped application?,single-correct,GlideSystem,Incorrect. GlideSystem provides general system methods but not datetime specific.,GlideDateTime,Correct. GlideDateTime provides methods for datetime manipulation.,gs.nowDateTime(),Incorrect. This is not a valid method.,GlideRecord,Incorrect. GlideRecord is for database operations.,,,,,,,2,GlideDateTime API is used for datetime operations in scoped applications.
Which module allows debugging of security rules in ServiceNow?,single-correct,System Security > Debugging > Debug Security Rules,Correct. This is the correct module path for security rule debugging.,System Security > Session Debug > Debug Security Rules,Incorrect. This is not the correct module.,System Diagnostics > Debugging > Debug Security Rules,Incorrect. This path is incorrect.,System Diagnostics > Session Debug > Debug Security Rules,Incorrect. This is not the correct module.,Access Control > Debugging > Debug Security Rule,Incorrect. This is not a valid module path.,,,,,1,The module System Security > Debugging > Debug Security Rules is used for debugging security rules.
Which module is used to create a user for the Automated Test Framework?,single-correct,Create Role,"Incorrect. This module is for roles, not users.",User Creation,Incorrect. This is not a standard module name.,Create a User,Correct. This module is used to create users for ATF.,Create Group,Incorrect. This module is for groups.,,,,,,,3,The 'Create a User' module is used to create users for Automated Test Framework purposes.
Which method returns the sys_id of the currently logged-in user in a business rule?,single-correct,g_form.getUserSysID(),Incorrect. This is not a valid method.,g_form.getUserID(),Incorrect. g_form methods are client-side and not available in business rules.,gs.getUserID(),Correct. gs.getUserID() returns the sys_id of the current user.,gs.getUserSysID(),Incorrect. This method does not exist.,,,,,,,3,gs.getUserID() is the correct method to get the sys_id of the logged-in user in server-side scripts.
Which variables are NOT available in all Business Rules? Note: There are 2 correct answers to this question.,multiple-correct,previous,Incorrect. previous is available in before and after Business Rules.,GlideSystem,"Correct. GlideSystem (gs) is available, but the variable named 'GlideSystem' is not.",current,Incorrect. current is always available.,g_scratchpad,"Correct. g_scratchpad is only available in UI Policies and Client Scripts, not all Business Rules.",,,,,,,"2,4",g_scratchpad and a variable named 'GlideSystem' are not universally available in all Business Rules.
Which action is NOT permitted when managing global application files?,single-correct,Move an application file between global applications,Incorrect. This is allowed.,Add files from global scope to a global application,Incorrect. This is allowed.,Remove files from a global application,Incorrect. This is allowed.,Move application files into or out of scoped applications,Correct. Moving files into or out of scoped applications is not allowed.,,,,,,,4,"Files cannot be moved into or out of scoped applications, preserving scope boundaries."
The getCurrentDomainID() method belongs to which scoped class?,single-correct,ScopedDCManager,Incorrect. This class is unrelated.,Scoped GlideSession,Correct. getCurrentDomainID() is part of the Scoped GlideSession class.,Scoped Domain,Incorrect. This is not a class.,GlideRecord,Incorrect. GlideRecord does not have this method.,,,,,,,2,getCurrentDomainID() is a method of the Scoped GlideSession class.
Which HTTP method is NOT supported by the ServiceNow REST API?,single-correct,PATCH,Incorrect. PATCH is supported.,POST,Incorrect. POST is supported.,PUT,Incorrect. PUT is supported.,COPY,Correct. COPY is not a supported REST API method.,GET,Incorrect. GET is supported.,DELETE,Incorrect. DELETE is supported.,,,4,COPY is not a standard HTTP method supported by ServiceNow REST APIs.
Which application type is least suitable to run on the ServiceNow platform?,single-correct,Virtual Reality Gaming application,Correct. VR gaming requires specialized graphics and performance not suited for ServiceNow.,Facilities Management application,Incorrect. This is suitable for ServiceNow.,A meeting room scheduling application,Incorrect. This is suitable for ServiceNow.,Billing & Cost Management application,Incorrect. This is suitable for ServiceNow.,,,,,,,1,ServiceNow is not designed for high-performance VR gaming applications.
Which API provides methods for translating text into multiple languages?,single-correct,Dynamic Result Answer,Incorrect. This is unrelated.,Genius Result Answer,Incorrect. This is unrelated.,Dynamic Translation,Correct. Dynamic Translation API supports multilingual text translation.,Genius Translation,Incorrect. This is not a recognized API.,,,,,,,3,Dynamic Translation API provides multilingual translation capabilities.
Which of the following is NOT a method of the GlideRecord API?,single-correct,addOrQuery(),Incorrect. This is a valid method.,addQuery(),Incorrect. This is a valid method.,addEncodedQuery(),Incorrect. This is a valid method.,addAndQuery(),Correct. addAndQuery() is not a GlideRecord method.,query(),Incorrect. This is a valid method.,,,,,4,addAndQuery() is not a valid GlideRecord API method.
Which statement is true about managing applications purchased from the ServiceNow Store?,single-correct,There are separate entitlements for application customizations,Correct. Customizations require separate entitlements.,Applications that belong to other organizations can be changed,Incorrect. This is restricted.,Applications that belong to other organizations can be customized,Incorrect. Customization is limited.,Customizations cannot revert back to the base system application,Incorrect. Some customizations can be reverted.,,,,,,,1,Customizations of Store applications require separate entitlements and are controlled.
"When evaluating Access Controls, ServiceNow evaluates matches in which order?",single-correct,From the most generic match to the most specific match,Incorrect. The order is the opposite.,Only for matches on the current table,Incorrect. It considers table hierarchy.,From the most specific match to the most generic match,Correct. ServiceNow evaluates access controls starting with the most specific.,Only for matches on the current field,Incorrect. It evaluates multiple levels.,,,,,,,3,Access controls are evaluated from the most specific to the most generic to determine access.
Which of the following can be used to add a report to a Homepage?,single-correct,Gauge,"Incorrect. Gauges are specific report types, not homepage components.",Gadget,Correct. Gadgets are widgets that display reports on homepages.,Catalog,Incorrect. Catalogs are unrelated.,Tag,"Incorrect. Tags are metadata, not homepage components.",,,,,,,2,Gadgets are used to place reports on homepages.
Which role is required to access the Guided Application Creator?,single-correct,sn_developer.app_creator,Incorrect. This is not the correct role.,sn_gac.app_creator,Incorrect. This is not a valid role.,sn_app_creator.app_creator,Correct. This is the role needed to access Guided Application Creator.,sn_g_app_creator.app_creator,Incorrect. This is not a valid role.,,,,,,,3,The role sn_app_creator.app_creator grants access to the Guided Application Creator.
Which option in Table configuration specifies the table from which it extends?,single-correct,Extends,Correct. The 'Extends' field indicates the parent table.,Extended By,Incorrect. This shows tables that extend the current table.,Can be Extended,Incorrect. This is not a standard option.,Extensible,Incorrect. This indicates if the table can be extended.,,,,,,,1,'Extends' specifies the parent table from which the current table inherits.
Which system property must be set to true to enable log points for debugging scripts?,single-correct,glide.ui.js_can_debug,Incorrect. This enables client-side debugging.,glide.debugger.log.ui,Correct. This property enables log points in the debugger UI.,glide.debug.log_point,Incorrect. This is not a valid property.,com.glide.index_suggestion.debug,Incorrect. This is unrelated to log points.,,,,,,,2,Setting glide.debugger.log.ui to true enables log points in script debugging.
What best describes a metric in ServiceNow reporting?,single-correct,A metric is a report gauge used on homepages to display real-time data,"Incorrect. Gauges are visual components, not metrics.",A comparative measurement used to report the effectiveness of workflows and SLAs,"Incorrect. Metrics focus on time, not comparison.",A metric is used to measure and evaluate the effectiveness of IT service management processes,Incorrect. This is a broad statement; metrics specifically measure time.,A time measurement used to report the effectiveness of workflows and SLAs,Correct. Metrics measure time durations to evaluate performance.,,,,,,,4,Metrics in ServiceNow are time measurements used to assess workflows and SLA effectiveness.
Which syntax correctly adds dynamic content to a notification's HTML message?,single-correct,$short_description,Incorrect. This does not specify the record context.,$current.short_description,Incorrect. This syntax is invalid for dynamic content.,${short_description},Incorrect. This lacks the 'current' object reference.,current.short_description,"Incorrect. This is plain text, not dynamic syntax.",${current.short_description},Correct. This syntax inserts the current record's short description dynamically.,,,,,5,The syntax ${current.short_description} correctly inserts dynamic content in notifications.
"In security rule debugging, what does the blue color code signify?",single-correct,Passed,Incorrect. This is not the specific meaning of blue.,Failed,Incorrect. This is not represented by blue.,Access denied,Incorrect. Access denied is shown differently.,Access granted,Correct. Blue indicates that access was granted.,Indicates the ACL is already in the cache and does not need to be re-evaluated,Incorrect. This is unrelated.,,,,,4,"In security rule debugging, blue color indicates that access was granted."
Which utility helps verify if field names in an Import Set match those in the target table?,single-correct,Business Service Management Map,Incorrect. This is unrelated.,Transform Maps,Incorrect. Transform Maps define how data is transformed but do not verify field names.,Auto Map Matching Fields,Correct. This utility assists in mapping fields during import.,CI Relationship Builder,Incorrect. This is unrelated to import field mapping.,,,,,,,3,Auto Map Matching Fields utility helps ensure field names align during data import.
"When editing a field label on a child table in Form Designer, where is the label updated?",single-correct,All tables,Incorrect. Changes do not propagate to all tables.,Child table,Correct. Label changes on a child table affect only that table.,Base table,Incorrect. Base table labels remain unchanged.,Parent table,Incorrect. Parent table labels are not affected.,,,,,,,2,Editing a field label on a child table updates the label only for that child table.
Which of the following methods can an application use to react when an Event occurs?,single-correct,Email Notification,Incorrect. Email Notifications are triggered by events but are not a direct method for an application to respond programmatically.,Scheduled Job,Incorrect. Scheduled Jobs run at scheduled times and are not triggered by events.,UI Policy,Incorrect. UI Policies control form behavior on the client side and do not respond to events.,Script Action,Correct. Script Actions are used to respond to events by executing server-side scripts.,,,,,,,4,"Applications respond to events primarily through Script Actions, which allow execution of server-side scripts when an event is generated."
"In Flow Designer, how are variables accessed within the data panel?",single-correct,Newly generated icons,"Incorrect. Variables are represented as data pills, not icons.",Data pills,Correct. Data pills represent flow variables and are used to pass data between actions.,Scratchpad variables,"Incorrect. Scratchpad variables are used in scripting contexts, not in Flow Designer data panels.",New tabs,Incorrect. Variables are not accessed via tabs in the data panel.,,,,,,,2,"Flow variables are accessed as data pills in the Flow Designer data panel, enabling easy data manipulation and transfer."
What mechanism controls user access to Application menus and modules?,single-correct,Roles,Correct. Roles determine which users can see and access specific menus and modules.,Access controls,"Incorrect. Access controls restrict data and record access, not menu visibility.",Client Scripts,Incorrect. Client Scripts run on the client side and do not control menu access.,Application Rules,Incorrect. Application Rules is not a standard mechanism for controlling menu access.,,,,,,,1,"User roles are used to control access to application menus and modules, ensuring users only see what they are authorized to use."
Which method is used to obtain a system property value?,single-correct,gs.getProperty(),Correct. gs.getProperty() retrieves the value of a system property.,gs.getAppProperty(),Incorrect. This method does not exist for retrieving system properties.,g_form.getProperty(),Incorrect. g_form methods are client-side and do not retrieve system properties.,g_form.getAppProperty(),Incorrect. This is not a valid method.,,,,,,,1,The gs.getProperty() method is the standard server-side method to retrieve system property values.
