Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18
"An enterprise is migrating a multi-tiered e-commerce application to Oracle Cloud Infrastructure (OCI). The application architecture includes: • Web Frontend: Highly unpredictable traffic with seasonal spikes. • Application Layer: Moderate, predictable load with occasional batch jobs. • Database Layer: Critical, stable workload requiring high availability. • Dev/Test Environment: Non-production, intermittent usage for QA. The company aims to minimize costs without impacting performance or availability. Considering OCI compute pricing models, which approach best aligns with cost optimization and workload characteristics?",Multiple Choice,"Deploy On-Demand Instances for the Web Frontend, Reserved Instances for the Application Layer, Reserved Instances for the Database Layer, and Always Free Resources for Dev/Test.","✔ Web Frontend → On-Demand / Spot: Supports unpredictable traffic, flexible pricing, Spot acceptable if workload is fault-tolerant. • Application Layer → Reserved / On-Demand: Predictable moderate load favors Reserved for cost savings; On-Demand works if batch jobs are intermittent. • Database Layer → Reserved: Stable, mission-critical workload benefits from Reserved pricing. • Dev/Test → Always Free: Intermittent usage; free tier reduces costs. • Reference: OCI Compute Pricing Overview","Use Spot Instances for the Web Frontend, On-Demand Instances for the Application Layer, Reserved Instances for the Database Layer, and On-Demand Instances for Dev/Test","❌ Spot is okay for fault-tolerant workloads, but Web Frontend requires minimal interruption; Dev/Test can use Always Free to reduce cost. • Classic exam trap: assuming all On-Demand is needed for Dev/Test.","Deploy On-Demand Instances for the Web Frontend, On-Demand Instances for the Application Layer, Reserved Instances for the Database Layer, and Always Free Resources for Dev/Test","✔ Same as above — supports unpredictable frontend, predictable application, critical DB, and free Dev/Test",Deploy Reserved Instances for all layers including Dev/Test to maximize long-term savings,"❌ Reserved is cost-efficient for predictable workloads, not for highly variable Web Frontend or intermittent Dev/Test. Over-provisioning leads to unnecessary cost.","Use Spot Instances for the Web Frontend, Reserved Instances for Application Layer, Reserved Instances for Database Layer, and Always Free Resources for Dev/Test.","•	Web Frontend → On-Demand / Spot: Supports unpredictable traffic, flexible pricing, Spot acceptable if workload is fault-tolerant.
•	Application Layer → Reserved / On-Demand: Predictable moderate load favors Reserved for cost savings; On-Demand works if batch jobs are intermittent.
•	Database Layer → Reserved: Stable, mission-critical workload benefits from Reserved pricing.
•	Dev/Test → Always Free: Intermittent usage; free tier reduces costs.
•	Reference: OCI Compute Pricing Overview",,,"1,3,5",Match compute pricing models to workload types: Unpredictable → On-Demand or Spot; Predictable → Reserved; Critical DB → Reserved; Dev/Test → Always Free. Avoid assuming Reserved is always cheapest for all layers.,"Getting Started with OCI, Core OCI Services, Governance and Administration, Cost Management",
"Under the Oracle Cloud Infrastructure (OCI) Shared Security Model, which two responsibilities are primarily managed by the customer to maintain security and compliance best practices?",Multiple Choice,Configuring Network Security Rules (NSGs and Security Lists),"✔ Customers are responsible for securing network traffic via NSGs, Security Lists, and firewall rules. • Reference: OCI Security Overview – Customer Responsibilities",Ensuring Physical Security of OCI Data Centers,❌ This is Oracle’s responsibility. Customers do not control access to the data center facility. • Exam trap: Confusing physical security with network or OS-level security.,Managing Database User Accounts and Privileges,"✔ Customers control database users, roles, and privileges, enforcing application-level security. • Reference: OCI Database Security Best Practices",Maintaining OCI Service Compliance Certifications,"❌ Oracle ensures that OCI services meet certifications like ISO 27001, SOC 2. Customers rely on these certifications but do not manage them.",Patching and Updating the Operating System of Customer-Managed Instances,"❌ Only applies to customer-managed instances (IaaS); not all customers’ workloads may require OS patching, so while partially correct in context, the exam focuses on broader security responsibilities like access and application-level security. Potential exam trap: conflating instance management with shared security model.",Hardware Lifecycle Management of OCI Compute Hosts,❌ Oracle owns and maintains all underlying hardware. Customers cannot modify or manage compute hardware.,"1,3","OCI Shared Security Model: Oracle secures infrastructure and physical assets, while customers secure data, identities, applications, and network traffic. Always differentiate between physical/hardware responsibilities (Oracle) and logical/application/network responsibilities (Customer).","Security Services, Governance and Administration",
"In Oracle Cloud Infrastructure (OCI), which IAM feature allows administrators to assign precise permissions to users, restricting what actions they can perform in specific services according to their responsibilities?",Multiple Choice,Identity Federation,Enables users to sign in with external identity providers (like Microsoft AD or SSO).\nDoes not control granular permissions per job function.\nClassic exam trap: confusing access authentication with authorization.,Service Limits,Defines maximum resource usage (quotas) for services.\nDoes not define user permissions or actions.,Custom Policies,Define granular access control based on user job functions or roles.\nPolicies are written in the OCI policy language to allow or deny specific actions on specific resources.\nReference: OCI IAM Documentation – Policies,Compartments,"Organize and isolate resources, but do not assign user-level permissions by role.",Dynamic Groups,"Allows policies to apply to a set of compute resources rather than users.\nOften confused with Custom Policies, but Dynamic Groups do not define user actions.",,,3,Custom Policies = granular control of user actions in OCI services based on role/job function.\nDo not confuse authentication (Identity Federation) with authorization (Custom Policies).\nUnderstand the exam trap of Dynamic Groups vs. Custom Policies.,Security Services → Identity and Access Management (IAM),
"You want to extend your company’s data center into Oracle Cloud Infrastructure (OCI) and require a reliable, high-bandwidth, private connection to your OCI resources. Which OCI service should you choose to achieve this?",Multiple Choice,OCI VPN Connect,Uses IPSec over the public internet\nSuitable for smaller workloads or temporary connections\nExam trap: Appears similar to private connection but traffic goes over public internet,OCI FastConnect,"Provides dedicated, private, high-bandwidth connectivity from on-premises to OCI\nSupports consistent network performance for enterprise workloads\nReference: Oracle OCI FastConnect Documentation",OCI Dynamic Routing Gateway (DRG),DRG is used to connect a VCN to on-premises networks but requires VPN Connect or FastConnect to carry traffic\nExam trap: Candidates may think DRG alone provides private connectivity,OCI Service Gateway,Provides access to OCI public services (like Object Storage) from a VCN without using internet\nNot a private connection to on-premises,,,,,2,"FastConnect = private, dedicated link for hybrid networks.\nVPN Connect = over public internet, less reliable.\nDRG or gateways alone do not create private connections.\nRemember: The exam often traps candidates with DRG + VPN vs FastConnect.",Core OCI Services → Networking → Hybrid Connectivity,
"In Oracle Cloud Infrastructure (OCI), a company needs to synchronize transactional data between its on-premises Oracle Database and Oracle Autonomous Database in near real-time. Which OCI service is specifically designed to meet this requirement?",Multiple Choice,Oracle Data Safe,"Used for database security, auditing, and sensitive data discovery.\nNot designed for real-time data replication.\nExam trap: Candidates often confuse “data services” with replication tools.",Oracle Data Integration Service,Supports batch ETL processes for integrating datasets.\nNot suitable for near real-time transactional data replication.,Oracle GoldenGate,"Provides real-time, high-performance data replication across heterogeneous databases.\nSupports both on-premises to cloud and cloud-to-cloud replication.\nOfficial Oracle Reference: Oracle GoldenGate for Cloud Integration",Oracle Event Hub,Event streaming service (Apache Kafka compatible) for ingesting and processing events.\nDoes not perform database-level replication.,Oracle API Gateway,Manages and secures API traffic.\nNot related to database replication.,,,3,"Remember: For real-time data replication between databases in OCI, Oracle GoldenGate is the correct service.\nAvoid confusing it with batch ETL or streaming services, which do not replicate transactional data in real-time.","Getting Started with OCI, Core OCI Services, Security Services, Governance and Administration",
"When considering Oracle Cloud Infrastructure’s compute offerings, which of the following is a primary differentiator of OCI’s compute services compared to standard virtualized cloud instances?",Multiple Choice,Bare Metal Compute Instances,"OCI’s bare metal servers provide single-tenant, high-performance compute, giving full access to hardware without hypervisor overhead.\nThis is a key differentiator from standard virtual machines in other clouds.\nReference: OCI Compute Overview",Auto-Scaling Virtual Desktop Solutions,"OCI provides auto-scaling but virtual desktops are not a core differentiator of compute services.\nExam trap: Misleading option mentioning 'auto-scaling,' which exists in all clouds.",Multi-Tenant Shared Compute Nodes,"Incorrect — OCI emphasizes single-tenant bare metal as a differentiator, not shared multi-tenant nodes.\nExam trap: Many cloud providers use multi-tenant virtual machines; this is not unique.",File-Based Storage-Optimized Compute,Incorrect — OCI compute is not primarily differentiated by storage type; compute differentiation is bare metal.\nExam trap: Conflates compute with storage capabilities.,,,,,1,"OCI differentiates itself by offering bare metal servers for compute — single-tenant, high performance, and no hypervisor layer.\nAvoid traps that mention virtual desktops, multi-tenant nodes, or storage optimizations as compute differentiators.","Core OCI Services, Compute Services",
Your company wants to monitor and control Oracle Cloud Infrastructure (OCI) costs across multiple departments and projects. Which OCI features can you use to effectively manage budgets and track spending?,Multiple Choice,Cost Tracking Tags,"Tags allow categorization of resources by project, team, or environment.\nCosts can be tracked and reported accurately using these tags.\nReference: OCI Tagging Documentation",Budget Alerts,OCI Budgets allow setting thresholds and sending alerts when spending approaches limits.\nReference: OCI Budget Documentation,Resource Usage Caps,OCI does not support hard resource limits for cost control.\nCommon exam trap: candidates assume you can 'cap' spending at the resource level.\nIncorrect,Unlimited Free Tier,"Free Tier only applies to specific resources, not a cost management tool.\nMisconception: 'free' ≠ 'budget control.'\nIncorrect",Monthly Subscription Plans,OCI mostly uses pay-as-you-go pricing; subscriptions do not automatically enforce budgets.\nIncorrect,,,"1,2",Use Cost Tracking Tags to categorize and track spending.\nUse Budget Alerts to monitor and prevent unexpected costs.\nOCI does not provide hard resource usage caps or unlimited free resources as a cost-control mechanism.,Governance and Administration – Cost Management & Budget Control,
You are architecting an OCI-based web application that must handle fluctuating workloads without manual intervention. Which OCI Compute feature should you implement to ensure that the number of compute instances increases or decreases automatically based on demand?,Multiple Choice,Dedicated Virtual Machine Host,"Provides dedicated hardware for VMs\nDoes not support automatic scaling\nExam trap: 'dedicated' may seem flexible, but it’s fixed capacity",Bare Metal Instances,"Offers full hardware resources without a hypervisor\nCannot dynamically adjust the number of instances automatically\nMisconception: Bare metal = high performance, but no auto-scaling",Auto Scaling Configuration,"Automatically adjusts the number of instances in an instance pool based on metrics (CPU, memory, custom)\nIdeal for fluctuating workloads and cost optimization\nReference: OCI Auto Scaling Documentation",Compute Cluster Network,"Networking feature for low-latency, high-throughput cluster communication\nNot related to compute scaling\nClassic trap: candidates confuse 'cluster' with auto-scaling",Flexible GPU Compute Shape,Specialized compute shape for GPU workloads\nDoes not automatically scale instances\nOnly adjusts shape if manually reconfigured,,,3,Auto Scaling Configuration is the only OCI compute feature that dynamically adjusts instance count in response to workload metrics.\nAlways associate instance pools + auto-scaling for exam questions about elasticity and scalability.,"Getting Started with OCI, Core OCI Services, Compute, Architecture Patterns",
 You need to run a high-performance computing (HPC) workload on Oracle Cloud Infrastructure (OCI) that requires direct access to the hardware for custom kernel modules and specialized drivers. Which OCI Compute option should you choose?,Multiple Choice,Virtual Machine (VM) Instance,Provides OS-level access but still runs on a virtualized environment. Cannot directly load custom kernel modules in some cases. Classic exam trap: thinking VMs give the same level of hardware control as bare metal.,Bare Metal Instance,"Provides full hardware-level access with root privileges. Supports installation of custom drivers, kernel modules, and specialized software. Official Oracle Reference: OCI Compute Bare Metal Instances",Container Instance,"Runs applications inside containers with pre-configured OS environment. No access to install custom OS drivers or kernel modules. Often confused with VM because it can run software, but OS-level control is limited.",OCI Functions,"Serverless, event-driven compute. No OS-level access, suitable only for lightweight functions.",Oracle Autonomous Linux,"Fully managed OS by Oracle, cannot install custom drivers or modify the kernel.",,,2,"Use Bare Metal Instances when you need complete OS control, direct hardware access, or custom drivers. Containers, Functions, or Autonomous services are fully managed; they do not allow kernel-level or driver-level customization.",Core OCI Services – Compute Options,
" You are designing an Oracle Cloud Infrastructure (OCI) network for a multi-tier application. To ensure proper traffic control, isolation, and efficient routing, you need to divide your Virtual Cloud Network into smaller logical units. What is the official OCI term for these logical network segments?",Multiple Choice,Network Slice,Not an OCI-defined term. Could confuse candidates with networking “slices” in other cloud providers.,Subnet,"OCI’s official unit for dividing a VCN is a Subnet. Enables isolation, routing, and security policy application at a granular level. Reference: OCI Documentation – Subnets",Virtual Segment,Generic sounding; OCI does not use this terminology. Misleading option to test your attention to official docs.,Network Partition,"Sounds correct but in OCI, partitioning refers to storage or database sharding, not network subnets.",Route Zone,"Route Tables and Route Rules exist in OCI, but “Route Zone” is not a term for network subdivision.",,,2,"Always remember: VCN → subdivided into Subnets. Subnets are the core unit for traffic isolation, security, and routing in OCI networking. Oracle exam often tests the official terminology, not generic networking concepts.","Getting Started with OCI, Core OCI Services, Security Services",
" In Oracle Cloud Infrastructure (OCI), how are charges applied for governance and administration services, such as Identity and Access Management (IAM) and Audit?",Multiple Choice,All users are charged a flat monthly fee regardless of the number of resources managed.,"Oracle does not charge for IAM, policies, or audit logs based on flat fees. Classic exam trap: confusing “user management” with resource consumption billing.",Users pay per policy created and per compartment configured.,"Incorrect because OCI governance services are not metered per object. Misleading because some cloud vendors charge per policy, but OCI does not.",Governance and administration services are available at no additional cost.,"Free services include IAM, Audit, Compartments, Policies, Tags. Reference: OCI Documentation – Governance and Administration. Correct: these services are considered part of the OCI platform foundation and do not incur extra charges.",Users are billed hourly based on the number of users actively logging in.,Incorrect: OCI does not bill governance services based on user activity. Common trap: thinking “user activity = billing” like some SaaS offerings.,,,,,3,"Governance and administration services like IAM, Policies, Compartments, and Audit are always free in OCI. Remember: resource usage (compute, storage, networking) is billed, but core governance features are not. Oracle exam often tries to confuse pay-per-use vs free foundational services.","Getting Started with OCI, Core OCI Services, Security Services, Governance and Administration",
" Which Oracle Cloud Infrastructure (OCI) service allows developers to provision fully managed MySQL instances, automates routine maintenance like backups and patching, and provides built-in high availability with replication for production workloads?",Multiple Choice,OCI Autonomous Database,Primarily designed for Oracle Database workloads (Autonomous Transaction Processing or Autonomous Data Warehouse). Does not natively support MySQL. Exam trap: Many assume “Autonomous = any database type”,OCI MySQL Database Service,"Fully managed MySQL database service in OCI. Provides automated backups, patching, updates. Built-in high availability through replication. Reference: Oracle Cloud MySQL Database Service Documentation",OCI NoSQL Database Cloud Service,"Designed for key-value and document store workloads, not relational databases. Exam trap: Confusing “NoSQL” for general database management",OCI Object Storage,"Object storage is for storing unstructured data (blobs, files). Not a database service; cannot run queries or manage MySQL workloads",OCI Data Safe,"Security and compliance service for databases, not a database itself",,,2,OCI MySQL Database Service = fully managed MySQL with automated maintenance and HA. Do not confuse with Autonomous Database (Oracle DB workloads) or NoSQL services. Exam often tests automation + HA + database type,Core OCI Services – Database Services,
