Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A cloud governance team is defining Identity and Access Management (IAM) policies in Oracle Cloud Infrastructure (OCI). Their objective is to follow the principle of least privilege while allowing development, operations, and audit teams to perform their responsibilities without unnecessary access to unrelated resources. Which policy design BEST aligns with the least privilege principle in OCI?",Single Choice,Assign tenancy-wide administrator privileges to all technical users to avoid access issues.,Violates least privilege; Exposes the tenancy to accidental or malicious changes; Classic exam trap: Convenience ≠ security,Create a single policy that allows all users to read all resources across every compartment.,Overly broad access; Users can see resources unrelated to their role; Exam trap: Read-only ≠ least privilege,Grant role-based groups only the minimum required permissions on specific resource types within designated compartments.,Follows OCI IAM best practices; Uses groups; Scopes permissions to specific compartments; Grants only required verbs; Explicitly aligns with OCI’s least privilege guidance; Correct,Duplicate identical IAM policies across all compartments to ensure no access gaps occur.,Increases complexity and risk of misconfiguration; Still may grant excessive permissions; Exam trap: More policies ≠ better security,,,,,3,Least privilege in OCI means granting only the minimum required permissions to role-based groups scoped to specific compartments.,Security Services
"A mission-critical enterprise application requires an Oracle Database architecture that supports active-active clustering, high availability, and horizontal scalability using Oracle Real Application Clusters (RAC). The organization plans to deploy this solution on Oracle Cloud Infrastructure (OCI) while retaining full control over database configuration and performance tuning. Which OCI database service BEST meets these requirements?",Single Choice,OCI Autonomous Database,Fully managed and automated; Does not expose or support customer-managed RAC configurations; Designed to abstract clustering complexity; Exam trap: High availability ≠ RAC support,OCI MySQL Database Service,Open-source relational database service; Does not support Oracle RAC; Not intended for Oracle Database clustering; Classic exam trap: Managed DB ≠ Oracle RAC,OCI Database Cloud Service (DBCS) on virtual machines,Supports single-instance and limited HA configurations; RAC support is not native on VM-based DBCS; Exam trap: Oracle Database ≠ RAC unless on Exadata,OCI Exadata Cloud Service,"Built on Oracle Exadata infrastructure; Provides native support for Oracle Real Application Clusters (RAC), high availability, and massive scalability; Explicitly documented by Oracle as the OCI service for RAC deployments; Correct",,,,,4,"When Oracle RAC with full control, extreme performance, and enterprise-grade high availability is required on OCI, Exadata Cloud Service is the correct choice.",Core OCI Services
"Under the Shared Security Model of Oracle Cloud Infrastructure (OCI), Oracle is responsible for protecting the underlying cloud infrastructure, while customers retain responsibility for securing their workloads and data. Which activity is explicitly the CUSTOMER’S responsibility in this model?",Single Choice,Operating and securing Oracle’s global data center facilities,"Physical security including guards, surveillance, and access controls is fully Oracle’s responsibility; Customers never manage OCI data centers; Classic exam trap: Physical security ≠ customer role",Performing hardware maintenance and server replacement in OCI regions,"Oracle manages compute hardware, storage systems, and networking equipment; Customers consume services, not hardware; Exam trap: Infrastructure lifecycle ≠ customer responsibility",Protecting and controlling access to customer data stored in OCI services,"Customers are responsible for data protection, access control through IAM policies, encryption configuration, and key usage; This is a core customer duty under the OCI Shared Security Model; Explicitly stated in Oracle documentation; Correct",Patching and upgrading the underlying OCI networking infrastructure,Core VCN infrastructure and platform networking are Oracle-managed; Customers configure routing and security rules but do not patch infrastructure; Exam trap: Configuration ≠ infrastructure maintenance,,,,,3,"Oracle secures the cloud infrastructure, while customers are responsible for securing their data, access controls, and configurations.",Security Services
A startup is evaluating Oracle Cloud Infrastructure (OCI) for unpredictable workloads that may scale up or down frequently. The finance team wants to avoid long-term commitments and pay only for the cloud resources that are actually consumed. Which pricing model BEST describes how OCI charges customers for most services?,Single Choice,Fixed pricing based on predefined service bundles,OCI does not require customers to purchase fixed service bundles; Costs vary based on actual consumption; Exam trap: Traditional licensing ≠ cloud pricing,Subscription-based pricing with mandatory annual contracts,OCI does not enforce mandatory subscriptions; Long-term commitments are optional; Exam trap: Enterprise contracts ≠ default OCI pricing,Pay-As-You-Go pricing based on actual resource usage,"Customers are billed only for consumed compute, storage, and network usage; No upfront or annual commitment required; Clearly defined in OCI pricing documentation; Correct",Free Tier–only pricing for all OCI services,Free Tier applies only to select services with limits; Most OCI services are billable; Exam trap: Free Tier ≠ pricing model,,,,,3,OCI primarily uses a Pay-As-You-Go pricing model where customers pay only for the resources they actually consume.,Governance and Administration
A regulated enterprise is deploying applications on Oracle Cloud Infrastructure (OCI) and must meet strict internal and external compliance requirements. The security team needs to ensure that access to resources is tightly controlled and that all administrative and API actions can be reviewed during security audits. Which TWO OCI services directly support these security and compliance requirements?,Multiple Choice,OCI Identity and Access Management (IAM),Controls who can access which OCI resources; Enforces least privilege and role-based access; Core service for OCI security posture and compliance; Correct,OCI Audit,Records all OCI API calls and administrative actions; Enables compliance reporting and forensic investigations; Essential for auditability and governance; Correct,OCI FastConnect,Provides private network connectivity; Improves performance and security of network traffic; Does not manage access control or compliance logging; Exam trap: Secure connectivity ≠ compliance service,OCI Compute Service,Provides virtual machines and bare metal instances; Not a security or compliance governance service; Exam trap: Runtime service ≠ security control,OCI Object Storage,Provides durable data storage with encryption enabled by default; Object Storage itself is not an access governance or compliance logging service; Exam trap: Secure storage ≠ compliance governance,,,"1,2","IAM controls access to resources, and Audit records actions, together forming the foundation of OCI security and compliance.",Security Services
A multinational organization must comply with data residency regulations that require application data and processing to remain within a specific geographic boundary when deploying workloads on Oracle Cloud Infrastructure (OCI). Which OCI construct is used to control the geographic location where data and resources are stored and processed?,Single Choice,Availability Domains,"Physically isolated data centers within a region; Provide fault tolerance, not geographic control; Exam trap: Isolation ≠ location selection",Compartments,Logical containers for resource organization and access control; Do not influence physical hosting location; Exam trap: Governance ≠ geography,Regions,A Region is a localized geographic area; All resources created in a region remain within that geographic boundary; Used to meet data residency and regulatory requirements; Explicitly defined by OCI; Correct,Virtual Cloud Networks (VCNs),"Software-defined networking constructs; Control connectivity and isolation, not physical location; Exam trap: Networking ≠ data residency",,,,,3,Geographic control of where data and resources reside in OCI is achieved by selecting the appropriate Region.,Getting Started with OCI
A cloud administrator wants to prevent unexpected cost overruns in Oracle Cloud Infrastructure (OCI). The administrator needs to define spending limits at the compartment level and receive automatic notifications when actual or forecasted usage exceeds defined thresholds. Which OCI service BEST supports this requirement?,Single Choice,OCI Cost Analysis,Provides historical and current cost visibility; Helps analyze spending trends; Does not enforce limits or send threshold-based alerts; Exam trap: Analysis ≠ control,OCI Budgets,Allows defining spending thresholds at tenancy or compartment level; Supports alerts for actual and forecasted spend; Official OCI service for cost control and governance; Correct,OCI Tagging,Used to label resources for cost allocation and reporting; Does not generate alerts or enforce spending limits; Exam trap: Cost tracking ≠ cost control,OCI Audit,Records API calls and configuration changes; Used for security and compliance auditing; Has no cost management or alerting functionality; Exam trap: Audit logs ≠ financial governance,,,,,2,OCI Budgets enable spending limits and alert notifications to prevent unexpected cost overruns.,Governance and Administration
A telecommunications company is building a monitoring platform on Oracle Cloud Infrastructure (OCI) to process millions of events per second generated by network devices. The solution must ingest data continuously and enable near real-time analysis of large data streams for operational insights. Which OCI service is MOST appropriate for handling and analyzing large volumes of data in real time?,Single Choice,OCI Functions,"Event-driven, short-lived compute. Not designed for sustained, high-throughput data stream processing. Exam trap: Serverless execution ≠ big data analytics.",OCI Streaming Service,"Fully managed service for real-time data ingestion and streaming. Handles high-throughput, continuous data flows. Commonly used for log analytics, telemetry, and event-driven analytics pipelines. Integrates with OCI analytics and processing services.",OCI Object Storage,"Durable storage for unstructured data. Optimized for persistence, not real-time analysis. Exam trap: Storage ≠ analytics engine.",OCI API Gateway,Used to expose and manage APIs securely. Not designed for data analytics or stream processing. Exam trap: API management ≠ data processing.,,,,,2,"Real-time, high-volume data analysis in OCI starts with Streaming.",Core OCI Services
"A cloud security architect is configuring access control in Oracle Cloud Infrastructure (OCI). The organization needs a centralized way to define who can perform specific actions on OCI resources across multiple compartments, ensuring consistent governance and least-privilege access throughout the tenancy. Which OCI IAM feature is used to define and enforce these access rules across the cloud environment?",Single Choice,Compartments,Compartments are logical containers for resources. Used as a scope for access control. Do not themselves grant or deny permissions. Exam trap: Organization ≠ authorization.,Dynamic Groups,Used to group OCI resources (like compute instances). Enable resource-to-service access via instance principals. Do not define what actions are allowed. Exam trap: Identity grouping ≠ permission definition.,Network Security Groups,Control network traffic rules (ingress/egress). Operate at the networking layer. Have no role in user or API authorization. Exam trap: Network security ≠ IAM security.,IAM Policies,"Define who can do what on which resources. Written in human-readable statements. Apply across tenancy, compartments, and specific resource types. Core mechanism for access management and governance. Explicitly documented in OCI IAM reference.",,,,,4,OCI IAM access control is defined and enforced using Policies.,Security Services
A healthcare provider must comply with national data residency regulations while migrating workloads to Oracle Cloud Infrastructure (OCI). The organization needs assurance that patient data remains within a specific geographic boundary and is not processed outside that jurisdiction. How does OCI’s architecture support these data residency and regulatory compliance requirements?,Single Choice,OCI automatically replicates customer data across all global regions for resiliency.,Cross-region replication is optional and customer-configured. OCI does not replicate data globally by default. Exam trap: High availability ≠ automatic global replication.,OCI restricts every region to a single Availability Domain to simplify compliance controls.,"Many OCI regions have multiple Availability Domains. ADs are for fault isolation, not data residency. Exam trap: AD design ≠ compliance strategy.","OCI provides geographically distinct regions, allowing customers to select where their data and workloads reside.",Regions are specific geographic locations. All data and processing stay within the selected region unless explicitly replicated. Enables compliance with data residency laws and industry regulations.,OCI operates one centralized global region that complies with all international regulations.,OCI uses a multi-region global architecture. A single global region would violate many residency regulations. Exam trap: Centralization ≠ compliance.,,,,,3,Data residency in OCI is achieved by selecting the appropriate Region.,Getting Started with OCI
"An organization is designing the network layer for applications deployed on Oracle Cloud Infrastructure (OCI). The architecture must include a private virtual network for cloud resources and a secure, dedicated connection between the on-premises data center and OCI, without traversing the public internet. Which TWO OCI services are classified as core networking services that directly support these requirements?",Multiple Choice,Virtual Cloud Network (VCN),"Software-defined private network in OCI. Enables custom IP ranges, subnets, route tables, and gateways. Foundational networking construct in OCI.",FastConnect,"Provides private, dedicated connectivity from on-premises environments to OCI. Bypasses the public internet. Offers predictable latency and high bandwidth. Classified as a core OCI networking service.",Block Volume,Persistent block-level storage for compute instances. Part of OCI Storage Services. Does not provide connectivity or networking functionality. Classic exam trap: Infrastructure ≠ networking.,Object Storage Gateway,Provides file-based access to Object Storage. Integration tool for storage access. Not a networking service despite the word Gateway. Exam trap: Name ≠ service category.,Autonomous Database,Fully managed database service. Does not provide network isolation or connectivity. Exam trap: Managed platform service ≠ networking.,,,"1,2",OCI core networking services focus on private networking and dedicated connectivity.,Core OCI Services
"An enterprise is migrating a latency-sensitive trading application to Oracle Cloud Infrastructure (OCI). The application requires a secure, private connection from the on-premises data center to an OCI Virtual Cloud Network (VCN) with predictable latency and high bandwidth, without using the public internet. Which OCI networking service should be used to meet these requirements?",Single Choice,Internet Gateway,Enables public internet connectivity. Traffic traverses the public internet. Does not meet private or low-latency requirements. Exam trap: Public access ≠ secure private connectivity.,NAT Gateway,Allows outbound internet access from private resources. Does not provide inbound or private connectivity from on-premises. Exam trap: Outbound-only ≠ site-to-cloud connection.,Service Gateway,Provides private access to OCI public services. Does not connect on-premises networks to OCI. Exam trap: OCI service access ≠ on-prem connectivity.,OCI FastConnect,"Provides dedicated, private connectivity between on-premises and OCI. Delivers high bandwidth, low and predictable latency, and no public internet exposure. Uses a DRG to attach to the VCN.",,,,,4,"Private, low-latency on-premises connectivity to OCI is provided by FastConnect.",Core OCI Services
A cloud architect is designing a network layout in Oracle Cloud Infrastructure (OCI). The architecture requires separating application tiers so that each group of resources can have its own routing rules and security controls while remaining within the same Virtual Cloud Network (VCN). Which OCI networking construct should be used to achieve this level of network segmentation?,Single Choice,Route Tables,Define how traffic is routed out of a subnet. Do not create or divide network segments. Exam trap: Traffic control ≠ network segmentation.,Internet Gateway,Enables public internet access for a VCN. Does not provide internal network separation. Exam trap: Connectivity ≠ segmentation.,Security Lists,"Act as virtual firewalls controlling ingress and egress. Applied to subnets, not used to create them. Exam trap: Security enforcement ≠ network partitioning.",Subnets,Logical subdivisions of a VCN. Each subnet can have its own route tables and security controls. Used to separate application tiers and public vs private resources.,,,,,4,Network segmentation within a VCN is achieved using Subnets.,Core OCI Services
A security administrator is reviewing Oracle Cloud Infrastructure (OCI) Identity and Access Management (IAM) capabilities to strengthen access governance across the tenancy. The organization wants to centrally manage users and enforce stronger authentication mechanisms to reduce unauthorized access risks. Which TWO features are core functionalities provided by OCI IAM?,Multiple Choice,"Centralized management of users, groups, and credentials to control access to OCI resources",OCI IAM provides user and group management and policy-based authorization. Forms the foundation of access governance. Explicitly documented as a core IAM capability.,Automatic scaling of virtual machine instances based on workload demand,This is handled by OCI Compute Autoscaling. Not related to identity or access control. Classic exam trap: Scaling ≠ IAM.,Enforcement of multi-factor authentication (MFA) for user sign-in,OCI IAM supports MFA such as OTP-based two-factor authentication. Strengthens authentication security and is a frequently tested IAM feature.,Encryption of network traffic between OCI services by default,Network encryption is handled by OCI networking and platform security services. IAM does not manage data-in-transit encryption.,Management of hardware security modules (HSMs) for cryptographic key storage,HSM management is provided by OCI Vault. IAM may control access but does not provide HSMs. Exam trap: Key management ≠ identity management.,,,"1,3","OCI IAM focuses on identity, authentication, authorization, and MFA enforcement.",Security Services
A regulated enterprise is deploying workloads on Oracle Cloud Infrastructure (OCI) and must ensure that all cloud resources continuously comply with predefined security and regulatory standards. The security team wants a solution that automatically enforces these standards and prevents users from creating non-compliant resources. Which OCI feature BEST fulfills this requirement?,Single Choice,Oracle Cloud Advisor,Provides recommendations and insights but does not enforce or block non-compliant configurations. Exam trap: Advisory ≠ enforcement.,Oracle Compliance Documentation,Provides compliance reports and certifications for audits but does not actively enforce configuration rules. Exam trap: Documentation ≠ automated compliance.,Oracle Security Zones,Enforces predefined security policies aligned with best practices and automatically prevents actions that violate security or compliance rules. Explicitly documented by Oracle as a preventive security control.,Oracle Security Advisor,Not an OCI service for compliance enforcement and often confused with advisory tools. Exam trap: Similar naming ≠ actual service.,,,,,3,Preventive compliance enforcement in OCI is achieved using Security Zones.,Security Services
A SaaS provider is running workloads on Oracle Cloud Infrastructure (OCI) that experience unpredictable traffic spikes during business hours and minimal usage overnight. The provider wants the infrastructure to dynamically adapt to workload changes without manual intervention to optimize both performance and cost. Which statement BEST describes the cloud computing concept being applied in this scenario?,Single Choice,The capability to reserve compute capacity in advance to reduce long-term costs,"Refers to capacity reservation or pricing optimization, not elasticity. Exam trap: Pricing ≠ elasticity.",The capability to manually resize compute instances whenever demand changes,Manual scaling requires human intervention. Elasticity is automatic. Classic exam trap: Manual scaling ≠ elastic behavior.,The capability to automatically increase or decrease resource capacity based on workload demand,This is the textbook definition of elasticity. Core cloud characteristic enabling cost efficiency and performance optimization.,The capability to encrypt communication between cloud resources for secure data transfer,"Refers to security, not elasticity. Exam trap: Core cloud characteristics ≠ security features.",,,,,3,Elasticity means automatic scaling of resources based on workload demand.,Getting Started with OCI
"A cloud administrator is implementing governance controls in Oracle Cloud Infrastructure (OCI). To comply with internal security standards, the administrator must ensure that users and groups are granted only the minimum permissions required to perform their assigned duties, and no broader access. Which OCI feature is primarily used to enforce this least-privilege access model?",Single Choice,OCI Key Management Service (KMS),Used for managing encryption keys and does not define who can access OCI resources. Exam trap: Encryption ≠ authorization.,OCI Virtual Cloud Network (VCN) Security Lists,Control network traffic ingress and egress but do not manage user or group permissions. Exam trap: Network security ≠ access control.,OCI Web Application Firewall (WAF),Protects web applications from external attacks but does not control user access to OCI resources. Exam trap: App protection ≠ IAM.,OCI Identity and Access Management (IAM) Policies,Define fine-grained authorization rules specifying who can do what on which resources. Primary mechanism to enforce least privilege.,,,,,4,Least-privilege access in OCI is enforced using IAM Policies.,Security Services
