question_text,question_type,option1,option1_explanation,option2,option2_explanation,option3,option3_explanation,option4,option4_explanation,correct_answers,overall_explanation
What is the immediate first step an Incident Response (IR) team should perform upon receiving an automated alert for an anomalous SaaS account login?,single,Disable the account without any verification,Incorrect because locking accounts without context can disrupt legitimate executive or operational business workflows.,Immediately notify regulators,Incorrect because regulatory reporting is initiated only after confirming a material breach occurred.,Delete all user logs to prevent evidence tampering,Incorrect because deleting log files destroys vital forensics data required for investigation.,Verify the legitimacy of the login by contacting the user or reviewing contextual data,"Correct because checking contextual details (IP address, device state, user confirmation) verifies whether the alert is a true incident or false positive.",D,Incident response protocol dictates confirming the validity of an alert through contextual evaluation and user contact before executing disruptive containment measures.
Why are structured audits and continuous reviews crucial within an enterprise security governance framework?,single,They prevent all types of human error,Incorrect because audits identify flaws after or during execution rather than magically eliminating operational human error.,They ensure all employees receive security training,"Incorrect because training programs handle education, while audits assess security framework posture.",They eliminate the need for technical controls,Incorrect because governance audits evaluate and validate technical controls rather than replacing them.,They identify noncompliance and emerging risks in processes,"Correct because periodic reviews uncover process gaps, configuration drift, and unmitigated risks across the enterprise.",D,"Security audits and governance reviews provide visibility into operational non-compliance, control gaps, and emerging threats, ensuring continuous risk management."
What capability do Cloud Access Security Brokers (CASBs) provide to Security Operations Center (SOC) teams?,single,Managing and monitoring data flows between users and cloud services,"Correct because CASBs deliver visibility, shadow IT tracking, and policy enforcement for data in transit to SaaS/cloud platforms.",Replacing all cloud-native logging services,Incorrect because CASBs complement platform logs with specialized application and user activity oversight.,Preventing the need for compliance monitoring,Incorrect because CASBs facilitate compliance enforcement rather than eliminating regulatory duties.,Physical security of cloud data centers,Incorrect because physical infrastructure security remains the cloud provider's sole responsibility.,A,"CASBs sit between cloud consumers and cloud service providers to monitor data movement, enforce access policies, and combat shadow IT usage."
"In municipal cybersecurity incidents involving ransomware, what operational vulnerability typically severely exacerbates system recovery failure?",single,Lack of SIEM implementation,"Incorrect because while SIEM aids detection, recovery failures stem directly from backup issues.",Overuse of multi-factor authentication,Incorrect because multi-factor authentication strengthens access security and does not impair restoration.,Incomplete and untested backup procedures,Correct because unverified or infected backups prevent teams from restoring impacted systems post-attack.,Too many vendor contracts,Incorrect because procurement contract volume is unrelated to disaster recovery execution failure.,C,"Ransomware events cause prolonged downtime when backup systems are incomplete, unisolated from the network, or never routinely tested for point-in-time recovery."
Which monitoring strategy best prevents security teams from missing correlated threats spanning multiple infrastructure layers?,single,Having separate dashboards for each telemetry source.,"Incorrect because isolated telemetry creates data silos, preventing teams from linking related indicators of compromise.",Consolidating dashboards and enabling cross-correlation of telemetry data,"Correct because unified telemetry platforms combine network, host, and cloud logs to highlight complex multi-stage attacks.",Disabling alerting for low-priority signals.,Incorrect because turning off alerts blindly can hide subtle reconnaissance steps executed by attackers.,Manual periodic reviews by a single team.,Incorrect because manual log analysis cannot process modern high-volume cloud telemetry efficiently.,B,Centralizing telemetry into unified dashboards with automated event correlation enables SOC analysts to detect multi-vector attacks spanning heterogeneous cloud systems.
Why is continuous model validation essential when implementing Artificial Intelligence and Machine Learning in automated cloud security operations?,single,It guarantees the elimination of all security threats,Incorrect because AI models reduce operational friction but cannot guarantee absolute security.,It allows models to operate without any human oversight,Incorrect because critical security actions still require human-in-the-loop oversight to avoid erroneous disruptions.,It reduces the risks of false positives and false negatives impacting security operations,"Correct because validating models continuously ensures classification accuracy, keeping alert fatigue low and avoiding missed threats.",It ensures models are explainable but not necessarily accurate,Incorrect because an explainable model that produces inaccurate outputs provides no security protection.,C,"Validating AI and machine learning models ensures high precision and recall, mitigating false positives that overwhelm analysts and false negatives that miss attacks."
Which family of Post-Quantum Cryptography (PQC) algorithms is currently prioritized for adoption due to its balance of security and performance in cloud environments?,single,Code-based cryptography,"Incorrect because code-based systems often require extremely large key sizes, impacting transmission efficiency.",Symmetric-key cryptography,Incorrect because symmetric algorithms (like AES-256) are already quantum-resistant and do not represent the new PQC public-key standard focus.,Multivariate quadratic cryptography,Incorrect because multivariate schemes are mostly used for digital signatures rather than broad cloud encryption standards.,Lattice-based cryptography,Correct because lattice-based cryptographic algorithms provide strong mathematical security against quantum attacks with efficient key sizes and processing overhead.,D,Lattice-based cryptography is the primary family selected for post-quantum standards due to its strong security proofs and manageable performance overhead in cloud architectures.
What advantage does machine learning offer when integrated into Distributed Denial of Service (DDoS) mitigation systems?,single,"It helps distinguish between legitimate surges and attack traffic, reducing false positives.",Correct because ML models establish baseline behavior patterns to separate legitimate user traffic spikes from malicious botnet attacks.,It increases the likelihood of blocking legitimate users.,"Incorrect because the goal of ML integration is to lower false drops, not raise them.","It is primarily used for cost optimization, not security.",Incorrect because ML in DDoS mitigation directly defends infrastructure availability rather than serving as a cost tool.,It allows static thresholds to remain unchanged.,Incorrect because ML replaces fixed static thresholds with dynamic adaptive baselines.,A,"Machine learning enhances DDoS protection by dynamically analyzing traffic characteristics, allowing systems to mitigate complex volume surges without blocking genuine user access."
Which principle accurately reflects the operational reality of cloud security compliance?,single,"Regulations and threats continually evolve, requiring regular assessments and updates to security controls.",Correct because compliance is a continuous lifecycle driven by shifting legal mandates and dynamic attack vectors.,Automation tools remove the need for human oversight.,Incorrect because automated tooling requires expert human oversight to review policy findings and govern exceptions.,Compliance is a one-time certification process.,Incorrect because point-in-time compliance certifications become outdated quickly as cloud configurations change.,Encryption standards remain static over time.,Incorrect because cryptographic standards evolve constantly to counter new cryptanalytic techniques and computing advances.,A,Cloud security compliance is an ongoing operational process requiring continuous monitoring and adaptation to keep pace with evolving legal frameworks and threat environments.
What is the primary security vulnerability associated with enterprise Single Sign-On (SSO) architectures?,single,Inability to integrate with cloud applications,"Incorrect because modern SSO protocols (SAML, OIDC) are specifically built for seamless cloud integration.",Users must remember multiple passwords for each system,Incorrect because SSO eliminates password proliferation by using a single centralized identity credential.,"The “keys to the kingdom” problem, where compromise of SSO credentials grants access to all linked apps",Correct because an attacker who compromises a user's SSO account inherits access to every connected downstream service.,Increased password fatigue among users,Incorrect because SSO resolves password fatigue by reducing authentication steps.,C,"While SSO streamlines identity management, it presents a single point of failure where a compromised primary credential exposes all connected applications to unauthorized access."
Why must enterprises carefully evaluate exclusion and limitation of liability terms within Cloud Service Level Agreements (SLAs)?,single,To prevent the provider from shifting core responsibilities onto the customer,"Correct because vendors may use fine print to disclaim liability for infrastructure outages or data loss, pushing operational risk onto the client.",To reduce the need for security patches,Incorrect because contract terms do not change technical vulnerability patching workflows.,To ensure the provider can pass on all operational costs,"Incorrect because customer scrutiny aims to constrain provider cost-shifting, not facilitate it.",To allow the provider to avoid all liability for third-party incidents,Incorrect because clients seek to enforce provider accountability for downstream vendor failures.,A,Scrutinizing SLA exclusion clauses prevents cloud providers from legally shifting core operational and security liabilities back onto the enterprise during incidents.
What is the primary objective of incorporating periodic red team exercises into a DevSecOps evaluation program?,single,They certify software for production use.,"Incorrect because automated CI/CD security gates handle release certification, not adversarial exercises.",They focus primarily on improving developer productivity.,Incorrect because red teams target security resilience rather than code velocity.,They simulate real-world attacks to validate control effectiveness and identify gaps.,"Correct because adversarial simulation tests whether technical controls, detection rules, and response procedures work against actual attack methods.",They replace the need for automated scanning tools.,Incorrect because red teaming complements continuous SAST/DAST automation rather than replacing it.,C,"Red team exercises provide realistic adversarial testing to validate whether automated defenses, detection rules, and incident response teams effectively resist live cyberattacks."
Why is ongoing cloud security training necessary for technical and administrative staff?,single,"Cloud technologies and threat landscapes evolve rapidly, requiring updated skills and knowledge","Correct because constant updates to cloud features, services, and attack techniques render static training obsolete.",Because cloud platforms and threats are static,Incorrect because cloud ecosystems change rapidly.,To meet annual compliance requirements only,Incorrect because regulatory compliance is a secondary benefit behind actual risk reduction and skill maintenance.,"Staff tend to forget information quickly, making repetition necessary","Incorrect because while memory retention matters, adapting to new technologies and threat vectors is the primary driver.",A,"Cloud security education must be continuous because cloud environments, vendor features, and adversary capabilities are constantly evolving."
Which practice enables the deployment of context-aware IAM access policies aligned with asset criticality?,single,Relying exclusively on manual audits.,Incorrect because manual reviews cannot dynamically enforce context-aware policy rules at cloud scale.,Using the same IAM policy for all environments.,Incorrect because applying identical policies treats high-risk production assets the same as non-sensitive dev environments.,Tagging resources with metadata such as environment or sensitivity,"Correct because assigning structured tags (e.g., DataClassification=Confidential) allows attribute-based access control (ABAC) engines to enforce granular rules dynamically.",Disabling logging for sensitive databases.,Incorrect because disabling telemetry destroys audit visibility and violates compliance mandates.,C,Resource tagging allows Attribute-Based Access Control (ABAC) systems to evaluate environment tier and data sensitivity dynamically when enforcing access decisions.
Which single metric should NOT be used in isolation when prioritizing cloud vulnerability remediation efforts?,single,Exploitability in the wild,Incorrect because active threat exploitation is a critical factor for prioritizing patches.,Severity score from CVSS,"Correct because CVSS base scores reflect theoretical severity without considering internal exposure, asset criticality, or compensating controls.",Business context and exposure,Incorrect because asset business value directly informs exposure risk.,Automation capability of remediation,Incorrect because automated deployment capability helps operationalize patch timelines.,B,"Relying solely on raw CVSS scores leads to inefficient patching because it ignores contextual exposure, network accessibility, and real-world threat exploitability."
What is the core function of a Cloud Infrastructure Entitlement Management (CIEM) platform?,single,To encrypt all cloud storage automatically,"Incorrect because CIEM deals with permissions and identity governance, not storage volume encryption.",To manage and reduce excessive cloud permissions and entitlements,"Correct because CIEM analyzes identities, roles, and effective permissions across multi-cloud environments to enforce least privilege.",To replace cloud-native IAM services,Incorrect because CIEM sits on top of native cloud IAM systems to analyze and audit permission structures.,To perform automated operating system patching,"Incorrect because OS patch management is handled by systems management tooling, not entitlement platforms.",B,"CIEM solutions evaluate complex multi-cloud identity policies to discover over-privileged roles, inactive accounts, and path escalation risks, enforcing least privilege."
How does immutable object storage enhance enterprise cloud backup strategies?,single,It allows backup files to be modified by any administrator.,Incorrect because allowing alteration defeats the protective security purpose of immutability.,It prevents backup data from being altered or deleted during the retention period,"Correct because write-once-read-many (WORM) policies block any modification or deletion, shielding backups from ransomware encryption.",It automatically encrypts every workload.,"Incorrect because immutability enforces data persistence, whereas encryption protects confidentiality.",It eliminates the need for backup testing.,Incorrect because backup integrity and restoration speed must still be verified through regular testing.,B,"Immutable storage guarantees that once backup data is written, it cannot be modified, overwritten, or deleted by unauthorized actors or malicious software during its retention lock."
What is the central goal of data minimization within privacy compliance programs?,single,Collect and retain as much information as possible.,Incorrect because hoarding data escalates regulatory risk and breach liability.,"Limit the collection, processing, and retention of data to what is necessary",Correct because data minimization restricts processing strictly to the minimum dataset required for specified operational purposes.,Replicate all data across every cloud region.,Incorrect because unnecessary data distribution increases privacy exposure and residency compliance risks.,Eliminate encryption requirements.,Incorrect because data minimization works alongside encryption to protect personal data.,B,"Data minimization dictates that organizations should only gather, process, and store personal information strictly necessary for defined, legitimate business functions."
Which technical control provides the strongest defense against cloud credential theft and phishing attacks?,single,Sharing administrative accounts between teams,Incorrect because shared credentials destroy accountability and increase compromise vulnerability.,Implementing phishing-resistant multifactor authentication,Correct because FIDO2/WebAuthn hardware keys prevent attackers from intercepting and relaying authentication tokens during phishing campaigns.,Storing passwords in plaintext configuration files,Incorrect because storing plaintext credentials guarantees security exposure.,Disabling account lockout policies,Incorrect because removing lockout protections allows attackers to perform brute-force dictionary attacks without restriction.,B,Phishing-resistant multi-factor authentication (such as FIDO2 security keys) blocks credential theft by binding authentication directly to verified domain endpoints.
What primary defense objective is achieved by implementing cloud workload isolation?,single,To reduce the number of virtual machines.,Incorrect because workload isolation concerns security boundary control rather than resource consolidation.,To prevent compromise of one workload from affecting others,"Correct because isolating runtime environments contains security breaches, preventing sideways lateral movement across cloud assets.",To improve internet bandwidth.,Incorrect because network throughput is independent of security containment boundaries.,To eliminate vulnerability management.,Incorrect because isolated workloads still require ongoing vulnerability patching and threat scanning.,B,"Workload isolation establishes secure runtime boundaries using container sandboxing, micro-segmentation, or separate accounts, ensuring a compromised system cannot easily pivot to neighboring workloads."
Which specialized cloud security technology provides continuous monitoring of resource configurations against compliance standards and baselines?,single,Cloud Security Posture Management (CSPM),"Correct because CSPM tools continuously audit multi-cloud environments for misconfigurations, compliance deviations, and security risks.",Database replication,Incorrect because replication copies database state across regions for high availability.,Virtual desktop infrastructure,Incorrect because VDI delivers remote user desktop sessions.,Content delivery networks,Incorrect because CDNs cache web content globally to improve latency.,A,"Cloud Security Posture Management (CSPM) continuously scans cloud configurations to detect security drift, unencrypted storage, exposed ports, and compliance standard violations."
What is the fundamental business reason for establishing a formal cloud data classification schema?,single,To identify the sensitivity of information and apply appropriate protections,"Correct because data classification categorizes information assets based on business risk, allowing teams to deploy proportional security controls.",To eliminate all compliance requirements,Incorrect because classification helps fulfill compliance mandates rather than removing them.,To reduce cloud storage capacity,Incorrect because classifying data categorizes content rather than compressing storage volume.,To disable access logging,Incorrect because sensitive data classes require enhanced logging rather than disabled telemetry.,A,"Classifying data enables organizations to identify sensitive datasets (e.g., PII, internal IP, financial records) and apply corresponding encryption, access, and retention controls."
What is a core security and operational advantage of establishing centralized identity management across cloud enterprise environments?,single,Different passwords for every application.,Incorrect because credential proliferation creates user fatigue and leads to weak password reuse.,Simplified administration and consistent access control across environments,"Correct because single source of truth identity providers streamline user lifecycle management, auditing, and policy enforcement across hybrid clouds.",Elimination of user authentication,Incorrect because identity management centralizes and enforces authentication rather than removing it.,Automatic compliance certification,Incorrect because identity systems support audit requirements but do not grant automatic regulatory certification.,B,"Centralized identity federates user access across multi-cloud platforms, enabling uniform access policies, rapid provisioning/deprovisioning, and comprehensive user activity tracking."
Which architectural practice best ensures secure API communication across cloud services?,single,Using hardcoded API keys in source code.,Incorrect because embedding API keys in code repositories leads to accidental leaks and credential theft.,Exposing APIs without authentication,"Incorrect because unauthenticated endpoints allow public, unmonitored data exposure.","Implementing strong authentication, authorization, and encryption","Correct because combining OAuth2/mTLS authentication, role-based access checks, and TLS encryption secures transit pathways and endpoints.",Allowing unrestricted public API access,Incorrect because unrestricted access exposes backend systems to abuse and data harvesting.,C,"Securing cloud APIs requires robust identity verification (OAuth/OIDC), strict authorization checks, and TLS encryption for all data in transit."
Why is routine execution of disaster recovery (DR) simulations vital for enterprise cloud operations?,single,They guarantee systems will never fail.,"Incorrect because tests validate response procedures, but cannot prevent hardware or regional outages entirely.",They validate recovery procedures and identify improvement opportunities,Correct because simulations test whether RTO/RPO targets are achievable and expose unexpected process failures prior to an actual disaster.,They replace backup requirements,Incorrect because DR exercises validate restoration processes using existing data backups.,They eliminate operational risks,Incorrect because exercises help mitigate recovery risks rather than eliminating underlying operational uncertainties.,B,"Periodic DR drills test automated failover, data restoration speed, and staff readiness, ensuring that recovery time and point objectives (RTO/RPO) are attainable."
What is a primary operational benefit of implementing automated security incident response playbooks?,single,Increased manual effort.,Incorrect because automation reduces human toil during repetitive triage tasks.,Faster detection and response to security events,"Correct because automated response actions isolate compromised hosts and revoke compromised credentials in milliseconds, minimizing dwell time.",Elimination of governance requirements,Incorrect because governance framework rules dictate the logic built into automated response playbooks.,Removal of all human oversight,Incorrect because critical remediation decisions still incorporate analyst sign-off or escalation loops.,B,Security response automation reduces incident response timelines by executing rapid containment actions (such as isolating hosts or revoking tokens) without waiting for human intervention.
"Why must organizations maintain an accurate, real-time inventory of all cloud infrastructure assets?",single,To maintain visibility and identify unmanaged resources,"Correct because asset tracking prevents ""shadow IT"" and ensures all running workloads adhere to enterprise security policies.",To reduce internet bandwidth,Incorrect because tracking inventory does not alter network bandwidth consumption.,To disable cloud monitoring,Incorrect because asset tracking informs where security monitoring agents and telemetry collection must be deployed.,To eliminate the need for vulnerability management,Incorrect because knowing what assets exist is the foundational prerequisite for scanning them for vulnerabilities.,A,"Complete cloud asset visibility is necessary to discover unauthorized resources, manage vulnerability exposure, and ensure full security monitoring coverage."
What core advantage does a Policy-as-Code (PaC) paradigm bring to cloud governance?,single,Manual enforcement of every configuration.,Incorrect because Policy-as-Code automates configuration checks within CI/CD pipelines instead of relying on manual reviews.,Automated and consistent enforcement of security policies,Correct because embedding policy rules directly into deployment pipelines enforces compliance checks deterministically before resources are provisioned.,Removal of compliance requirements,Incorrect because PaC codifies compliance checks into code rather than eliminating the underlying compliance standards.,Elimination of cloud governance,Incorrect because Policy-as-Code operationalizes and strengthens cloud governance across developers.,B,"Policy-as-Code allows organizations to define security guardrails programmatically, automatically evaluating Infrastructure as Code (IaC) templates to block non-compliant deployments."
Which foundational security model reduces the risk of unauthorized privilege escalation within cloud environments?,single,Least privilege,Correct because restricting permissions strictly to required operational duties prevents compromised accounts from accessing higher privileges.,Shared accounts,Incorrect because shared identities obfuscate accountability and allow lateral permission abuse.,Default administrator access,Incorrect because granting broad administrative rights exposes the system to complete compromise upon credential loss.,Anonymous authentication,Incorrect because unauthenticated access disables audit trails and access control.,A,"The principle of least privilege ensures that users and service accounts possess only the exact permissions needed for their roles, limiting damage if credentials are compromised."
What primary operational goal is served by deploying continuous compliance monitoring across cloud environments?,single,To verify compliance continuously as environments change,Correct because continuous assessment ensures configuration drift or new resource deployments are immediately evaluated against security baselines.,To perform compliance checks only once per year,Incorrect because point-in-time annual checks leave long blind spots between audits.,To eliminate audit requirements,Incorrect because automated monitoring generates evidence used during formal regulatory audits.,To replace governance processes,Incorrect because continuous monitoring supports and enforces governance frameworks.,A,"Continuous compliance monitoring continuously scans dynamic cloud environments for policy violations, providing real-time risk visibility rather than relying on stale annual reviews."
What is the main purpose of defining hardened security baselines for enterprise cloud resources?,single,To eliminate all cloud risks,Incorrect because baselines mitigate common security weaknesses but cannot eliminate risk entirely.,To establish a consistent minimum security standard across cloud resources,Correct because security baselines define mandatory configuration rules (such as disabling public access or enabling encryption) for every deployed resource.,To replace compliance frameworks,Incorrect because baselines operationalize external compliance requirements into specific technical settings.,To reduce the number of cloud services,"Incorrect because baselines govern how cloud services are configured, not how many services an organization adopts.",B,Security baselines provide standardized configuration templates that ensure all cloud resources meet foundational security criteria upon deployment.
Why is enterprise key management considered a critical dependency for effective cloud data encryption?,single,Encryption is effective only when cryptographic keys are properly protected and managed,"Correct because if cryptographic keys are compromised, stored in plaintext, or improperly managed, data encryption guarantees no real protection.",It removes the need for encryption,Incorrect because key management governs encryption keys rather than replacing the encryption process.,It guarantees regulatory compliance automatically,Incorrect because compliance requires additional operational and administrative security controls.,It eliminates insider threats,Incorrect because key access policies constrain misuse but cannot entirely eliminate malicious insider activity.,A,"The security of encrypted data relies entirely on protecting the lifecycle, access permissions, and storage location of the corresponding cryptographic keys."
What is the central goal of establishing a continuous vulnerability management lifecycle in cloud operations?,single,"To identify, prioritize, and remediate vulnerabilities on an ongoing basis",Correct because continuous management ensures newly discovered software flaws and misconfigurations are systematically detected and patched.,To eliminate software updates,Incorrect because remediation requires applying software patches and updates.,To perform security testing only after incidents,Incorrect because reactive post-incident testing fails to prevent exploitation.,To replace penetration testing,"Incorrect because vulnerability scanning identifies known software flaws, whereas penetration testing tests defensive resilience against complex attacks.",A,"Continuous vulnerability management systematically scans assets, assesses risk severity, and applies remediations across evolving cloud workloads."
Which identity governance policy provides absolute accountability for administrative actions performed on cloud infrastructure?,single,Shared administrator accounts,Incorrect because multiple personnel using identical credentials destroys individual audit traceability.,Individual user accounts with audit logging,Correct because assigning unique identity credentials paired with centralized activity logging ties every administrative action to a specific individual.,Anonymous administrative access,Incorrect because anonymous access prevents attribution of system changes.,Disabling administrative logs,Incorrect because disabling logs hides administrative activity and destroys forensic evidence.,B,Combining individual user accounts with continuous audit logging ensures non-repudiation and complete accountability for all administrative operations.
Why must cloud security strategies incorporate a continuous improvement feedback loop?,single,"Cloud environments, threats, and business requirements continually evolve","Correct because rapid technical innovation, shifting attacker techniques, and evolving legal frameworks make static security models obsolete.",Security controls never require updates,Incorrect because controls must be regularly updated to address new vulnerabilities.,Compliance standards remain unchanged,Incorrect because regulatory mandates are frequently updated.,Annual security reviews are sufficient,Incorrect because annual reviews move too slowly for dynamic cloud ecosystems.,A,"Continuous improvement ensures that security controls, threat models, and operational processes adapt to ongoing technical changes and emerging threats."
What is the fundamental objective of establishing a formal cloud governance framework?,single,To eliminate all cloud-related risks,"Incorrect because governance balances risk, cost, and agility rather than eliminating risk completely.","To establish policies, responsibilities, and oversight for secure and compliant cloud operations","Correct because governance defines organizational roles, decision rights, compliance controls, and oversight models for cloud adoption.",To replace cloud security technologies,Incorrect because governance establishes the policy guardrails that dictate how security tools are deployed.,To reduce the number of cloud users,Incorrect because governance enables business units to use cloud resources securely rather than restricting access arbitrarily.,B,"Cloud governance sets the structural policies, accountability frameworks, and operational guardrails necessary to ensure cloud adoption aligns with corporate business and compliance goals."
Which operational control best maintains stability and security during cloud infrastructure change management?,single,Making production changes without documentation,"Incorrect because ad-hoc changes lead to outages, security flaws, and untrackable drift.","Requiring documented approvals, testing, and rollback procedures","Correct because formal change evaluation ensures modifications are tested, authorized, and recoverable if unexpected issues emerge.",Allowing administrators to bypass approval processes,Incorrect because bypassing governance controls introduces unvetted technical risk.,Disabling configuration monitoring,Incorrect because monitoring must remain active to confirm change success and detect unauthorized modifications.,B,"Structured change management mandates rigorous testing, peer approval, documentation, and explicit rollback plans to prevent operational downtime and security regressions."
Why is implementing TLS encryption in transit necessary across cloud communication channels?,single,It protects data from interception while moving across networks,"Correct because encryption in transit scrambles packet payloads, shielding sensitive data from eavesdropping or man-in-the-middle tampering during transmission.",It replaces encryption at rest,Incorrect because data at rest and data in transit represent distinct state protection needs; both are required for complete defense.,It eliminates authentication requirements,Incorrect because secure transit protocols rely on cryptographic authentication (such as SSL certificates).,It guarantees compliance automatically,"Incorrect because compliance requires additional safeguards across access control, auditing, and storage.",A,Encrypting data in transit protects data integrity and confidentiality as information traverses public or internal cloud network links.
