Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A company has just created a new Oracle Cloud Infrastructure (OCI) tenancy. Before provisioning networks, compute instances, or storage resources, the administrator wants to ensure that access to all OCI resources is properly controlled and aligned with the principle of least privilege. Which OCI service should be configured FIRST to achieve this?",Multiple Choice,Create Virtual Cloud Networks (VCNs) for application connectivity,VCNs provide networking capabilities but do not control who can access or manage resources and should be configured after IAM.,Launch compute instances for development teams,Deploying resources before securing access increases security risk and compute instances require IAM policies to be managed securely.,Configure Object Storage buckets for shared data,"Storage services require IAM policies to define access, so IAM must be configured first.",Set up Identity and Access Management (IAM),"IAM controls users, groups, authentication, authorization, and policies defining who can do what and where. It is the first and most critical service to configure in any OCI tenancy and establishes a secure governance baseline.",,,,,4,IAM is always the first step in OCI.,Getting Started with OCI
"An enterprise wants to organize its Oracle Cloud Infrastructure (OCI) environment so that access controls, budgets, and compliance requirements can be consistently applied to specific groups of resources, such as by department or application. Which OCI feature provides these logical boundaries that enable governance, compliance, and risk management?",Multiple Choice,IAM Policies,"Policies define: Who can do what. They do not define the boundary itself. Policies are applied to compartments, not a replacement for them. Exam trap: Rules ≠ governance boundary. ❌ Incorrect",Compartments,"Compartments: Are logical isolation boundaries. Contain OCI resources. Enable: Scoped IAM policies, Budgeting and cost tracking, Compliance and risk separation. Core OCI feature for governance and administration. ✔ Correct",Tags,"Tags are used for: Resource categorization, Cost attribution. They do not enforce access controls or isolation. ❌ Incorrect",Tenancy,Tenancy is: The top-level container for all OCI resources. It does not provide granular governance boundaries. ❌ Incorrect,,,,,2,"Compartments = Governance boundaries in OCI. Use Compartments to: Enforce consistent controls, Scope IAM policies, Manage compliance and risk. Remember: Policies define rules. Compartments define where those rules apply.",Governance and Administration
"A cloud administrator needs to explicitly define fine-grained access rules in Oracle Cloud Infrastructure (OCI), specifying which users or groups are allowed to manage, use, or read specific resources within selected compartments. Which OCI IAM feature is used to create these customized access control rules?",Multiple Choice,Cloud Guard,"Used for: Security posture monitoring, Detecting misconfigurations and risks. Does not define access permissions. Exam trap: Security monitoring ≠ authorization. ❌ Incorrect",Policy Statements,"Policy statements: Define who (users, groups, dynamic groups), Can do what (inspect, read, use, manage), On which resources, In which compartments. Written in human-readable IAM policy language. Core feature for customized access control in OCI. ✔ Correct",Data Encryption,Protects data confidentiality. Does not control user or resource access. ❌ Incorrect,Virtual Cloud Network (VCN) Peering,Enables network connectivity between VCNs. Has no role in IAM authorization. ❌ Incorrect,,,,,2,"OCI IAM authorization = Policy Statements. If the exam mentions: Customized security policies, Access control, Who can access resources. Remember: IAM = access control. Policies = permissions.",Security Services
"A mission-critical application is deployed on multiple compute instances across different Availability Domains in Oracle Cloud Infrastructure (OCI). To ensure fault tolerance and continuous availability, incoming user requests must be automatically distributed only to healthy instances. Which OCI feature should be used to meet this requirement?",Multiple Choice,OCI Internet Gateway,Enables: Connectivity between a VCN and the public internet. Does not distribute traffic across instances. Exam trap: Internet access ≠ high availability. ❌ Incorrect,OCI Route Tables,Define: How traffic is routed within a VCN. Do not perform traffic distribution or health checks. ❌ Incorrect,OCI Load Balancer,"Distributes incoming traffic across: Multiple compute instances, Multiple Availability Domains. Provides: Health checks, Fault tolerance, High availability. Core OCI service for HA application architectures. ✔ Correct",OCI VCN Peering,Enables: Network connectivity between VCNs. Does not manage or balance application traffic. ❌ Incorrect,,,,,3,"OCI Load Balancer = High availability + fault tolerance. If the exam mentions: Distribute traffic, Multiple compute instances, Multiple Availability Domains. Remember: Route Tables route traffic. Load Balancer distributes traffic.",Core OCI Services
"Under the Oracle Cloud Infrastructure (OCI) Shared Security Model, an organization is responsible for securing its workloads deployed in the cloud while Oracle manages the underlying infrastructure. Which activity is primarily the customer’s responsibility?",Multiple Choice,Managing physical access to OCI data center buildings,Physical and environmental security is fully managed by Oracle. Customers never access or manage OCI data centers. ❌ Incorrect,Applying patches to OCI-managed hypervisors,Hypervisors and core infrastructure software are Oracle-managed. Customers have no visibility or control here. ❌ Incorrect,Configuring network security rules such as Security Lists and Network Security Groups,"Customers are responsible for: Defining ingress and egress rules, Controlling allowed traffic at subnet and VNIC level. This is a core part of securing workloads in OCI. Directly aligns with the Shared Security Model. ✔ Correct",Maintaining and replacing OCI server hardware,Hardware lifecycle management is Oracle’s responsibility. Not part of the customer security scope. ❌ Incorrect,,,,,3,"Customer responsibility = configuration and control: Network security rules, IAM policies, Guest OS and application security. Oracle responsibility = infrastructure: Physical security, Hardware, Hypervisors. If the exam asks 'customer responsibility', avoid anything related to physical or infrastructure layers.",Security Services
A SaaS company is building a cloud-native application on Oracle Cloud Infrastructure (OCI). The application consists of microservices that must scale automatically during traffic spikes and a backend component that requires persistent storage. The solution must support high availability across multiple Availability Domains with minimal operational overhead. Which OCI compute and storage combination BEST satisfies these requirements?,Multiple Choice,OCI Bare Metal instances for all components with manual horizontal scaling,"Bare Metal provides high performance but: Requires manual scaling, Adds operational overhead. Not ideal for elastic, stateless microservices. ❌ Incorrect",OCI Virtual Machine instances for all components with autoscaling disabled,"Lacks: Automatic scaling, Cloud-native resilience. Exam trap: VM-based design ≠ elastic architecture. ❌ Incorrect",OCI Container Engine for Kubernetes (OKE) for stateless services and OCI Block Volume for stateful data,"OKE: Ideal for stateless microservices. Supports: Automatic scaling, Self-healing, Multi–Availability Domain deployments. OCI Block Volume: Provides persistent, durable storage. Suitable for stateful components. This combination: Supports high availability, Handles peak loads seamlessly, Aligns with OCI best practices for cloud-native architectures. ✔ Correct",OCI Functions for stateless services and OCI Autonomous Database for all stateful data,"OCI Functions: Event-driven, short-lived workloads. Not suitable for long-running application services. Autonomous Database is valid for data, but: The overall architecture does not meet the full application requirement. ❌ Incorrect",,,,,3,"Stateless workloads → OCI Container Engine for Kubernetes (OKE). Stateful workloads → Persistent storage (OCI Block Volume or managed databases). For: High availability, Auto scaling, Multi-AD resilience. OKE + persistent storage is the preferred OCI architecture. Avoid designs that rely on: Manual scaling, Single compute models for all workloads.",Core OCI Services
"An enterprise wants to streamline access management in Oracle Cloud Infrastructure (OCI). Users should automatically receive the correct permissions based on their job function (for example, developer or administrator) without assigning permissions individually. Which OCI IAM component should be used to achieve this role-based access control?",Multiple Choice,Users, Users — Incorrect\n• Users represent individual identities\n• Permissions are not directly assigned to users as a best practice\n• Exam trap: Identity ≠ access automation\n• ❌ Incorrect,Groups,"Groups — Correct\n• Groups:\n  o Represent roles or job functions\n  o Allow administrators to manage access collectively\n• Users are added to groups, and:\n  o Policies grant permissions to the group\n• This is the standard RBAC model in OCI IAM\n•  Correct",Dynamic Groups," Dynamic Groups — Incorrect\n• Dynamic Groups are used to:\n  o Group OCI resources (compute, functions, OKE)\n• They do not apply to human users\n• Classic exam trap: Dynamic ≠ users\n•  Incorrect",Policies," Policies — Incorrect\n• Policies define:\n  o What actions are allowed\n• They do not group users or automate role assignment by themselves\n• Exam trap: Policies grant permissions, groups organize users\n•  Incorrect",,,,,2,Users → added to Groups → granted permissions via Policies\nFor role-based access control (RBAC) in OCI:\n👉 Groups are the key component\nRemember:\n• Groups = roles\n• Policies = permissions\n• Dynamic Groups = resources (not users),Security Services
"As part of its Governance and Administration strategy, an organization wants clear visibility into Oracle Cloud Infrastructure (OCI) resource usage and spending. The goal is to monitor costs, analyze trends, and optimize cloud consumption over time. How does OCI primarily support cost tracking and management within its pricing model?",Multiple Choice,"By providing unlimited free access to OCI services, removing the need for cost governance","By providing unlimited free access to OCI services, removing the need for cost governance — Incorrect\n• OCI offers Always Free resources, but:\n  o They are limited, not unlimited\n• Cost governance is still required for paid services\n• ❌ Incorrect",By offering detailed billing and cost analysis tools that provide visibility into usage and spending, By offering detailed billing and cost analysis tools that provide visibility into usage and spending — Correct\n• OCI provides:\n  o Cost Analysis Tool for usage and spend insights\n  o Usage Reports for detailed billing data\n  o Budgets for thresholds and alerts\n• Enables:\n  o Cost tracking\n  o Spend optimization\n  o Financial governance\n• This aligns with OCI’s official pricing and governance model\n• Correct,By requiring mandatory upfront payment for all cloud services, By requiring mandatory upfront payment for all cloud services — Incorrect\n• OCI uses:\n  o Pay-as-you-go pricing\n  o Optional Committed Use Discounts\n• Upfront payment is not mandatory\n•  Incorrect,By applying a single flat-rate price across all OCI services, By applying a single flat-rate price across all OCI services — Incorrect\n• OCI pricing is:\n  o Service-based\n  o Usage-based\n• Flat-rate pricing does not exist across all services\n•  Incorrect,,,,,2,OCI cost governance = visibility + control\nOCI enables this through:\n• Billing dashboards\n• Cost Analysis\n• Usage Reports\n• Budgets\nIf the exam mentions:\n• Cost tracking\n• Usage visibility\n• Spending optimization\n👉 Choose the option describing billing and cost analysis tools,Governance and Administration
"An enterprise is designing a disaster recovery (DR) solution on Oracle Cloud Infrastructure (OCI). They need a storage service that provides high durability, built-in redundancy, and is commonly used for backups of databases and critical application data to support recovery in the event of failures. Which OCI storage service BEST meets these requirements?",Multiple Choice,OCI Block Volume," OCI Block Volume — Incorrect\n• Designed for:\n  o Low-latency, high-performance workloads\n  o Databases and boot volumes\n• Not optimized for:\n  o Long-term, highly durable backups\n• Exam trap: Primary storage ≠ backup storage\n•  Incorrect",OCI File Storage, OCI File Storage — Incorrect\n• NFS-based shared file system\n• Intended for:\n  o Active file access\n• Not ideal for DR backups due to cost and access patterns\n•  Incorrect,OCI Object Storage,OCI Object Storage — Correct\n• Provides:\n  o Extremely high durability\n  o Automatic redundancy\n• Commonly used for:\n  o Database backups\n  o Application backups\n  o DR and restore scenarios\n• Supports:\n  o Lifecycle policies\n  o Cross-region replication (optional)\n• Official OCI recommendation for backup and DR storage\n•  Correct,OCI Archive Storage," OCI Archive Storage — Incorrect\n• Optimized for:\n  o Long-term, infrequently accessed data\n• Retrieval is slower and may incur delays\n• Better for:\n  o Compliance and archival\n• Exam trap: Archive ≠ primary backup tier for DR\n•  Incorrect",,,,,3,OCI Object Storage = default choice for backups and DR\nUse Object Storage when the question mentions:\n• Highly durable backups\n• Disaster recovery\n• Critical data protection\nRemember:\n• Block/File → primary storage\n• Object → backups & DR\n• Archive → long-term cold storage,Core OCI Services
"An enterprise requires full control over its Oracle Database environment on Oracle Cloud Infrastructure (OCI), including operating system access, custom patching schedules, and advanced database tuning. The database must run on dedicated virtual machine or bare metal infrastructure. Which OCI service BEST meets these requirements?",Multiple Choice,OCI Autonomous Database, OCI Autonomous Database — Incorrect\n• Fully managed and self-driving\n• Oracle manages:\n  o OS\n  o Patching\n  o Tuning\n• No direct host or OS-level access\n• Exam trap: High automation ≠ high control\n•  Incorrect,OCI Database Cloud Service (DBCS),OCI Database Cloud Service (DBCS) — Correct\n• Provides Oracle Database on:\n  o Virtual Machine DB Systems\n  o Bare Metal DB Systems\n• Customers have:\n  o Full OS access\n  o Database administrative control\n• Supports:\n  o Custom configurations\n  o Advanced tuning\n• Official OCI service for maximum control and customization\n• Correct,OCI MySQL Database Service,OCI MySQL Database Service — Incorrect\n• Managed MySQL service\n• Designed for open-source MySQL workloads\n• Does not provide Oracle Database or OS-level control\n•  Incorrect,OCI NoSQL Database Cloud Service, OCI NoSQL Database Cloud Service — Incorrect\n• Key-value NoSQL service\n• Not suitable for Oracle Database workloads\n• No host or OS-level access\n•  Incorrect,,,,,2,DBCS = customer-managed Oracle Database\nChoose OCI Database Cloud Service (DBCS) when the question mentions:\n• Bare metal or VM\n• Direct host / OS access\n• Maximum control and customization\nAvoid Autonomous Database if OS access is required,Core OCI Services
"An organization must centrally manage encryption keys, control key rotation, and perform cryptographic operations to protect sensitive data stored across multiple Oracle Cloud Infrastructure (OCI) services. Which OCI service should be used to meet this requirement?",Multiple Choice,Oracle Cloud Guard, Oracle Cloud Guard — Incorrect\n• Focuses on:\n  o Security posture management\n  o Detecting misconfigurations and risky activities\n• Does not manage encryption keys or cryptographic operations\n•  Incorrect,Oracle Identity and Access Management (IAM),"Oracle Identity and Access Management (IAM) — Incorrect\n• Manages:\n  o Users, groups, authentication, and authorization\n• Does not perform encryption or key management\n•  Incorrect",Oracle Vault, Oracle Vault — Correct\n• Centralized service for:\n  o Encryption key management\n  o Secrets management\n  o Cryptographic operations\n• Supports:\n  o Customer-managed keys (BYOK)\n  o Hardware Security Modules (HSMs)\n  o Key rotation and lifecycle control\n• Official OCI service for data encryption and cryptographic protection\n•  Correct,Oracle Data Safe,Oracle Data Safe — Incorrect\n• Focused on:\n  o Oracle Database security\n  o Sensitive data discovery\n  o Data masking and activity monitoring\n• Does not manage encryption keys\n•  Incorrect,,,,,3,Oracle Vault = Key management + cryptography\nChoose Vault when the question mentions:\n• Encryption keys\n• Cryptographic operations\n• Centralized key management\nDo not confuse:\n• Cloud Guard (posture monitoring)\n• Data Safe (database security)\n• IAM (access control),Security Services
"A SaaS provider hosts a mission-critical application in the US East (Ashburn) Oracle Cloud Infrastructure (OCI) region. To meet strict business continuity requirements, the solution must tolerate a complete regional failure while minimizing data loss and enabling fast recovery. Which disaster recovery strategy BEST meets these requirements?",Multiple Choice,Deploy application components across multiple Availability Domains in the US East (Ashburn) region without cross-region replication.,Deploy application components across multiple Availability Domains in the same region — Incorrect\n• Availability Domains protect against:\n  o Data center failures\n• They do not protect against a full regional outage\n• Classic exam trap: AD-level HA ≠ DR\n•Incorrect,Store application backups in OCI Object Storage within the same region for faster restore operations.," Store application backups in OCI Object Storage within the same region — Incorrect\n• Object Storage is highly durable, but:\n  o Still impacted by regional outages\n• Same-region backups do not meet regional DR requirements\n• Incorrect",Replicate application data asynchronously to a secondary OCI region using cross-region replication services.,Replicate application data asynchronously to a secondary OCI region using cross-region replication services — Correct\n• Cross-region replication:\n  o Protects against entire region failures\n  o Minimizes data loss (low RPO)\n  o Enables faster recovery (lower RTO)\n• OCI supports cross-region replication for:\n  o Databases (Data Guard)\n  o Object Storage\n  o Block Volume backups\n• This is the recommended OCI DR approach for regional outages\n• Correct,Run the application on OCI Container Engine for Kubernetes (OKE) with autoscaling enabled in a single region., Run the application on OKE with autoscaling in a single region — Incorrect\n• Autoscaling improves performance and availability\n• Does not address regional failure scenarios\n•  Incorrect,,,,,3,"Disaster Recovery ≠ High Availability\nFor regional outages, OCI expects:\n• Cross-region replication\nRemember:\n• Availability Domains → HA\n• Regions → DR\nIf the question mentions:\n• Regional outage\n• Minimize data loss\n• Rapid recovery\n👉 Always choose cross-region replication",Core OCI Services
A cloud architect wants to design a secure network in Oracle Cloud Infrastructure where compute instances inside a Virtual Cloud Network (VCN) must access Oracle-managed services such as Object Storage without using the public internet. Which OCI networking component should be configured to meet this requirement?,Multiple Choice,NAT Gateway,Allows outbound internet access from private subnets. Traffic still traverses the public internet. Does not provide private access to Oracle services.,Service Gateway,"Enables private access from a VCN to Oracle Cloud Infrastructure services such as Object Storage, Autonomous Database. Traffic stays on the Oracle network backbone and does not traverse the public internet. Official OCI solution for private service access.",Local Peering Gateway,Used for VCN-to-VCN connectivity within the same region. Does not connect to Oracle-managed services.,Dynamic Routing Gateway,Used for on-premises connectivity (VPN / FastConnect) and cross-network routing. Not intended for accessing Oracle services from a VCN.,,,,,2,Service Gateway = private access to Oracle services. Choose Service Gateway when the question mentions access to Oracle services without using the internet.,Core OCI Services
An architect is reviewing Oracle Cloud Infrastructure (OCI) storage offerings to determine which services can be directly provisioned for application workloads. The architect wants to identify any option that is not an actual OCI storage service.,Multiple Choice,OCI File Storage for shared file systems,OCI File Storage Service provides NFS-based shared file systems. Official and supported OCI storage service.,"OCI Block Storage for persistent, low-latency storage",OCI Block Volume provides high-performance persistent storage for compute and databases. Core OCI storage offering.,OCI Object Storage for unstructured data,"OCI Object Storage is highly durable and designed for unstructured data, backups, media. Core OCI storage offering.",OCI Distributed Database Storage for application-managed databases,OCI does not offer a service called Distributed Database Storage. Databases in OCI use Block Storage internally or are delivered as managed database services. Classic exam distractor using plausible-sounding terminology.,,,,,4,"If you see a generic or invented-sounding storage service, it is likely incorrect.",Core OCI Services
An organization is designing a new Oracle Cloud Infrastructure (OCI) environment and wants to establish a secure and compliant baseline before deploying workloads. The design must follow OCI security best practices and reduce the risk of unauthorized access or network exposure. Which TWO considerations are ESSENTIAL to meet these security and compliance requirements?,Multiple Choice,Configure Network Security Groups (NSGs) and Security Lists to control ingress and egress traffic,NSGs and Security Lists act as virtual firewalls controlling allowed inbound and outbound traffic. Essential for network isolation and limiting attack surface. Core OCI network security best practice.,Enable Multi-Factor Authentication (MFA) for OCI user accounts,"MFA adds an extra layer of protection to IAM users, significantly reduces risk of credential compromise. Strongly recommended as a first security step in OCI.",Purchase dedicated physical servers for each OCI service,OCI is a cloud service; physical infrastructure is managed by Oracle. Customers do not purchase or manage hardware.,Perform weekly manual operating system patching for all resources,Manual patching is not a compliance requirement; can be automated or handled by managed services.,Assign static public IP addresses to all OCI resources by default,Exposing all resources publicly increases security risk. OCI best practice: use private subnets and least exposure.,,,12,Secure OCI architecture always starts with strong identity protection (MFA) and controlled network access (NSGs & Security Lists). Avoid answers suggesting physical hardware management or excessive public exposure.,Governance and Administration
"An organization wants to run Oracle databases on Oracle Cloud Infrastructure (OCI) with minimal administrative overhead. The solution must be fully managed, support a multi-tenant architecture, and allow independent scaling of compute and storage to optimize costs. Which OCI database service BEST meets these requirements?",Multiple Choice,OCI Exadata Cloud Service,Runs on Exadata infrastructure. Provides high performance but uses dedicated infrastructure and requires more administrative control. Not multi-tenant in the Autonomous sense.,OCI Autonomous Database,"Fully managed, self-driving database service. Uses a multi-tenant architecture. Provides automatic patching, backups, tuning, independent scaling of compute and storage. Optimized for cost efficiency and reduced operational overhead.",OCI Bare Metal Database,Provides full OS and database control. Requires customer-managed patching and tuning. Not multi-tenant or fully managed.,OCI Virtual Cloud Network (VCN),"Networking construct, not a database service.",,,,,2,"Autonomous Database = fully managed, multi-tenant, elastic. Choose Autonomous Database when the question mentions fully managed, multi-tenant, cost efficiency, and easy scaling.",Core OCI Services
