Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
An organization plans a beta test for a near-release product to reduce market risk. The goal is to expose the system to real usage conditions before general availability. Which statement BEST defines beta testing?,multiple-choice,Beta testing involves real users using the product in realistic environments to uncover defects and usability issues before final release.,"Correct: Beta testing is field testing. Performed by real users, not developers. Occurs late, close to release. Focuses on defects, usability issues, and real-world feedback. Matches ISTQB definition.",Beta testing is executed by developers at the customer’s site to validate installation procedures.,Incorrect: Developers executing tests = system/support testing. Customer location alone does not make it beta testing. Exam trap: “customer site” ≠ beta.,Beta testing is an early development activity used to define acceptance criteria and market needs.,Incorrect: Acceptance criteria are defined before beta testing. Beta testing is not an early lifecycle activity. Exam trap: confusing market research with beta testing.,Beta testing replaces acceptance testing once system testing is completed.,"Incorrect: Beta testing supplements, not replaces, acceptance testing. Acceptance testing remains a formal decision activity. Exam trap: treating beta as a test level.",,,,,1," For the exam, remember: Beta testing = real users + real environments + pre-release feedback. It is not early. It is not done by developers. It does not define acceptance criteria. If the option mentions real users in real conditions before release, it is correct.",Acceptance Testing for NonFunctional Requirements
Which of the following statements regarding test techniques in acceptance testing are CORRECT?,multi-select,"Risk-based testing is based on risk types and risk levels, and test prioritization depends on identified product risks.",Correct: Core definition of risk-based testing. Tests are selected and prioritized based on product risk. Widely used in acceptance testing for focusing on business-critical areas.,"Experience-based testing, possibly combined with decision table testing, is used to validate business processes and business rules.",Incorrect: Experience-based testing relies on tester intuition and experience. Validation of business processes and rules is typically process-based or model-based testing. Exam trap: combining two valid techniques incorrectly.,Model-based testing uses graphical or textual models to derive acceptance tests.,"Correct: Acceptance tests are derived from models such as BPMN, DMN, state models. Explicit ISTQB definition of model-based testing. Common in acceptance testing.",Data-driven testing uses graphical or textual models to derive acceptance tests.,"Incorrect: Data-driven testing varies input data, not models. Often confused with model-based testing. High-frequency exam trap.",,,,,"1,3"," For acceptance testing techniques: Risk-based testing → risk types + risk levels → prioritization. Model-based testing → derive tests from models (BPMN, DMN, states). Experience-based testing → intuition and expertise (not models). Data-driven testing → data variation, not modeling. If the option says “models are used to derive tests”, it must be model-based testing.","Acceptance Criteria, Acceptance Tests and Experience-Based Practices"
"An organization wants tool support to plan, control, and monitor acceptance testing. The required capabilities include: Managing acceptance tests and execution campaigns; Managing test execution results. Which tool type provides these usages?",multiple-choice,Model-based testing tool,"Incorrect: Used to derive tests from models (e.g., BPMN, state models). Does not manage execution campaigns or results. Exam trap: confusing test design with test management.",Business process management tool,Incorrect: Used to model business processes and rules. Not responsible for test execution or result tracking. Exam trap: assuming BPM tools manage testing lifecycle.,Defect / Incident management tool,"Incorrect: Manages defects, incidents, and issues. Does not manage test campaigns or execution status. Exam trap: mixing defect tracking with test control.",Test management and automation tool,Correct: Designed to: Plan and manage test campaigns; Execute and track test runs; Collect and report execution results. Central tool for controlling acceptance testing. Correct.,,,,,4," Tool responsibilities in the exam: Test management & automation tools → tests, execution campaigns, results. Defect tools → issues and incidents. BPM tools → process and rule modeling. Model-based tools → test derivation. If the usage mentions managing test execution and results, the answer is always Test management and automation tool.","Acceptance Criteria, Acceptance Tests and Experience-Based Practices"
An organization uses multiple tools to support acceptance testing. Which activity is a typical usage of a Requirements Management tool?,multiple-choice,Traceability between tests and requirements,Correct: Core function of requirements management tools. Ensures each requirement is validated by tests. Supports coverage analysis and acceptance decisions. Central to impact analysis when requirements change.,Modeling business processes and business rules,Incorrect: Performed by BPM tools (BPMN/DMN). Not a requirements management responsibility. Exam trap: mixing modeling with management.,Traceability between tests and user stories,"Incorrect: Typically handled by test management or ALM tools. User stories are agile artifacts, not classical requirements here. Exam trap: assuming all traceability is requirements management.",Analyzing defect impact on business processes,Incorrect: Part of defect/incident management and business analysis. Not a core requirement tool usage. Exam trap: confusing impact analysis domains.,,,,,1," For the exam, remember tool responsibilities: Requirements management tool → requirements + traceability to tests. BPM tool → process and rule modeling. Test management tool → test cases, execution, results. Defect tool → defects and impact. If the usage mentions traceability to requirements, choose Requirements Management tool.","Acceptance Criteria, Acceptance Tests and Experience-Based Practices"
"At the end of acceptance testing, stakeholders must decide whether the product is ready for release. Which item is most likely included in an acceptance test summary report?",multiple-choice,Test strategy and detailed test design methods,Incorrect: Defined earlier in test planning. Not part of a summary report. Exam trap: confusing planning artifacts with reporting artifacts.,Information to evaluate the level of risk associated with releasing the product,"Correct: Core purpose of the acceptance test summary report. Summarizes results, residual risks, deviations, and confidence level. Direct input for go / no-go release decisions. Explicitly aligned with ISTQB reporting principles.",Detailed test procedure and step-by-step execution instructions,"Incorrect: Belong to test procedures, not summary reports. Too detailed for management decision-making. Exam trap: mixing execution artifacts with summary artifacts.",Technical implementation details of defect fixes,"Incorrect: Belong to defect reports or change logs. Acceptance summary focuses on impact, not technical solutions. Exam trap: confusing defect management with acceptance reporting.",,,,,2," An acceptance test summary report exists to answer one question: “Is the product ready to be released, and what risks remain?” Therefore, it includes overall results, residual risks, and acceptance readiness. If an option supports release decision-making, it is the correct one.","Acceptance Criteria, Acceptance Tests and Experience-Based Practices"
"A bank models a loan request process using BPMN: The application is reviewed; A decision (approve / reject) is made; A letter is always sent; If approved, a contract is created. Which statement is MOST correct when interpreting the BPMN model?",multiple-choice,Reviewing the credit report is an optional activity during application review.,"Incorrect: Optional behavior must be explicitly modeled (e.g., conditional flow). BPMN does not imply optionality without gateways. Exam trap: assuming optional execution without notation support.",Employment verification is skipped only when the loan is rejected.,Incorrect: BPMN paths must explicitly show conditional skipping. Rejection alone does not imply omission of verification unless modeled. Exam trap: inferring logic not shown in the model.,Creating the loan contract is modeled as a sub-process.,Incorrect: Sub-processes must be explicitly represented with BPMN sub-process notation. Cannot be assumed from narrative behavior. Exam trap: confusing conceptual grouping with BPMN structure.,Performing a title search and requesting a credit report are modeled as sequential tasks.,Correct: Sequential tasks are clearly defined by direct sequence flows. BPMN execution order is explicit and unambiguous. Correct interpretation based strictly on BPMN semantics. Correct.,,,,,4," In BPMN interpretation questions: Only what is explicitly modeled is valid. Sequence flows = execution order. Optional, conditional, or skipped behavior is incorrect unless shown with gateways. Never infer intent from narrative alone. If the option describes explicit flow semantics, it is the safest correct answer.",Business Process and Business Rules Modeling
An organization applies ISTQB CTFL test activities together with IQBBA FL business analysis activities. Which statement BEST describes how test activities relate to business analysis and requirements engineering?,multiple-choice,"Business analysts and testers must choose either IQBBA or ISTQB processes, as they exclude each other.","Incorrect: IQBBA and ISTQB are complementary, not mutually exclusive. Collaboration across roles is expected. Exam trap: treating frameworks as competing processes.",Business analysts following the IQBBA process are not involved in test case design.,Incorrect: Business analysts often collaborate in defining acceptance criteria and reviewing tests. They are not excluded from test design discussions. Exam trap: strict role separation.,The IQBBA solution evaluation phase always occurs before ISTQB test implementation and execution.,Incorrect: Business analysis and testing activities overlap and iterate. There is no strict sequential ordering. Exam trap: waterfall-style phase thinking.,Test analysis and test design activities may result in changes to acceptance criteria.,"Correct: Test analysis and design often reveal ambiguities, gaps, or inconsistencies. This feedback can lead to refinement or correction of acceptance criteria. Reflects iterative collaboration between BA and testing roles. Fully aligned with ISTQB CTFL and IQBBA principles.",,,,,4, Business analysis and testing continuously influence each other. Test analysis can expose issues in requirements and acceptance criteria; iterative refinement is expected and encouraged.,Collaborative Acceptance Testing
"A team is selecting quality attributes most relevant for acceptance testing, focusing on whether the solution is acceptable to stakeholders and users, rather than on internal technical qualities. Given the attributes: (i) commercializability, (ii) functional suitability, (iii) viability, (iv) reliability, (v) security, (vi) cognitive ability, (vii) maintainability. Which set contains the MOST relevant quality attributes for acceptance testing?",multiple-choice,"iii, iv and v","Incorrect: Viability is a business/strategic concern, not acceptance testing. Reliability is important but often validated earlier at system level. Exam trap: mixing strategic and operational qualities.","i, ii and vi","Incorrect: Commercializability relates to market strategy, not acceptance testing. Acceptance testing does not decide go-to-market viability. Exam trap: confusing business strategy with acceptance criteria.","ii, v and vii",Incorrect: Maintainability concerns future changes and internal structure. Not a primary acceptance testing focus. Exam trap: internal quality vs acceptance quality.,"ii, v and vi","Correct: Functional suitability (does the system do what users need), Security (access control/data protection), and Cognitive ability (understanding/using the system effectively) directly influence user and business acceptance. Central focus of acceptance testing.",,,,,4," Acceptance testing prioritizes qualities that determine whether users and stakeholders accept the solution: Functional suitability, Security, and Usability/cognitive aspects. Internal or strategic attributes like maintainability or commercializability are not primary drivers.",Acceptance Testing for NonFunctional Requirements
ISO/IEC 25010 defines a Quality in Use model with a fixed set of characteristics used to evaluate how well users achieve goals in a real context of use. Which option lists only valid Quality in Use characteristics as defined by ISO/IEC 25010?,multiple-choice,"Comfort, pleasure, satisfaction, freedom from risk, and content coverage.","Incorrect: Comfort and pleasure are sub-characteristics of Satisfaction, not characteristics. Content coverage is incorrect; the standard uses context coverage. Exam trap: mixing hierarchy levels + near-spelling.","Effectiveness, efficiency, satisfaction, freedom from risk, and context coverage.","Correct: These are the exact five characteristics defined in the ISO/IEC 25010 Quality in Use model. No paraphrasing, no sub-characteristics, no invented terms. This precise wording is exam-critical.","Comfortability, proficiency, engagement, control of risk, and content coverage.","Incorrect: Terms like comfortability, proficiency, and engagement are not ISO terms. Control of risk is a paraphrase; ISO uses freedom from risk. Exam trap: plausible UX wording, wrong standard terminology.","Effectivity, productivity, engagement, control of risk, and context coverage.","Incorrect: Effectivity, productivity, and engagement are non-ISO terms. Again uses control of risk instead of freedom from risk. High-frequency trap: synonyms instead of exact ISO wording.",,,,,2," For ISO/IEC 25010 – Quality in Use, memorize the exact five characteristics: Effectiveness, Efficiency, Satisfaction, Freedom from risk, and Context coverage. Synonyms and sub-characteristics are incorrect options in this context.",Acceptance Testing for NonFunctional Requirements
"When business process models (e.g., BPMN + DMN) are used to generate acceptance tests, certain elements are treated as coverage items to ensure sufficient test scope. Which of the following is NOT a typical coverage item when deriving acceptance tests from business process models?",multiple-choice,Rules in decision tables that describe business goals,Incorrect: Decision table rules (DMN) are core coverage items. Each rule represents a distinct business condition. Commonly used to derive acceptance tests.,"User stories, requirements, and risks annotated in the process model",Incorrect: Used for traceability and coverage justification. Help ensure acceptance tests align with business intent and risk. Valid coverage items.,User scenarios represented by different execution paths through the process,Incorrect: Paths through the process define realistic user scenarios. Frequently used to derive acceptance tests. Central to process-based testing.,All possible paths through the business process model,"Correct: Business process models can have combinatorial explosion. Testing all paths is usually impractical and unnecessary. Acceptance testing is risk- and value-based, not exhaustive. Classic exam trap: equating coverage with exhaustiveness.",,,,,4," In acceptance testing with business process models, coverage is selective and risk-based. Decision rules, scenarios, and annotated risks are valid coverage items, but exhaustive path coverage is NOT expected.",Business Process and Business Rules Modeling
An organization applies model-based testing (MBT) to support acceptance testing using business process and rule models. Which of the following is a typical usage of a Model-based Testing tool?,multiple-choice,Manage test execution results,"Incorrect: This is handled by test management tools. MBT focuses on test derivation, not execution reporting. Exam trap: confusing design-time vs execution-time tools.",Manage defect / incident lifecycle,Incorrect: This is the responsibility of defect/incident management tools. MBT does not track defects. Exam trap: mixing QA management with modeling tools.,"Manage traceability between business process models, business rules, requirements, and test cases",Correct: Core purpose of MBT is to link models to derived tests. Supports coverage analysis and impact analysis. Central to acceptance testing based on BPMN / DMN.,Manage acceptance tests and test execution campaigns,Incorrect: Campaign planning and execution belong to test management tools. MBT stops at test generation / derivation. Exam trap: assuming one tool does everything.,,,,,3," For tool questions, always separate responsibilities: Model-based testing tools handle models, test derivation, and traceability. Test management tools handle execution campaigns and results. Defect tools handle incidents and defects.","Acceptance Criteria, Acceptance Tests and Experience-Based Practices"
"In some development approaches, acceptance test analysis and design are considered an integral part of requirements engineering, rather than a later testing activity. In which process is acceptance test analysis and design explicitly part of the requirements engineering process?",multiple-choice,Acceptance Test-Driven Development (ATDD),Correct: Acceptance tests are defined before development and serve to define and refine requirements. Test analysis and design are part of requirements engineering. This is a core principle of ATDD and CT-AcT.,Tool-driven evaluation (TDE),Incorrect: Focuses on evaluating usability or quality using tools. Not a development or requirements engineering process. Exam trap: “evaluation” is not requirements definition.,Test-Driven Development (TDD),Incorrect: Focuses on unit tests. Acceptance tests are not part of requirements engineering in standard TDD. Exam trap: confusing developer tests with acceptance tests.,Regression-averse development (RAD),Incorrect: Not a standard ISTQB / CT-AcT process. Exam trap: plausible-sounding but non-standard term.,,,,,1," If the question asks where acceptance tests are part of requirements engineering, the answer is always ATDD. In ATDD, acceptance tests define requirements, whereas in TDD, unit tests guide coding.",Introduction and Foundations
Acceptance testing focuses on validating business requirements and acceptance criteria without relying on internal implementation details. Which test design technique fits acceptance testing purposes BEST?,multiple-choice,Static code analysis,Incorrect: Requires access to source code and focuses on internal structure. Not suitable for acceptance testing. Exam trap: confusing developer testing with acceptance testing.,Input validation,"Incorrect: Not a test design technique. Describes what is tested (an activity/goal), not how tests are designed. Exam trap: activity vs technique.",Defect-based test design,"Incorrect: Relies on known defect patterns. More suitable for regression or system testing. Acceptance testing focuses on requirements fulfillment, not defect history.",Equivalence partitioning,Correct: A black-box technique that derives tests from input domains and business rules. Efficiently demonstrates coverage of acceptance criteria. Widely used and recommended for acceptance testing.,,,,,4," For acceptance testing, prefer black-box techniques like Equivalence Partitioning that are independent of implementation and directly relate to requirements and acceptance criteria. Avoid code-focused or history-driven techniques in this phase.","Acceptance Criteria, Acceptance Tests and Experience-Based Practices"
"An organization merges Business Analysis and Testing into a unified Quality Engineering function. Stakeholders propose skipping Solution Evaluation to save cost, arguing that successful acceptance test execution already proves the system works. As a lead, how do you BEST justify why Solution Evaluation cannot be skipped?",multiple-choice,Solution evaluation is the only phase where RAD metrics are calculated to ensure maintainability.,Incorrect: RAD metrics and maintainability are not the purpose of solution evaluation. Exam trap: inventing a technical justification.,Solution evaluation is a mandatory technical prerequisite for test implementation in CT-AcT.,Incorrect: Solution evaluation is not a technical prerequisite. CT-AcT does not enforce strict phase gating. Exam trap: false dependency.,"Without solution evaluation, gateway coverage for business process models cannot be achieved.","Incorrect: Gateway coverage relates to test design completeness, not solution evaluation. Exam trap: mixing modeling coverage with value assessment.","Acceptance testing confirms conformance to criteria, while solution evaluation determines whether the solution delivers intended business value and ROI.","Correct: Acceptance testing asks ""Did we meet specified criteria?"" while Solution evaluation asks ""Did we deliver the intended business value?"" This confirms fitness for purpose and ROI. Core distinction in CT-AcT + IQBBA alignment.",,,,,4, Acceptance Testing = conformance to agreed criteria. Solution Evaluation = validation of business value and benefits realization. Passing tests does not guarantee delivering value.,Introduction and Foundations
"A financial institution tests an automated trading system against ISO/IEC 25010 – Quality in Use requirements. Although trades execute correctly, the system fails to log minor data discrepancies that could cause audit failures and financial penalties years later. Which Quality in Use sub-characteristic is most directly impacted?",multiple-choice,Environmental risk mitigation,"Incorrect: Relates to environmental harm (energy, pollution). No connection to financial audits.",Economic risk mitigation,"Correct: Sub-characteristic of Freedom from Risk. Addresses risks of financial loss, penalties, audits, and compliance failures. Missing logs lead to future economic damage. Direct match for audit/financial exposure.",Health and safety risk mitigation,Incorrect: Focuses on physical harm to people. Not applicable to financial data discrepancies.,Context coverage,"Incorrect: Concerns correct operation across different usage contexts. Logging gaps are a risk issue, not a context issue.",,,,,2," Freedom from Risk in ISO 25010 includes Economic, Health/Safety, and Environmental risk mitigation. If a failure causes fines, audit issues, or financial loss, it is Economic risk mitigation.",Acceptance Testing for NonFunctional Requirements
"A team practicing ATDD is distilling a user story during a legacy system migration. The BPMN business process model is incomplete, yet developers have already started coding to the interface. The tester warns that this violates the Shared Understanding principle. What is the most serious risk caused by continuing in this situation?",multiple-choice,Inability to run static analysis tools due to missing BPMN annotations,Incorrect: Static analysis is unrelated to ATDD shared understanding. BPMN incompleteness does not block technical static analysis.,"Divergence of the executable specification from real business intent, resulting in a system that passes tests but fails business goals",Correct: ATDD relies on models to express intent. Incomplete models lead to misaligned scenarios. Developers may build behavior that satisfies tests but fails business goals. Highest-impact risk in ATDD.,Failure to reach 100% statement coverage during unit testing,"Incorrect: Statement coverage is a unit testing concern, not relevant to acceptance testing or shared understanding.",Creation of redundant equivalence partitions for input validation tests,Incorrect: Equivalence partitions are a test design efficiency issue. Does not threaten business correctness.,,,,,2, The greatest risk of incomplete models in ATDD is semantic: building a system that passes all acceptance tests but still delivers the wrong business outcome.,Collaborative Acceptance Testing
"In a regulated medical device project, the Acceptance Test Summary Report shows a 98% overall pass rate, with 100% functional requirements passed. Remaining failures relate to Cognitive Ability of the UI. As an Acceptance Tester, how should the risk be evaluated?",multiple-choice,Functional suitability overrides usability in regulated medical systems.,Incorrect: Medical regulations emphasize safe use. Usability failures can invalidate acceptance. Exam trap: assuming functionality dominates safety.,The risk can be mitigated by additional static code analysis of the UI.,Incorrect: Static analysis cannot address user cognition or interaction risks. Usability issues require design and validation changes.,Cognitive ability is an internal technical quality and does not affect acceptance.,"Incorrect: Cognitive ability is part of Quality in Use, not internal quality. Directly affects user behavior and safety.",Failures in cognitive ability pose a high Quality in Use risk that may cause user errors and threaten patient safety.,"Correct: Cognitive ability failures increase user error probability. In medical contexts, this directly impacts patient safety. Represents high residual risk regardless of pass rate.",,,,,4," In safety-critical systems, Quality in Use outweighs pass percentage. Cognitive ability failures represent a high risk of user error, meaning functional success does not override safety risks.",Acceptance Testing for NonFunctional Requirements
