Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"A company is developing a new mobile banking application and wants to define UX requirements that meet user expectations shaped by existing market solutions. Before defining usability and satisfaction-related acceptance criteria, the team performs an analysis to understand how similar products address user needs, interaction patterns, and perceived experience. Which activity represents a core pillar of UX requirements analysis in this context? ",multiple-choice,Reviewing internal functional requirements to ensure completeness and traceability.,Incorrect. Functional requirements analysis is a general development activity. Does not focus on user experience or external user expectations. Classic exam trap: selecting a generic lifecycle activity instead of a UX-specific pillar.,"Comparing competitor applications to identify common UX patterns, strengths, and user expectations.","Correct. This is competition analysis, a recognized pillar of UX requirements analysis. Helps identify UX benchmarks and user expectations shaped by the market. Supports defining realistic and competitive UX acceptance criteria. Reference: UX Requirements Analysis practices in Acceptance Testing for NonFunctional Requirements.",Deriving acceptance criteria from test cases used in previous projects.,"Incorrect. Acceptance criteria are outputs of UX requirements analysis, not inputs. Reusing test cases bypasses understanding user context and expectations. Exam trap: reversing cause and effect between UX analysis and testing.",Evaluating test results from system testing to refine UX metrics.,Incorrect. Occurs too late in the lifecycle. UX requirements analysis is performed before implementation and testing. Exam trap: confusing validation activities with requirements analysis.,,,,,2, One pillar of UX requirements analysis is competition analysis. It focuses on understanding external user expectations and market standards.,Acceptance Testing for NonFunctional Requirements
"During formal acceptance testing of a regulatory-critical system, several deviations from expected behavior are detected. For each deviation, the team performs a business impact analysis, assesses operational and compliance risks, and agrees on a binding decision (for example: fix before release, accept with restriction, or formally defer). This information must remain traceable for audits and future releases. Where should this impact analysis together with the resulting decision and rationale be documented? ",multiple-choice,"In the acceptance test summary report, because it consolidates overall acceptance status and release readiness.",Incorrect. Contains aggregated results and recommendations. Does not document individual defect-level impact analysis and decisions. Classic exam trap: mistaking management-level summaries for detailed decision records.,"In the defect report, where deviations, their business impact, and agreed corrective or acceptance actions are recorded.","Correct. Defect reports are the authoritative artifact for documenting deviations, capturing business/risk impact, and recording decisions (fix, accept, defer) and rationale. Required for traceability, audits, and acceptance decisions. Fully aligned with acceptance testing incident and defect management practices.","In the test execution report, which captures execution evidence and outcomes of acceptance tests.",Incorrect. Focuses on what was executed and whether it passed or failed. Does not include structured impact analysis or decision rationale. Exam trap: confusing execution evidence with decision documentation.,"In the error report, as it contains the technical description and classification of observed failures.",Incorrect. Error reports capture observations or symptoms. They do not include business impact assessment or acceptance decisions. Exam trap: treating “error” and “defect” as interchangeable.,"In the release note, since it communicates known limitations to stakeholders.","Incorrect. Release notes communicate externally. They are not used for internal analysis, decision-making, or traceability. Exam trap: confusing communication artifacts with control artifacts.",,,2," In acceptance testing, the defect report is the single place where deviations, business impact, and formal decisions/rationales are recorded.",Acceptance Tests and Experience Based Practices
"During acceptance testing of a customer-facing web application, the organization wants to ensure that the acceptance process itself is controlled, transparent, and continuously improved, without shifting acceptance testing into technical test execution or defect detection activities. Which of the following activities represents a QA activity that should be applied during acceptance testing? ",multiple-choice,"Analyzing acceptance test results to collect metrics, track trends, and provide input for process improvement and acceptance decisions.","Correct. QA activities focus on process quality, not product defect detection. Measuring, reporting, and analyzing outcomes supports transparency, informed decisions, and continuous improvement. Fully aligned with QA responsibilities. Reference: QA vs QC distinction in acceptance testing practices.",Performing exploratory testing on the delivered system to uncover previously undetected coding defects.,"Incorrect. This is a QC activity aimed at defect detection. Acceptance testing validates business needs, not code correctness. Classic exam trap: assuming all testing activities are QA.",Executing cross-browser and cross-platform tests to verify technical compatibility across environments.,Incorrect. Cross-browser/platform testing is a technical test execution activity. Typically performed during system or non-functional testing. Not a QA activity applied during acceptance testing. Exam trap: confusing test execution with QA oversight.,Re-running failed system test cases to confirm whether defects have been fixed before acceptance.,Incorrect. Retesting fixes is part of defect verification (QC). QA does not execute tests or verify fixes. Exam trap: mixing quality assurance with quality control.,,,,,1," During acceptance testing, QA activities focus on reporting, measurement, and process evaluation, not on executing tests or finding defects.",Acceptance Tests and Experience Based Practices
A product team is defining acceptance criteria for a new online booking system. The business stakeholders want to ensure that acceptance decisions cover both correct business behavior and user expectations related to performance and usability. Which of the following practices should be applied when defining acceptance criteria? ,multiple-choice,"Acceptance criteria should include relevant non-functional aspects (such as performance, usability, or security) when these are critical for stakeholder acceptance.",Correct. Acceptance criteria define the conditions under which stakeholders accept the system. Stakeholder acceptance often depends on non-functional requirements (NFRs). Including NFRs makes criteria measurable and testable. Aligns with acceptance testing practices for non-functional requirements.,"Acceptance criteria should be limited to functional behavior, while non-functional requirements are validated only during system testing.",Incorrect. Acceptance testing also validates non-functional requirements important to users. Deferring NFR validation can lead to late acceptance risks. Classic exam trap: assuming NFRs belong only to system testing.,Acceptance criteria should exclude non-functional aspects to avoid making acceptance decisions subjective.,Incorrect. Well-defined NFR acceptance criteria can be objective and measurable. Excluding NFRs weakens acceptance decisions. Exam trap: treating NFRs as inherently subjective.,"Acceptance criteria should focus only on domain rules and business logic, leaving quality attributes to technical specifications.","Incorrect. Acceptance criteria are business-focused, not purely functional. Quality attributes directly affect business acceptance. Exam trap: confusing domain requirements with acceptance conditions.",,,,,1, Acceptance criteria are not limited to functional behavior; they must include relevant NFRs whenever these influence stakeholder acceptance.,Acceptance Tests and Experience Based Practices
"A cross-functional team is using business process models to support acceptance testing for a complex end-to-end process involving multiple systems and decision rules. The models must be understandable by business stakeholders, testers, and developers, and also support traceability to risks and requirements without reducing readability. Which of the following practices represents good practice in business process modeling in this context? ",multiple-choice,"Consolidating all subprocesses, decisions, and exceptions into a single diagram to ensure nothing is overlooked.",Incorrect. Overloaded diagrams reduce readability and stakeholder understanding. Good modeling favors decomposition and clarity. Classic exam trap: assuming “more detail in one diagram” equals better quality.,"Embedding detailed acceptance criteria, risks, and user story identifiers directly inside BPMN activities and flows.","Incorrect. Clutters the workflow and obscures process logic. Traceability should exist, but not at the cost of model clarity. Exam trap: confusing traceability with embedding everything in the diagram.","Keeping the workflow focused on process logic, while maintaining links to requirements and risks separately from the core diagram.",Correct. Improves readability and shared understanding. Separates process logic from traceability and analysis concerns. Supports acceptance testing without overloading BPMN or DMN models. Aligns with good practice in business process and rules modeling.,Finalizing business process models before involving acceptance testers to avoid rework and scope discussions.,Incorrect. Acceptance testers should be involved early to validate testability and acceptance aspects. Late involvement increases risk of misalignment. Exam trap: waterfall-style handoff thinking.,,,,,3, Good business process modeling balances clarity and traceability. Keep workflow diagrams readable and focused on logic while maintaining links to requirements and risks separately.,Business Process and Business Rules Modeling
"A product team uses BPMN for business processes and DMN for decision logic to support acceptance testing of a complex end-to-end business flow. The models are reviewed by business stakeholders, testers, and developers. Past projects failed because models became hard to understand and overloaded with information, reducing their usefulness for acceptance testing. Which practice should be applied to ensure BPMN and DMN models effectively support acceptance testing? ",multiple-choice,BPMN diagrams should explicitly include all acceptance criteria and test cases to ensure full test coverage.,Incorrect. Overloads process diagrams with testing details. Reduces readability for business stakeholders. Classic exam trap: assuming “more information in diagrams” improves acceptance testing.,Business rules modeled in DMN should be created only by testers to ensure testability and consistency.,Incorrect. DMN modeling is a collaborative activity involving business and testing roles. Excluding business stakeholders risks incorrect rule interpretation. Exam trap: assigning ownership of business rules to testers only.,Supplementary information such as user story identifiers and risks should be embedded directly into every BPMN activity and DMN cell.,Incorrect. Excessive annotations clutter diagrams. Traceability should exist but not obscure process or decision logic. Exam trap: confusing traceability with embedding everything graphically.,"BPMN and DMN diagrams should remain as simple as possible, structured into processes and decisions to limit graphical elements and preserve readability.",Correct. Simplicity improves shared understanding across roles. Structured decomposition supports acceptance testing without overwhelming stakeholders. Additional information can be linked externally or via lightweight references. Aligns with good practices for business process and rules modeling.,,,,,4," For acceptance testing, BPMN and DMN models must prioritize clarity and readability. Simple and structured diagrams support better collaboration than cluttered ones.",Business Process and Business Rules Modeling
"A public-sector organization is validating a citizen-facing digital service before final acceptance. During the acceptance discussion, stakeholders emphasize that users must feel confident, comfortable, and pleased when interacting with the system in their real working context, beyond just correct functionality or technical efficiency. Which of the following aspects belongs to the quality in use model defined in ISO/IEC 25010 and is most relevant to this acceptance concern? ",multiple-choice,Context correctness,"Incorrect. Not an ISO/IEC 25010 quality-in-use aspect. The standard defines context coverage, not “context correctness”. Classic exam trap: near-correct wording that does not exist in the standard.",Performance,"Incorrect. Performance efficiency is a product quality characteristic. It belongs to the product quality model, not the quality-in-use model. Exam trap: confusing product quality with quality in use.",Closure completeness,Incorrect. Not a characteristic or aspect defined in ISO/IEC 25010. Sounds formal but has no meaning in the standard. Exam trap: invented terminology.,Satisfaction,"Correct. One of the core aspects of the quality in use model. Reflects the degree to which user needs are fulfilled when using the system. Includes sub-characteristics such as trust, comfort, usefulness, and pleasure. Directly supports acceptance decisions focused on real user experience. Reference: ISO/IEC 25010 – Quality in Use Model.",,,,,4," In ISO/IEC 25010, quality in use focuses on the user’s experience in real contexts. Satisfaction includes trust, comfort, and pleasure.",Acceptance Testing for NonFunctional Requirements
"A team adopts Acceptance Test-Driven Development (ATDD) for a complex business workflow involving multiple decision points. They use BPMN and DMN models not only during requirements analysis, but also throughout development and acceptance testing. Which principle BEST underpins the use of business process modeling for ATDD in this scenario? ",multiple-choice,Business process and rule models serve as continuously updated artifacts that describe the expected business behavior and remain relevant throughout development and acceptance testing.,"Correct. In ATDD, models are treated as living documentation. They represent the actual expected behavior, not static specifications. Used collaboratively by business, testers, and developers. Updated as requirements and understanding evolve. Directly reflects the foundational principle of modeling in ATDD.",Business process models are finalized early and reviewed exclusively with product owners to confirm alignment with high-level business goals.,"Incorrect. ATDD emphasizes collaboration across roles, not limited reviews. Models are not “finalized early”; they evolve continuously. Classic exam trap: waterfall-style thinking applied to ATDD.",Business process and rule models are primarily used as input for tools that automatically generate and maintain acceptance test scripts.,"Incorrect. Automation can be supported, but it is not the core principle. The key value is shared understanding, not automated test generation. Exam trap: overemphasizing tooling instead of collaboration and intent.",Business analysts and testers use process models mainly to determine when new acceptance test plans must be created after changes.,"Incorrect. Models are used to express and clarify expected behavior, not mainly for test planning triggers. Acceptance test planning is a secondary effect, not the foundation. Exam trap: narrowing the purpose of models too much.",,,,,1," In ATDD, business process and rule models are living documentation. They continuously describe expected behavior and are shared across all roles.",Business Process and Business Rules Modeling
"During acceptance test preparation, the tester has already defined the coverage items based on acceptance criteria and business rules. What is the next logical step in the acceptance testing process? ",multiple-choice,The tester designs a set of test cases that cover the defined coverage items.,Correct. Coverage items define what must be tested. The next step is to design concrete test cases to cover them. Aligns with ISTQB test design workflow.,The tester executes the test cases that cover the defined coverage items.,Incorrect. Test execution happens after test cases are designed. Exam trap: skipping test design.,The tester creates high-level test scenarios to replace the defined coverage items.,"Incorrect. Coverage items already represent test conditions. Scenarios may exist earlier, not after coverage definition. Exam trap: confusing coverage items with scenarios.",The tester reports acceptance test results to stakeholders.,Incorrect. Reporting is based on executed tests. Cannot occur before test design and execution. Exam trap: jumping to reporting too early.,,,,,1," Once coverage items are defined, the immediate next step is to design test cases that cover them (Coverage items -> Test case design -> Test execution -> Reporting).",Acceptance Tests and Experience Based Practices
"During acceptance testing of a customer-facing system, the goal is to confirm that the solution meets business needs and acceptance criteria, while also focusing testing effort on the most critical areas. Which set of test techniques is MOST appropriate for acceptance testing? ",multiple-choice,"Use structural (white-box) techniques to validate internal code paths, supplemented by black-box techniques when time allows.",Incorrect. White-box techniques are used at unit or component level. Acceptance testing does not focus on internal implementation. Exam trap: applying developer-level techniques to acceptance testing.,Use business-oriented techniques such as process-based testing and risk-based testing derived from business impact.,Correct. Acceptance testing focuses on business processes and stakeholder expectations. Process-based techniques validate end-to-end workflows. Risk-based testing prioritizes what matters most for acceptance. Fully aligned with acceptance testing objectives.,Rely primarily on automated tests executed in a CI/CD pipeline after development is completed.,Incorrect. Automation supports testing but is not a test technique. Acceptance testing is not defined by tooling or pipelines. Exam trap: confusing automation strategy with test techniques.,"Use black-box techniques only to verify functional requirements, excluding any prioritization based on risk.",Incorrect. Acceptance testing includes risk-based prioritization. Ignoring risk can lead to acceptance failure. Exam trap: assuming functional coverage alone is sufficient.,,,,,2, Acceptance testing uses business-focused test techniques such as process-based and risk-based testing to prioritize stakeholder needs.,Acceptance Tests and Experience Based Practices
Which statement about performance testing is MOST correct? ,multiple-choice,Performance testing evaluates protection against malicious attacks.,"Incorrect. Describes security testing, not performance testing. Exam trap: confusing robustness with security.",Performance testing measures system behavior under representative operating conditions.,"Correct. Performance testing evaluates response time, throughput, and stability. Tests are executed under workloads that reflect real usage. Core definition of performance testing.",Performance testing is classified only by the workload model used.,"Incorrect. Load, stress, and endurance tests differ by objective, not only by model. Exam trap: oversimplifying performance test classification.",Performance testing is mainly used to define hardware and software requirements.,Incorrect. Requirements should be defined before testing. Performance testing validates whether requirements are met. Exam trap: reversing purpose and outcome.,,,,,2," Performance testing checks how a system behaves under realistic usage conditions (response time, throughput, etc.).",Acceptance Testing for NonFunctional Requirements
Which is a good practice when using BPMN for acceptance testing? ,multiple-choice,BPMN diagrams should show the entire end-to-end process in a single workflow.,"Incorrect. Large, single diagrams reduce readability. BPMN good practice favors decomposition. Exam trap: assuming “end-to-end” means “one big diagram”.",BPMN diagrams must avoid any references to user stories or requirements.,"Incorrect. Traceability is useful, but should be handled carefully. The issue is clutter, not the existence of links. Exam trap: absolute statements (“must not”).",Decision tables have little value because they focus on technical details.,"Incorrect. Decision tables (DMN) capture business rules, not technical logic. They are highly valuable for acceptance testing. Exam trap: misclassifying business rules as technical.",Using multiple sub-processes in BPMN diagrams improves understanding and readability.,Correct. Sub-processes reduce visual complexity and improve communication with business and testers. Aligns with BPMN modeling best practices.,,,,,4," For acceptance testing, BPMN models should be clear and readable. Decompose processes using sub-processes to avoid visual complexity.",Business Process and Business Rules Modeling
