Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
"An organization has applications that rely on LDAP, Kerberos, and NTLM authentication, but they do not want to deploy or manage domain controllers in Azure. How does Microsoft Entra Domain Services (MDS) help in this scenario?",multiple-choice,It replaces on-premises Active Directory Domain Services entirely,MDS does not replace AD DS. It complements and extends it for cloud workloads.,It provides a completely independent identity system unrelated to Active Directory,MDS relies on identities synchronized from Microsoft Entra ID / AD DS. It is not a standalone identity platform.,It extends Active Directory Domain Services capabilities to Azure as a managed service,"Microsoft Entra Domain Services (formerly Azure AD Domain Services): Provides managed domain services such as: LDAP, Kerberos, NTLM, and Group Policy. Does not require you to deploy or manage domain controllers. Works by extending existing Microsoft Entra ID / AD DS identities into Azure. It is designed to extend AD DS–like functionality into the cloud, not replace it.",It supports only cloud-native applications that do not require domain services,MDS supports legacy and modern applications that depend on traditional domain authentication protocols.,,,,,3,"Microsoft Entra Domain Services extends AD DS capabilities to Azure as a fully managed service, eliminating the need to manage domain controllers.",Azure Management and Governance
"An application running in Azure needs to handle a rapidly growing number of users. Instead of increasing the size of a single server, the design allows adding more identical servers behind a load balancer as demand grows. Which type of scaling does this approach represent?",multiple-choice,Vertical scaling (scaling up),"Vertical scaling (scaling up) means increasing the size of an existing resource (more CPU/RAM). It is limited by the maximum size of a single machine and often requires downtime. Because of these limits, vertical scaling does not provide practically unlimited growth.",Horizontal scaling (scaling out),"Horizontal scaling (scaling out) means: Adding more instances of a resource (for example, more VMs or app instances). Distributing traffic across those instances. Enabling near-unlimited growth, limited mainly by platform or design constraints. This is the preferred model in cloud environments because it improves resiliency, supports very large workloads, and works well with load balancers and auto-scaling.",,,,,,,,,2,"Horizontal scaling (scaling out) enables practically unlimited growth by adding more resource instances, making it ideal for cloud-native applications.",Cloud Concepts
"A government organization needs to keep highly sensitive data in a tightly controlled environment, while also using the cloud to host public-facing websites and non-sensitive workloads to benefit from scalability and cost efficiency. Which cloud deployment model best fits this requirement?",multiple-choice,Public Cloud,Not ideal for highly sensitive or regulated data alone. May not meet strict compliance or control requirements.,Private Cloud,"While secure, it does not take advantage of public cloud scalability and cost benefits for non-sensitive workloads.",Hybrid Cloud,A Hybrid Cloud combines: Private cloud or on-premises infrastructure for sensitive or regulated data. Public cloud services for non-sensitive workloads that benefit from scalability and cost efficiency. In this scenario: Sensitive healthcare/government data stays in a controlled environment. Non-sensitive workloads leverage public cloud advantages. This balance makes Hybrid Cloud the most suitable model.,Community Cloud,"Designed for multiple organizations with shared requirements (for example, multiple hospitals sharing infrastructure). Not the best fit for mixing sensitive and non-sensitive workloads within a single organization.",,,,,3,"When an organization needs to keep sensitive data secure while still leveraging the public cloud for less sensitive workloads, a Hybrid Cloud is the best choice.",Cloud Concepts
"An attacker attempts to make an online application unavailable by flooding it with an extremely high volume of network traffic, preventing legitimate users from accessing the service. What type of attack does this describe?",multiple-choice,Phishing,"Phishing tricks users into revealing sensitive information (passwords, credit cards). It does not overload systems with traffic.",Malware infection,Malware installs malicious software to damage systems or steal data. It does not primarily focus on traffic flooding.,Distributed Denial of Service (DDoS) attack,"A (Distributed) Denial of Service (DDoS) attack aims to: Overwhelm an application, server, or network. Exhaust available resources (CPU, memory, bandwidth). Prevent legitimate users from accessing the service. In cloud environments, this is a common threat addressed using services like Azure DDoS Protection.",SQL Injection attack,"SQL Injection exploits poorly validated inputs to manipulate databases. It targets data integrity, not service availability.",,,,,3,"A Denial of Service (DoS/DDoS) attack disrupts cloud services by overwhelming them with traffic, making them unavailable to legitimate users.",Azure Management and Governance
"An organization designs its security strategy assuming that no user, device, or network location is inherently trusted, even if the request originates from inside the corporate network. Every access request must be validated before access is granted. Which statement best represents this security approach?",multiple-choice,Trust internal users by default and monitor them periodically,Zero Trust removes the concept of a trusted internal network.,Grant access once a user successfully authenticates the first time,"Zero Trust requires continuous evaluation, not one-time verification.",Never trust any request implicitly and continuously validate access,"The Zero Trust security model is built on the principle: “Never trust, always verify.” This means: No implicit trust based on location (inside or outside the network). Continuous verification of identity, device health, and context. Enforcement of least-privilege access. This approach significantly reduces the attack surface and limits lateral movement.",Hide systems from the network to prevent discovery,"This describes security through obscurity, which is not a Zero Trust principle.",,,,,3,The core principle of Zero Trust security is never trust any user or device by default—always verify every access request.,Azure Management and Governance
"When using cloud services, some security and management tasks are handled by the cloud provider, while others remain the customer’s responsibility depending on the service model (IaaS, PaaS, SaaS). Which model defines this division of responsibilities?",multiple-choice,Consumption-based pricing model,"Describes how you are billed for cloud services, not responsibility boundaries.",Zero Trust security model,"A security philosophy focused on authentication and access control, not responsibility division.",Shared responsibility model,"The Shared Responsibility Model clearly defines: What the cloud provider is responsible for (for example: physical datacenters, hardware, network infrastructure). What the customer is responsible for (for example: data, identities, OS patching in IaaS). How responsibilities change across IaaS, PaaS, and SaaS. This model helps customers understand security, compliance, and operational ownership in the cloud.",Serverless computing model,"A compute model that abstracts infrastructure management, but does not define responsibility ownership.",,,,,3,The Shared Responsibility Model explains who is responsible for what between the cloud provider and the customer.,Cloud Concepts
Microsoft Defender for Cloud helps organizations strengthen their security across Azure and hybrid environments. Which of the following is NOT a core capability of Microsoft Defender for Cloud?,multiple-choice,Continuous security posture assessment and recommendations,Defender for Cloud provides Cloud Security Posture Management (CSPM) with secure score and recommendations.,Detection of threats and suspicious activities,"Defender for Cloud detects malicious activity, attacks, and anomalies across workloads.",Vulnerability scanning for virtual machines and workloads,"Defender for Cloud includes vulnerability assessments for VMs, containers, and other resources.",Managing and storing user passwords,"Password management is handled by: Microsoft Entra ID, Password policies, and Passwordless authentication methods. Microsoft Defender for Cloud does not manage or store passwords.",,,,,4,"Microsoft Defender for Cloud focuses on security posture, threat detection, and vulnerability management—not password management.",Azure Management and Governance
"In Azure, most items you create and manage—such as compute, networking, and storage—are considered resources. Which of the following is NOT classified as an Azure resource?",multiple-choice,Azure Resource Group,An Azure Resource Group is a logical container used to organize and manage resources. It is not itself a resource that provides a service—it simply holds resources.,Azure Virtual Network,A Virtual Network is a networking resource used to securely connect Azure services.,Azure Storage Account,"A Storage Account is a core Azure resource that provides Blob, File, Queue, and Table storage.",Azure SQL Database,Azure SQL Database is a managed database resource (PaaS) used to store relational data.,,,,,1,"Azure resources are individual services like VMs, VNets, and databases. Resource Groups are containers—not resources themselves.",Azure Architecture and Services
An organization wants to understand where Azure spending can be reduced by identifying services that are overprovisioned or rarely used. How does Azure Cost Management primarily help achieve this?,multiple-choice,By analyzing usage patterns to highlight underutilized or idle resources,"Azure Cost Management helps organizations save money by: Analyzing resource usage and spending trends. Identifying underutilized or oversized resources. Providing insights that help with right-sizing, shutdown, or tier changes. These insights enable informed decisions that lead to cost optimization.",By automatically stopping virtual machines when costs exceed a threshold,"Azure Cost Management provides insights and alerts, but it does not automatically shut down resources.",By enforcing the use of the lowest-cost Azure services,Cost Management does not force service choices; it reports and analyzes costs only.,By predicting exact future monthly bills in real time,"While trends and forecasts exist, exact real-time prediction is not guaranteed due to usage variability.",,,,,1,Azure Cost Management identifies cost-saving opportunities by analyzing usage and highlighting underutilized resources—not by automatically enforcing actions.,Azure Management and Governance
"In Azure, resources are organized in a clear hierarchy to help with management, billing, and governance. A virtual machine is placed inside a resource group. At the next higher level, what container does that resource group belong to?",multiple-choice,Management Group,"Resource groups do not directly belong to management groups. Management groups contain subscriptions, not resource groups.",Microsoft Entra ID tenant,"The tenant is the identity boundary, not the direct container for resource groups.",Subscription,"Azure follows this hierarchy: Management Group > Subscription > Resource Group > Resource (VM, VNet, Storage, etc.). A resource belongs to one and only one resource group. A resource group belongs to one and only one subscription. Subscriptions can optionally be grouped under management groups.",Another Resource Group,Resource groups cannot be nested inside other resource groups.,,,,,3,"A resource group always belongs to exactly one subscription, forming a core part of Azure’s resource hierarchy.",Azure Architecture and Services
"One of the defining characteristics of cloud computing is the ability for customers to quickly obtain computing resources when needed, without long procurement processes or manual infrastructure setup. Which cloud characteristic does this describe?",multiple-choice,Dedicated private access only,"Cloud resources are typically accessible over the internet or private connections, not limited to private networks only.",On-demand self-service,"On-demand self-service means: Customers can provision resources instantly (VMs, storage, databases). No human interaction with the cloud provider is required. Resources can be created, scaled, or removed as needed. This is a fundamental characteristic of cloud computing defined by NIST.",Customer-managed physical infrastructure,"In cloud computing, the provider manages the physical infrastructure, not the customer.",Manual capacity planning,Manual scaling contradicts cloud benefits. Cloud platforms support rapid and automated provisioning.,,,,,2,"A core characteristic of cloud computing is on-demand self-service, which allows rapid provisioning of resources without manual intervention.",Cloud Concepts
"An enterprise wants to apply governance policies and access controls across all Azure subscriptions in the organization using a single, top-level container. Which Azure construct represents the highest level in the Azure resource hierarchy?",multiple-choice,Resource,"Resources (VMs, VNets, databases) are the lowest level in the hierarchy.",Resource Group,Resource Groups organize resources but belong to a subscription.,Subscription,"Subscriptions are a billing and management boundary, but they can be grouped under Management Groups.",Management Group,"The Azure hierarchy (from highest to lowest) is: Management Group > Subscription > Resource Group > Resource. Management Groups sit at the top. They allow organizations to group multiple subscriptions, apply Azure Policy and RBAC centrally, and enforce governance at scale.",,,,,4,"Management Groups are the highest level in the Azure hierarchy, enabling centralized governance across multiple subscriptions.",Azure Architecture and Services
"An organization wants employees to securely access their Windows desktop and applications from anywhere, using devices such as laptops, tablets, or thin clients, without hosting desktops on on-premises infrastructure. Which Azure service is designed to meet this requirement?",multiple-choice,Azure App Service,"Used to host web applications and APIs, not full desktops.",Azure Virtual Machines,VMs provide compute infrastructure but do not by themselves deliver a managed desktop virtualization service.,Azure Virtual Desktop,"Azure Virtual Desktop (AVD) is used to: Deliver virtualized Windows desktops and applications. Allow users to access desktops from anywhere, on any device. Centralize desktop management and improve security. Support Windows 10/11 multi-session. It is a Desktop-as-a-Service (DaaS) offering.",Azure Kubernetes Service,"AKS is for container orchestration, not desktop delivery.",,,,,3,"Azure Virtual Desktop is designed to deliver secure, virtualized Windows desktops and applications to users from anywhere.",Azure Architecture and Services
"Azure architectures are designed so that when a single component (such as a VM, disk, or network device) fails, the overall service continues to operate with minimal disruption. What is the primary role of fault tolerance in Azure’s reliability strategy?",multiple-choice,To improve application performance during peak usage,"Performance optimization is related to scaling and tuning, not fault tolerance.",To completely eliminate all hardware and software failures,"Failures are inevitable. Fault tolerance is about handling failures gracefully, not preventing them.",To limit the impact of individual component failures on the overall system,"Fault tolerance focuses on: Designing systems with redundancy. Ensuring no single point of failure exists. Allowing workloads to continue running even if individual components fail. Examples include multiple VMs behind a load balancer and Availability Zones. The goal is continuity, not failure prevention.",To guarantee instant recovery from full regional outages,"This describes disaster recovery, not fault tolerance. Disaster recovery handles large-scale outages, such as region failures.",,,,,3,"Fault tolerance minimizes the impact of component failures by using redundancy and resilient design, ensuring continued operation.",Azure Management and Governance
"An administrator needs a fast, scriptable way to move large volumes of data between on-premises storage and Azure Blob Storage as part of a migration project. Which Azure tool is specifically designed for this task?",multiple-choice,Azure Storage Explorer,"A GUI tool for browsing and managing storage, but not optimized for large automated transfers.",AzCopy,"AzCopy is a command-line utility used to: Copy data to and from Azure Storage (Blob, File). Perform high-performance, parallel data transfers. Support scripting and automation for migrations and backups. It is optimized for large-scale data movement.",Azure Monitor,"Used for monitoring and logging, not data transfer.",Azure Resource Manager,"Used for deployment and management of resources, not moving data.",,,,,2,"AzCopy is the go-to Azure tool for fast, efficient data transfer to and from Azure Storage.",Azure Architecture and Services
"A cloud-hosted application experiences varying levels of demand throughout the day. During peak hours, additional resources are added to maintain performance, and during low usage periods, resources are reduced to save costs. Which cloud property does this scenario best demonstrate?",multiple-choice,High availability,"High availability focuses on minimizing downtime and ensuring services stay online, not on adjusting capacity.",Scalability,Scalability refers to: The ability of a system to handle increased or decreased workloads. Adding or removing resources (such as VMs or app instances) as demand changes. Maintaining performance as usage grows. This includes scaling out/in or scaling up/down.,Manageability,"Manageability refers to ease of administration, automation, and monitoring, not workload handling.",Predictability,"Predictability relates to forecasting performance or costs, not dynamic resource adjustment.",,,,,2,Scalability is the ability of a system to handle changing workloads by dynamically adjusting resources.,Cloud Concepts
"An organization needs to move hundreds of terabytes of data from its on-premises datacenter to Azure. Due to limited bandwidth and time constraints, transferring the data over the internet is not practical. Which Azure solution is specifically designed for this scenario?",multiple-choice,Azure Migrate,"Azure Migrate is used to assess and migrate servers and applications, not for large-scale physical data transfer.",Azure Import/Export via physical disks,This is a legacy approach and less commonly recommended compared to Azure Data Box for large-scale transfers.,Azure Data Box,Azure Data Box is a physical device provided by Microsoft that allows you to: Transfer very large volumes of data (TBs or PBs). Avoid slow or unreliable internet transfers. Securely ship data to and from Azure datacenters. Use it for one-time migrations or archival uploads.,AzCopy,"AzCopy transfers data over the network, which is not suitable for very large datasets with bandwidth limitations.",,,,,3,"When internet transfer is too slow or impractical, Azure Data Box provides a secure physical method to move massive amounts of data to and from Azure.",Azure Architecture and Services
"An operations team uses Azure CLI and ARM/Bicep templates to automatically deploy, update, and delete infrastructure resources as part of a CI/CD pipeline, without manually clicking through the Azure portal. This capability is best described as which type of manageability benefit?",multiple-choice,Management in the cloud,"Management in the cloud focuses on managing applications and data that run inside the cloud (monitoring, backups, updates).",Management of the cloud,"Management of the cloud refers to: Managing cloud resources themselves. Using automation, scripts, APIs, and Infrastructure as Code (IaC). Programmatically creating, modifying, or deleting resources. Examples include Azure CLI, ARM templates, Bicep, and Terraform.",,,,,,,,,2,Using scripts or templates to programmatically create and manage Azure resources is an example of management of the cloud.,Cloud Concepts
"An application is designed to store massive amounts of data in Azure. Over time, the data volume is expected to exceed the maximum capacity supported by a single Azure Storage account. What is the recommended approach to store more data beyond the limit of one storage account?",multiple-choice,Request Microsoft to increase the storage limit for the existing account,Azure does not increase the maximum storage capacity per account on request.,Create additional Azure Storage accounts and distribute the data across them,"Azure Storage accounts have service limits. When you need to store more data than a single account allows, the recommended solution is to create multiple storage accounts and partition or distribute data across those accounts. This is a common cloud design pattern.",Move the data to a different Azure region automatically,Changing regions does not increase the storage limit of a single account.,Azure does not support storage beyond the limit of a single account,"Azure supports virtually unlimited storage by using multiple storage accounts, not just one.",,,,,2,"When you exceed the capacity of a single Azure Storage account, the correct solution is to create additional storage accounts and partition your data across them.",Azure Architecture and Services
An organization wants its data to remain available even if one datacenter (availability zone) within an Azure region fails. The data should stay within a single region but be synchronously replicated across zones. Which Azure Storage redundancy option meets this requirement?,multiple-choice,Locally Redundant Storage (LRS),"Three copies, but all in a single datacenter. No protection against datacenter failure.",Zone-Redundant Storage (ZRS),Zone-Redundant Storage (ZRS): Stores three copies of data. Replicates synchronously across three availability zones. Keeps all data within a single Azure region. Protects against datacenter (zone) failures.,Geo-Redundant Storage (GRS),Replicates data to a secondary region. Does not distribute data across zones in the primary region.,Geo-Zone-Redundant Storage (GZRS),Combines ZRS + GRS. Replicates across zones and to a secondary region. This is more than what the question requires.,,,,,2,"If you want three copies of data spread across all availability zones in a single region, use Zone-Redundant Storage (ZRS).",Azure Architecture and Services
"Within an Azure Virtual Network (VNet), administrators often divide the address space into smaller segments to isolate workloads and apply different security rules. What is this logical network segment called?",multiple-choice,Network Security Group (NSG),An NSG is a security control that filters inbound and outbound traffic. It does not divide a network.,Subnet,"A subnet is a logical subdivision of an Azure Virtual Network that: Uses a portion of the VNet’s IP address range, allows you to group resources, and enables applying security controls and routing rules at a granular level.",Azure Firewall,"Azure Firewall is a managed network security service, not a network division.",Public IP address,"A public IP address provides internet connectivity, not network segmentation.",,,,,2,"A subnet is the logical division of an Azure Virtual Network, used to organize and secure networked resources.",Azure Management and Governance
An administrator is configuring Microsoft Entra Conditional Access to control how users sign in to cloud applications. Which of the following are NOT valid conditions that can be evaluated in a Conditional Access policy?,multiple-choice,User risk level,Derived from Microsoft Entra Identity Protection. Can trigger actions like MFA or blocking access. This is a valid condition.,"Application category (for example, productivity vs finance apps)","Conditional Access can target specific applications or all cloud apps. However, it cannot evaluate “application type or category” (such as finance vs HR). This makes it the correct answer for what is NOT a valid condition.",Geographic location of the sign-in,"Uses named locations (country, region, IP range). Commonly used to block risky sign-ins. This is a valid condition.","Device platform (for example, Windows, iOS, Android)","Conditional Access can evaluate Windows, macOS, iOS, and Android platforms. This is a valid condition.",,,,,2,"Conditional Access evaluates user, device, location, risk, and app access—but not application “categories” or types.",Azure Management and Governance
Your company is designing a highly available solution in Azure and is considering using Availability Zones within a region. Which of the following statements about Azure Availability Zones are TRUE? (Select all that apply),multi-select,Availability Zones consist of one or more physically separate datacenters within the same Azure region.,"Availability Zones are physically separate locations within a single Azure region, designed to improve availability and resilience.","Each Availability Zone has independent power, cooling, and networking.","Each zone is isolated with independent power, cooling, and networking. This isolation prevents a single datacenter failure from impacting other zones.",Availability Zones automatically replicate data across different Azure tenants.,"Availability Zones have nothing to do with Azure tenants. Tenants are identity boundaries, not infrastructure boundaries.",Availability Zones help protect applications from datacenter-level failures.,"By distributing resources across zones, Azure helps protect workloads from datacenter outages and localized power issues.",,,,,"1,2,4",Availability Zones improve resiliency by distributing resources across physically separate datacenters within the same region.,Azure Architecture and Services
"An organization operates under strict regulatory and compliance requirements, such as government regulations or industry-specific standards. It needs strong control over data location, access, and security. Which cloud deployment models are commonly used in such scenarios? (Select all that apply)",multi-select,Public Cloud,"While public cloud offers strong compliance, pure public cloud is not typically the first choice when absolute isolation is required.",Private Cloud,"Used when an organization requires full control over infrastructure and data must remain on dedicated, isolated hardware.",Community Cloud,"Designed for multiple organizations with shared compliance needs (e.g., government departments) and shared infrastructure governed by mutual standards.",Hybrid Cloud,"Hybrid cloud is an architecture approach to extend systems, not a cloud model specifically chosen for compliance by itself.",,,,,"2,3","Private Cloud and Community Cloud are commonly chosen when strict compliance, regulatory control, and data isolation are required.",Cloud Concepts
"An organization wants to pay only for the resources it actually uses, scaling costs up and down dynamically based on demand, without upfront hardware investment. Which cloud deployment models typically support a consumption-based (pay-as-you-go) pricing model? (Select all that apply)",multi-select,On-premises,Requires upfront capital expenditure (CapEx) and fixed hardware costs regardless of usage.,Public Cloud,"Public cloud platforms charge based on actual consumption (compute hours, storage) and allow rapid scaling without upfront investment.",Private Cloud,"Private clouds involve dedicated hardware where costs are usually fixed or capacity-based, not truly consumption-based.",Hybrid Cloud,"The cloud portion of a hybrid model still uses consumption-based pricing, allowing organizations to burst into the public cloud and pay only when used.",,,,,"2,4",Consumption-based pricing is a core characteristic of public cloud and applies to the cloud portion of hybrid cloud deployments.,Cloud Concepts
A development team builds an event-driven application where traffic patterns are highly unpredictable. Which benefits of serverless computing make it well suited for this scenario? (Select all that apply),multi-select,Automatic scaling based on incoming demand,Serverless platforms (like Azure Functions) automatically scale up with demand and down to zero when there is no traffic.,Pay only for execution time and resources consumed,"You are billed only when code runs. No charges when the app is idle, reducing costs for bursty workloads.",No need to provision or manage servers,"The cloud provider manages infrastructure, OS, and scaling. Developers focus only on code.",Guaranteed fixed monthly pricing regardless of usage,"Serverless does not use fixed pricing; billing is consumption-based, which is the opposite of fixed cost.",,,,,"1,2,3","Serverless computing is ideal for unpredictable workloads because it automatically scales, eliminates server management, and charges only for actual usage.",Azure Architecture and Services
An administrator is provisioning storage for Azure Virtual Machines and needs block-level storage volumes that can be attached directly to VMs and are fully managed by Azure. Which Azure storage options meet this requirement? (Select all that apply),multi-select,Azure Managed Disks,"Block-level storage designed specifically for VMs, used as OS or data disks, and fully managed by Azure.",Azure Blob Storage,Object storage used for unstructured data. Cannot be attached as a VM disk.,Azure Ultra Disks,"A high-performance type of managed disk for IO-intensive workloads, attached directly to VMs.",Azure File Storage,Provides file-level storage via SMB/NFS. Not block-level VM disks.,,,,,"1,3",Azure Managed Disks (including Ultra Disks) provide block-level storage volumes that are attached directly to Azure Virtual Machines.,Azure Architecture and Services
