Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
A startup wants to avoid paying for idle infrastructure and prefers a billing model where costs increase only when their applications receive more traffic. Which benefit of consumption-based pricing supports this?,multiple-choice,It allows businesses to forecast expenses with fixed monthly pricing,"Incorrect — fixed pricing describes reserved or subscription models, not consumption-based billing.",It aligns IT spending directly with the amount of resources actually used,"Consumption-based (pay-as-you-go) billing ensures you only pay for what you use, making it ideal for variable workloads and startups.",It requires organizations to purchase capacity in advance,"Incorrect — that is the definition of CapEx or reserved capacity, which is the opposite of consumption-based.",It limits how many resources a company can deploy,Incorrect — consumption models allow for virtually unlimited scaling based on demand.,,,,,2,"Consumption-based pricing aligns cloud costs with real usage, preventing overspending and eliminating upfront investment.",Cloud Concepts
Your organization wants to avoid unexpected Azure charges. They need a tool to notify them when spending approaches or exceeds planned thresholds. Which Azure feature should they use?,multiple-choice,Azure Advisor,Advisor provides recommendations for optimization but does not set or track spending budgets.,Azure Budgets,Azure Budgets allows you to set cost thresholds and receive proactive alerts as usage approaches those limits.,Azure Monitor Metrics,"Monitor Metrics tracks technical performance (CPU/RAM), not financial billing thresholds.",Cost Allocation Rules,Used to distribute shared costs among departments; doesn't provide threshold alerting.,,,,,2,Azure Budgets helps organizations proactively manage cloud spending by setting cost thresholds and generating alerts.,Cloud Concepts
A mission-critical application must remain operational even if an entire datacenter within a region experiences a failure. Which Azure feature provides this resiliency?,multiple-choice,Resource Groups,"Resource Groups are for logical organization, not for providing high availability or hardware redundancy.",Virtual Network Peering,Peering connects networks; it does not protect against physical datacenter failures.,Availability Zones,"Availability Zones are physically separate datacenters within a region with independent power and cooling, protecting against datacenter-level outages.",Azure Regions,"A region is a geographic area. While it contains datacenters, simply being in a region doesn't guarantee protection from a single datacenter failure without using zones.",,,,,3,Availability Zones offer high availability by placing resources in physically separate datacenters within a region.,Azure Architecture and Services
"A team wants to package an application with its runtime, libraries, and dependencies so it behaves consistently across dev, test, and production. Which compute option is best?",multiple-choice,Serverless Functions,Functions are event-driven and don't package full application stacks for portability in the same way containers do.,Virtual Machines,"VMs include a full OS, making them heavier and less portable than containers for consistent packaging.",Containers,Containers package code and dependencies into a lightweight unit that runs identically in any environment.,Bare-Metal Servers,Physical servers require manual setup and offer no built-in packaging or portability mechanism.,,,,,3,"Containers allow applications and their dependencies to run consistently everywhere, making them ideal for portable deployments.",Azure Architecture and Services
Which Microsoft Entra feature ensures only compliant devices or specific locations can access applications by requiring additional authentication steps?,multiple-choice,Microsoft Entra Identity Protection,Detects risky behavior but is not the primary engine for setting access rules based on device/location.,Microsoft Entra Conditional Access,Conditional Access is a policy engine that evaluates signals (like location or device) to enforce access requirements like MFA.,Microsoft Entra Domain Services,Provides legacy domain services (LDAP/Kerberos) but is not used for condition-based access rules.,Role-Based Access Control (RBAC),RBAC controls *what* a user can do after they are in; it doesn't set conditions for *how* they sign in.,,,,,2,"Conditional Access enforces adaptive, condition-based policies that determine how and when users can access cloud resources.",Azure Architecture and Services
Which benefit of containers ensures an application behaves the same way in development and production environments?,multiple-choice,Containers automatically improve network latency,"Incorrect — network performance is determined by infrastructure, not the container packaging itself.",Containers guarantee stronger security than all other compute options,"While isolated, they are not inherently more secure than all other options (like dedicated physical hosts).",Containers package applications with their dependencies for consistent behavior across environments,"Consistency and portability are the core benefits of containers, ensuring the environment remains the same from dev to prod.",Containers provide unlimited storage for applications,Incorrect — containers share host resources and storage must be provisioned separately.,,,,,3,"The primary advantage of containers is portability, allowing applications to run the same way everywhere.",Azure Architecture and Services
"An organization needs protection against regional outages and wants Azure to automatically replicate storage data to a secondary geographic region, maintaining 6 total copies. Which option is correct?",multiple-choice,Locally Redundant Storage (LRS),Stores only 3 copies within a single datacenter; no protection against regional outages.,Zone-Redundant Storage (ZRS),Stores 3 copies across zones within a single region; no cross-region replication.,Geo-Redundant Storage (GRS),GRS maintains 3 copies in the primary region and 3 copies in a secondary paired region (6 total) to protect against regional disasters.,,,,,,,3,"GRS stores six copies of your data across two regions, providing protection against regional-level outages.",Azure Architecture and Services
"Why should a team place related resources (VMs, storage, networks) for a single application into the same Azure Resource Group?",multiple-choice,To automatically reduce Azure billing costs,"Resource groups are for management, not for automated cost reduction.",To increase the performance of deployed resources,Logical grouping in a resource group does not change the physical performance of the hardware.,"To simplify management, deployment, and lifecycle operations","Grouping resources allows you to manage them as a single unit, making it easier to deploy or delete the entire stack at once.",To encrypt all resources by default,"Encryption is managed at the service level (e.g., Storage Service Encryption), not by the resource group.",,,,,3,Resource Groups simplify the management and lifecycle of related Azure resources by treating them as a single logical unit.,Azure Management and Governance
"What is the correct term used in Azure to describe individual, manageable service instances like a virtual machine or storage account?",multiple-choice,Azure subscription,"A subscription is a container for billing and multiple resources, not an individual instance.",Azure resource,"A resource is any manageable item available through Azure, such as a VM, database, or virtual network.",Azure region,"A region is a physical geographic location, not a service instance.",Azure management group,"Management groups are used to govern multiple subscriptions, not individual services.",,,,,2,An Azure resource is any individual service instance—such as a VM—that you create and manage in Azure.,Azure Architecture and Services
"Your team needs full control over the OS, installed software, and patching schedule. Which Azure service most closely resembles a traditional on-premises server?",multiple-choice,Azure Functions,A serverless service where Azure manages everything; the user has no OS access.,Azure App Service,A PaaS offering where Azure manages the OS and runtime; user control is limited to the app code.,Azure Virtual Machines,"Virtual Machines (IaaS) provide full control over the OS, software, and configuration, mimicking on-prem servers.",Azure SQL Database,A fully managed PaaS database; the user does not have access to the underlying server or OS.,,,,,3,"Azure Virtual Machines are the primary IaaS offering, giving customers full control over the operating system and runtime.",Cloud Concepts
"A development team wants to run small pieces of code that execute only when triggered by events, such as an HTTP request or a file upload. They do not want to manage servers or worry about scaling. Which Azure service best supports this serverless computing model?",multiple-choice,Azure Virtual Machines,An IaaS service where you manage the OS and server. Not serverless.,Azure App Service,"A PaaS service for hosting web apps and APIs. Azure manages the OS, but it is not serverless.",Azure Functions,"Azure Functions is a serverless compute service that runs code in response to events, automatically scales, and charges only for execution time.",Azure Storage Account,"Used for data storage (blobs, files, queues, tables). Does not execute code.",,,,,3,"Azure Functions is a serverless service, allowing you to run event-driven code without managing servers.",Azure Architecture and Services
You are designing an application that must remain available even if one Azure datacenter within a region goes offline. You want to use Azure services that natively support deployment across multiple Availability Zones. Which of the following statements is correct?,multiple-choice,Only Azure Virtual Machines can be deployed across Availability Zones,Incorrect — App Service and Storage also support Availability Zones.,Only Azure App Service supports zone-redundant deployments,Incorrect — VMs and Storage can also be zone-redundant.,Only Azure Storage supports Availability Zones,Incorrect — compute services like VMs and App Service also support zones.,Multiple Azure services support Availability Zones and can be used together to build highly available applications,"Azure provides Availability Zone support across multiple services including VMs, App Service, and Storage (ZRS/GZRS) to create resilient applications.",,,,,4,High availability across Availability Zones is achieved by combining multiple Azure services that natively support zone redundancy.,Azure Architecture and Services
"An organization designs its security strategy so that even if one control fails (for example, a firewall rule), other controls such as identity verification, encryption, and monitoring still protect the system. Why is this layered security approach effective?",multiple-choice,It removes the need for regular patching,Incorrect — regular updates and patching are still critical for security.,It ensures attackers must bypass multiple independent security controls,"The defense-in-depth model uses multiple layers (Identity, Network, App, Data) to reduce the likelihood of a successful breach and limit damage.",It allows security to be managed from a single tool only,Incorrect — defense-in-depth intentionally spreads controls across multiple layers and tools.,It prevents all security incidents from ever occurring,"Incorrect — no security model can guarantee zero incidents. Defense-in-depth reduces risk, it does not eliminate it.",,,,,2,"Defense-in-depth improves security by adding multiple, independent layers of protection that make successful attacks much harder.",Azure Management and Governance
"A large enterprise requires a dedicated, private network connection between its on-premises datacenter and Azure. The traffic must not traverse the public Internet and should provide predictable performance and higher reliability. Which Azure connectivity option meets these requirements?",multiple-choice,Point-to-Site VPN,Used to connect individual client devices to Azure over the public Internet. Not private line connectivity.,Site-to-Site VPN,Connects on-premises networks to Azure but uses encrypted tunnels over the public Internet. Not a private line.,Azure ExpressRoute,"Azure ExpressRoute provides a private, dedicated connection to Azure that does not use the public Internet and offers predictable performance.",Azure Load Balancer,Distributes network traffic across backend resources. Not a connectivity solution between on-premises and Azure.,,,,,3,"Azure ExpressRoute is the only Azure connectivity option that provides private, non-Internet-based connectivity between on-premises networks and Azure.",Azure Architecture and Services
_________ provides fully managed cloud file shares in Azure that can be mounted simultaneously by multiple virtual machines using standard file-sharing protocols like SMB and NFS.,multiple-choice,Azure Blob Storage,Used for object storage (unstructured data). Does not support SMB or NFS mounting.,Azure File Storage,"Azure File Storage provides cloud-based file shares that support SMB and NFS, allowing them to be mounted by multiple VMs at the same time.",Azure Queue Storage,Used for message queuing between application components. Not for file sharing.,Azure Disk Storage,Provides disks for individual virtual machines. Cannot be shared across multiple VMs like a file share.,,,,,2,Azure File Storage is the Azure service that provides shared file storage accessible via SMB and NFS from anywhere.,Azure Architecture and Services
"Azure is designed to improve resiliency during large-scale outages, such as natural disasters that affect an entire region. When an entire Azure region becomes unavailable, where do supported Azure services typically fail over to by design?",multiple-choice,A random Azure region chosen at runtime,"Incorrect — failover follows a predefined region-pair strategy, not random selection.",The nearest available region in a different geography,Incorrect — Azure avoids crossing geographies automatically due to compliance and data residency requirements.,"Its paired region within the same geography, located hundreds of miles away","Azure regions are organized into pairs within the same geography, separated by at least 300 miles, to provide disaster recovery.",Only to regions located in the United States,"Incorrect — region pairing exists globally, not only in the United States.",,,,,3,Azure uses region pairs—separated by at least 300 miles within the same geography—to provide reliable regional disaster recovery.,Azure Architecture and Services
A company runs a web application in Azure that experiences fluctuating traffic. They want the platform to automatically add or remove identical virtual machines to handle changes in demand without manual intervention. Which capability of Azure Virtual Machine Scale Sets supports this?,multiple-choice,Automatic scaling of VM instances based on metrics or schedules,"VM Scale Sets allow you to deploy and manage identical VMs that automatically scale out or in based on demand (CPU, memory, or schedules).",Built-in graphical interface for VM administration,Incorrect — management through a GUI is not the defining feature of automatic scaling in Scale Sets.,"Restriction to a small, fixed number of virtual machines",Incorrect — Scale Sets can scale to hundreds or thousands of instances.,Manual provisioning and management of each virtual machine,Incorrect — Scale Sets automate creation and management; manual creation defeats the purpose of the service.,,,,,1,"Azure Virtual Machine Scale Sets automatically scale the number of identical VM instances, making them ideal for variable workloads.",Azure Architecture and Services
"In Azure, a subscription can be placed inside another subscription to create a nested billing and management structure.",multiple-choice,TRUE,Azure does not support subscription-within-subscription architecture.,FALSE,"Subscriptions cannot be nested. To create hierarchy and apply governance across multiple subscriptions, Azure uses Management Groups.",,,,,,,,,2,Azure subscriptions cannot be nested. Use Management Groups to organize and govern multiple subscriptions.,Azure Management and Governance
An organization wants to plan its cloud budget in advance and ensure it can reliably estimate how much it will spend on Azure services over the coming months. What does cost predictability in Azure primarily refer to?,multiple-choice,Preventing all unexpected charges,"Incorrect — Azure can help reduce surprises, but usage spikes can still occur.",Assigning costs to departments using tags,"This is cost allocation, not predictability.",Accurately forecasting future cloud spending,Cost predictability means being able to estimate and forecast future Azure expenses using tools like the Pricing Calculator and Budgets.,Continuously lowering costs as usage grows,"This relates to cost optimization, not predictability.",,,,,3,"Cost predictability in Azure is about accurately forecasting future expenses, enabling better budgeting and financial planning.",Cloud Concepts
"An organization plans to store extremely large volumes of unstructured data—such as images, backups, and logs—in a single Azure Storage account and is concerned about hitting a maximum size limit. What is the maximum amount of data that can be stored in one Azure Storage account?",multiple-choice,5 TB,Too small — Azure Storage far exceeds terabyte-scale limits.,5 PB,"While Azure supports petabyte-scale storage, the exam does not define a hard cap like this for single accounts.",100 TB,Incorrect — Azure Storage accounts can store much more than 100 TB.,Azure Storage accounts have no practical storage limit,"From an AZ-900 perspective, Azure Storage accounts scale automatically and are treated as having no fixed maximum storage limit.",,,,,4,"From an AZ-900 perspective, Azure Storage accounts scale automatically and are considered to have no fixed maximum storage limit.",Azure Architecture and Services
"A company needs to store compliance data that is rarely accessed, can tolerate hours of retrieval latency, and must be kept at the lowest possible cost. Which Azure Storage access tier is most appropriate?",multiple-choice,Hot access tier,Optimized for frequently accessed data with high storage costs.,Cool access tier,For data stored for at least 30 days and accessed infrequently. More expensive than Archive for long-term storage.,Archive access tier,Designed for rarely accessed data with the lowest storage cost. It has a 180-day minimum retention and high retrieval latency (hours).,Premium storage,"Designed for high-performance workloads (SSDs). Most expensive option, not for archival.",,,,,3,"Use the Archive access tier for rarely accessed, long-term data that can tolerate higher retrieval latency and must be stored for at least 180 days.",Azure Architecture and Services
An organization's VMs automatically scale out during peak hours and scale back in when demand drops without manual intervention. Which cloud manageability benefit is this?,multiple-choice,Management of the cloud,"Refers to the tools you use (Portal, CLI) to manage resources manually.",Management in the cloud,"Refers to capabilities where the cloud platform automatically manages and optimizes resources for you, like autoscaling.",,,,,,,,,2,"Management in the cloud means Azure automatically manages and optimizes resources for you, such as autoscaling based on demand.",Cloud Concepts
An administrator wants to ensure users can perform only the tasks required for their role and nothing more. Which RBAC practice best supports this?,multiple-choice,Assigning users the Owner role to avoid permission issues,Incorrect — this grants excessive permissions and increases security risk.,Granting users only the permissions they need to complete their job,"This is the Principle of Least Privilege, a core security best practice that limits access to exactly what is needed.",Giving all users the same role for consistency,Incorrect — roles should be tailored to specific job responsibilities.,Temporarily disabling user accounts after each login,Incorrect — this is impractical and unrelated to access scope control.,,,,,2,"The principle of least privilege ensures users have only the access they need, reducing security risks in Azure environments.",Azure Management and Governance
A design uses a queue to let one component place work items and another process them later independently. The sender does not wait for the receiver. What type of communication is this?,multiple-choice,Synchronous communication,Requires the sender to wait for an immediate response from the receiver.,Real-time communication,"Implies instant, low-latency interaction like live chat.",Asynchronous communication,"The sender and receiver are decoupled; messages are stored until processed, allowing independent scaling.",Broadcast communication,Typically involves sending one message to many recipients simultaneously.,,,,,3,"Azure Queue Storage enables asynchronous communication, allowing application components to work independently and reliably.",Azure Architecture and Services
Which of the following are security-related benefits of moving workloads to Azure? (Select 3),multi-select,Built-in compliance with global and industry security standards,"Azure complies with global standards (ISO, GDPR, HIPAA), reducing the compliance burden on customers.",Centralized visibility and monitoring of security posture,Tools like Microsoft Defender for Cloud provide a single view of threats and risks.,Automatic security updates and patching of underlying infrastructure,"Microsoft manages the patching of physical hosts and infrastructure, reducing operational risk.",The ability to completely disable encryption for cloud-managed services,"Incorrect — cloud security best practices and Azure defaults emphasize encryption, not disabling it.",,,,,"1,2,3","Cloud platforms like Azure enhance security through built-in compliance, centralized monitoring, and automatic patching of the underlying infrastructure.",Azure Management and Governance
A company needs to migrate hundreds of terabytes of data to Azure but has limited bandwidth. Which are valid use cases for Azure Data Box? (Select 3),multi-select,Migrating very large datasets to Azure when network transfer is impractical,Data Box is designed for terabyte/petabyte scale migrations where WAN transfer is too slow.,Secure offline data transfer using Microsoft-managed physical devices,It uses encrypted hardware and secure shipping to move data without using the public internet.,Continuous real-time synchronization of application data,"Incorrect — Data Box is for one-time or periodic bulk moves, not real-time sync.",Data import/export to Azure Storage without relying on high-speed internet,It allows users to copy data locally to a device and ship it to an Azure datacenter for upload.,,,,,"1,2,4","Azure Data Box is ideal for secure, offline transfer of very large datasets when network-based migration is not practical.",Azure Architecture and Services
An architect is designing for redundancy. Which of the following describe this concept in Azure? (Select all that apply),multi-select,Maintaining multiple copies of data or resources to prevent a single point of failure,"Redundancy involves duplicating components so that if one fails, others are available.",Deploying resources across different fault domains or availability zones,Distribution across isolated hardware or datacenters ensures the service survives localized failures.,Using only one highly reliable instance of a resource to avoid complexity,Incorrect — a single instance is a single point of failure.,Replicating resources so services can continue operating during failures,Replication ensures that backup instances can take over immediately during a component failure.,,,,,"1,2,4",Redundancy in Azure means duplicating resources across isolated locations so services remain available even when failures occur.,Azure Architecture and Services
How does Azure Policy help manage Azure resources? (Select all that apply),multi-select,It enforces organizational standards by evaluating resource configurations,Policies define rules (like allowed VM sizes) that resources must follow.,It can prevent non-compliant resources from being created,"Using a 'Deny' effect, Azure Policy stops any deployment that violates defined rules.",It provides automatic scaling of resources based on workload demand,"Incorrect — scaling is managed by VM Scale Sets or App Service autoscale, not Policy.",It helps assess compliance and report on policy violations,Policy provides dashboards to track the compliance state of all resources in a subscription.,,,,,"1,2,4",Azure Policy enforces governance by defining and evaluating rules that control how Azure resources are created and configured.,Azure Management and Governance
A retail site experiences traffic spikes. Azure automatically adds compute during peak and releases it when traffic drops. Which cloud characteristics are these? (Select all that apply),multi-select,Scalability,The general ability of a system to handle increased/decreased workloads by adjusting resources.,Elasticity,The specific ability to scale resources automatically and dynamically in real-time based on demand.,High availability,"Refers to minimizing downtime and handling failures, not necessarily traffic-based scaling.",Predictability,"Relates to forecasting costs or performance, not dynamic resource adjustment.",,,,,"1,2","Automatic scaling up and down based on demand demonstrates scalability, and when automated, specifically demonstrates elasticity.",Cloud Concepts
A legacy Windows app requires full admin access to the OS and must write to the Windows Registry. Which model supports this?,multiple-choice,Infrastructure as a Service (IaaS),"IaaS (VMs) provides full control over the OS, allowing custom configurations and registry access.",Platform as a Service (PaaS),"In PaaS, Azure manages the OS; users generally cannot access the registry or OS internals.",Software as a Service (SaaS),SaaS provides only the end application; there is no access to the underlying infrastructure.,Serverless computing,Serverless (Functions) abstracts the OS completely and is for short-running code only.,,,,,1,"If an application requires direct operating system access, such as writing to the Windows Registry, IaaS is the only suitable cloud model.",Cloud Concepts
"A team wants to deploy web apps without managing the OS, runtime patching, or infrastructure. Which of the following are examples of Platform as a Service (PaaS)? (Select all that apply)",multi-select,Azure App Service,A classic PaaS offering where Azure manages the OS and runtime while developers focus on code.,Azure SQL Database,A PaaS database service that handles automatic backups and patching without requiring server maintenance.,Azure Virtual Machines,Incorrect — Virtual Machines are IaaS. You are responsible for the OS and patching.,Azure Functions,A serverless PaaS offering that allows you to focus purely on code execution without infrastructure management.,,,,,"1,2,4","PaaS services abstract infrastructure and OS management, allowing developers to focus on building and deploying applications.",Cloud Concepts
An administrator is preparing to deploy a new Windows VM. Which of the following are mandatory requirements to create an Azure Virtual Machine? (Select all that apply),multi-select,An Azure subscription,All resources must belong to a subscription for billing and management boundaries.,A resource group,Every Azure VM must be placed inside a resource group to act as a logical container.,A virtual network,A VM must be connected to a virtual network (VNet) for communication.,An Azure availability zone,Incorrect — Availability Zones are optional. They improve resiliency but are not required for creation.,,,,,"1,2,3","To create an Azure Virtual Machine, you must have a subscription, a resource group, and a virtual network. Availability Zones are optional.",Azure Architecture and Services
"Azure Virtual Network (VNet) peering allows two virtual networks to communicate privately, even if those VNets are owned by different Azure subscriptions or Entra ID tenants.",multiple-choice,TRUE,Azure VNet Peering supports cross-subscription and cross-tenant connectivity over the private Azure backbone network.,FALSE,Incorrect — VNet peering is not limited to a single subscription or tenant.,,,,,,,,,1,"Azure VNet peering can connect networks across different subscriptions and even different tenants, using private Azure networking.",Azure Architecture and Services
External users need secure access to selected Azure resources but should use their own organization's identities. Which scenarios are supported by Azure B2B? (Select all that apply),multi-select,Allowing external partner users to access Azure resources using their own credentials,B2B allows partners to sign in using their existing Microsoft Entra or other identity provider accounts.,Enabling guest users from other organizations to be assigned Azure RBAC roles,Guest users can be added to groups and assigned specific permissions just like internal users.,Providing identity management exclusively for internal employees,"Incorrect — this is the role of standard Entra ID internal accounts, not B2B collaboration.",Collaborating with external users without creating separate user accounts in your directory,B2B avoids identity duplication by leveraging the user's existing external account.,,,,,"1,2,4","Azure B2B collaboration enables secure access for external users using their own identities, without creating separate internal accounts.",Azure Architecture and Services
Which statements about Azure App Service Plans (Premium v3) are correct? (Select all that apply),multi-select,A single App Service Plan can host multiple web apps,An App Service Plan defines the compute resources that multiple apps can share.,There is a hard limit of 10 web apps per App Service Plan,Incorrect — there is no fixed hard limit of 10 apps; it is constrained by resource performance.,The number of web apps is not strictly limited by the plan itself,"From an AZ-900 perspective, the number of apps is effectively unlimited, limited only by CPU and memory.",All apps in the same App Service Plan share the underlying compute resources,All apps on a plan run on the same VM instances and compete for the same hardware resources.,,,,,"1,3,4",An Azure App Service Plan can host multiple apps which share the same underlying compute resources.,Azure Architecture and Services
An administrator wants to assign predefined permissions without creating custom roles. Which of the following are built-in Azure RBAC roles? (Select all that apply),multi-select,Reader,Can view Azure resources but cannot make any changes.,Contributor,Can create and manage Azure resources but cannot assign roles to others.,Owner,"Full access to all resources, including the ability to assign RBAC roles to others.",User,"Incorrect — 'User' is an identity type, not a specific built-in RBAC role.",,,,,"1,2,3","Reader, Contributor, and Owner are the core built-in Azure RBAC roles.",Azure Management and Governance
