Question,Question Type,Answer Option A,Explanation A,Answer Option B,Explanation B,Answer Option C,Explanation C,Answer Option D,Explanation D,Answer Option E,Explanation E,Correct Answers,Overall Explanation,Domain
What do you influence with a resource group definition?,Single Correct,The work environment of the resources (RF or non-RF),"Work environment depends on device type, not resource group.",The menu on the user's mobile device,Menus are role- and transaction-based.,The horizontal and vertical speed of a resource,Speed is a physical or performance attribute., The queues a resource should process,Resource groups control which queues a resource can access.,Not applicable,No additional option.,D,"Resource groups determine which task queues a resource can process, ensuring proper task allocation.",SAP EWM – Resource Management
"What do you need for the preliminary inspection of handling units, inspection object type 6?",Single Correct, A special decision code in EWM,Decision codes record results but do not trigger inspection.,An inspection document created using RF,Inspection documents are created automatically., An inspection rule for relevant HU types,Inspection rules define when and how HU inspections occur., An inspection type with inspection lot origin 17,Lot origin 17 is used in other QM scenarios.,Not applicable,No additional option.,C,Preliminary HU inspection (object type 6) requires a configured inspection rule.,SAP EWM – Quality Inspection
What do you need to configure before you can create warehouse tasks for an outbound delivery order or inbound delivery? (2 correct),Multiple Correct,Warehouse process type determination,Determines which process type is used for deliveries.,Warehouse process types,Define inbound and outbound warehouse activities.,Warehouse order creation rules,Not required for task creation.,Putaway or stock removal control indicator,Used for storage control strategies only., Not applicable,No additional option.,"A, B",Warehouse tasks require defined process types and determination rules.,SAP EWM – Warehouse Task Creation
What do you need to maintain for a capacity check by weight? (2 correct),Multiple Correct,The maximum number of bins in the warehouse product,Not related to weight-based capacity.,The actual weight of the item in a work center,Weight is maintained in product master., The maximum allowed weight in the bin,Defines bin load limit., The capacity check in the storage type,Activates capacity check by weight., Not applicable,No additional option.,"C, D",Weight-based capacity checks require bin weight limits and activation at storage type level.,SAP EWM – Capacity Management
"In SAP EWM, which of the following are used to manage and customize the data displayed on mobile RF devices for warehouse workers? (2 Correct Answers)",Multiple Correct, Presentation Profile,Controls layout and fields on RF screens.,System Profile,Defines system-wide settings only., User Profile,Stores user-specific RF settings and assignments.,Queue Type,"Used for task prioritization, not display.", Work Center,Represents physical work areas.,"A, C",RF device display customization is controlled using presentation profiles and user profiles.,SAP EWM – Mobile RF
What document in EWM represents an executable work package?,Single Correct, Transfer order document,Transfer orders are not the main executable work package in EWM., Inbound delivery document,Inbound delivery triggers work but is not executable itself., Warehouse task,Warehouse tasks are individual steps., Warehouse order,Warehouse order represents the executable work package., Not applicable,No additional option.,D,Warehouse orders group tasks into a single executable work package.,SAP EWM – Warehouse Orders
What document in EWM serves as the reference for the warehouse tasks that move the received products to their putaway storage bins?,Single Correct, Inbound delivery notification document,Notification alone does not drive putaway tasks., Warehouse order document,Warehouse orders execute tasks but are not the reference., Transfer order document,Not used as primary reference in EWM.,Inbound delivery document,Inbound delivery is the reference for putaway tasks., Inbound delivery order,Not the correct document type.,D,Inbound delivery documents trigger putaway warehouse tasks.,SAP EWM – Inbound Processing
What document in EWM will be created from an unchecked or checked ERP delivery document?,Single Correct,Outbound delivery request,First document created in EWM from ERP delivery., Outbound delivery order,Created after outbound delivery request., Outbound delivery,"ERP document, not EWM.",Warehouse order,Created later for execution., Not applicable,No additional option.,A,Outbound delivery request is the initial EWM document from ERP delivery.,SAP EWM – Outbound Processing
What does SAP Extended Warehouse Management use to determine a wave template?,Single Correct, Condition technique,Condition technique determines the correct wave template.,Wave capacity profile,"Used for workload management, not determination.",Wave release method,"Controls release, not template selection.",Warehouse order creation rule,"Controls WO creation, not wave template.",Not applicable,No additional option.,A,Wave templates are determined using condition technique.,SAP EWM – Wave Management
What fields in the ERP system are used to determine the 'intermediate' warehouse number in delivery documents? (2 correct),Multiple Correct, MRP Area,"Used for planning, not warehouse determination.", Plant,Identifies source or destination location., Shipping condition,Relevant for transport only., Storage condition,Defines storage requirements., Storage Location,Specifies exact goods location.,"B, E",Plant and storage location determine the intermediate warehouse number.,SAP EWM – Integration with ERP
What information is used to determine the availability group? (2 correct),Multiple Correct, Plant,Key organizational unit for availability group.,Warehouse number,Defines warehouse context.,Stock category,Assigned after availability group determination., Non-location-dependent stock type,Derived from availability group.,Not applicable,No additional option.,"A, B",Availability group is determined by plant and warehouse number.,SAP EWM – Availability Check
What is a custodian in SAP EWM? (2 correct),Multiple Correct, It is a supply chain unit,"Custodian is warehouse-related, not supply chain unit.", It is a warehouse attribute,Custodian defines responsibility for warehouse goods., It is required for the creation of the warehouse,Mandatory during warehouse creation.,It is part of the stock information,Stock data does not include custodian., Not applicable,No additional option.,"B, C",Custodian is a mandatory warehouse attribute defining responsibility.,SAP EWM – Warehouse Structure
What is a staging area? (2 correct),Multiple Correct, An area used for interim storage of goods,Staging areas are temporary storage zones., The inbound section of the packing work center,Packing areas are not staging areas., A storage type reserved for production,Not a defining feature of staging areas.,A section in a storage type with staging area group role,Defined as section within staging area group., Not applicable,No additional option.,"A, D",Staging areas temporarily hold goods and are defined via staging area group.,SAP EWM – Staging Areas
Which of the following are crucial for ensuring the integrity and accuracy of an explicit counting process driven by the Quality Inspection Engine in EWM? (2 correct),Multiple Correct, Deactivating automatic replenishment tasks,Helpful but not mandatory.,Restricting access to the counting storage bin,Prevents unauthorized changes.,Enforcing sequential counting via bin structure,Not mandatory.,Validating counted quantity against expected quantity,Ensures accuracy., Not applicable,No additional option.,"B, D",Restricting access and validating quantities ensure counting accuracy.,SAP EWM – Physical Inventory
What is the organizational unit that represents a physical storage area within the warehouse with spatial characteristics?,Single Correct,Storage bin,Smallest storage unit.,Storage section,Subdivision within storage type.,Storage type,Defines physical storage area.,Activity area,"Defines operational zone, not storage.", Not applicable,No additional option.,C,Storage type represents a physical warehouse area with defined characteristics.,SAP EWM – Warehouse Structure
What is the process in EWM that allows you to trigger a goods receipt from EWM?,Single Correct, Expected goods receipt,Used to trigger goods receipt from EWM to ERP.,External inbound delivery,Used for vendor deliveries., External inbound delivery notification,Advance notice only.,Expected inbound delivery,Not a standard triggering process., Not applicable,No additional option.,A,Expected goods receipt enables posting GR from EWM to ERP.,SAP EWM – Goods Receipt
What is the required status of the physical inventory document before you can trigger a recount?,Single Correct,Active,Document not yet counted., Posted,Document already finalized., Counted,Initial count completed.,Recounted,Recount already performed., Not applicable,No additional option.,C,A recount can only be triggered after the document is counted.,SAP EWM – Physical Inventory
What is the specific characteristic of the early capacity check?,Single Correct, It only happens during warehouse task creation,Early capacity check is executed during WT creation., It is only done during picking,"Used for putaway, not picking.", It is only available on mobile devices,System-level function.,It is based on bin type capacities,"Uses bin type, but timing is key.", Not applicable,No additional option.,A,Early capacity check occurs during WT creation to optimize performance.,SAP EWM – Capacity Management
What master data information is transferred via IDoc in a decentralized EWM based on SAP S/4HANA 1909? (3 correct),Multiple Correct, Batch,Transferred to manage batch-controlled stock.,Packing instruction,Maintained directly in EWM., Customer,Required for outbound processing.,Plant,"Linked during setup, not transferred.",Material,Core master data for warehouse processes.,"A, C, E","Batch, customer, and material master data are transferred via IDoc.",SAP EWM – Master Data Integration
What master data must be created in EWM to perform automatic packing?,Single Correct, Packing instruction,Defines rules for automatic packing., Master packing format,Not a standard EWM object.,Automatic packing document,No such document exists., Packaging specification,Related but not used for automatic packing., Not applicable,No additional option.,A,Packing instructions enable automatic packing in EWM.,SAP EWM – Packing
You are tasked with configuring a new stock type in EWM to handle goods under customs control. Which configurations are necessary? (2 correct),Multiple Correct, Activate Legal Control,Required to manage customs-controlled goods., Define customs-specific process type,Not mandatory., Create restricted storage type,Ensures secure storage., Map stock type to customs document,Not essential for stock type., Not applicable,No additional option.,"A, C",Legal control and restricted storage ensure customs compliance.,SAP EWM – Stock Types
"When configuring a new document type for outbound deliveries in EWM, what is the recommended approach for utilizing system profiles?",Single Correct, Modify SAP standard profile,Not recommended., Create new profile from scratch,Less efficient.,Copy and adjust existing profile,Best practice., Assign standard profile directly,May not meet requirements., Not applicable,No additional option.,C,Copying and adapting existing profiles follows SAP best practices.,SAP EWM – Customizing
What organizational units must be assigned to each warehouse product master record? (2 correct),Multiple Correct, Plant,Links product to ERP organization.,Party entitled to dispose,Not mandatory.,Storage location,Not directly assigned., EWM warehouse number,Defines warehouse context., Shipping point,Used for outbound planning.,"A, D",Plant and warehouse number are mandatory for warehouse product master.,SAP EWM – Product Master
What predefined types of warehouse tasks does SAP EWM provide? (2 correct),Multiple Correct, Replenishment,Predefined task type.,Resource,Not a task type., Product,Not a task type., Handling unit,HU-based task type., Not applicable,No additional option.,"A, D",Replenishment and HU tasks are predefined WT types.,SAP EWM – Warehouse Tasks
What process can you employ instead of capacity checking?,Single Correct, Storage bin type determination,Indirectly controls capacity., Storage process determination,Defines storage flow.,Process type determination,Defines warehouse activity., Not applicable,No alternative., Not applicable,No additional option.,A,Storage bin type determination can replace explicit capacity checks.,SAP EWM – Storage Control
