Question,Question Type,Answer Option 1,Explanation 1,Answer Option 2,Explanation 2,Answer Option 3,Explanation 3,Answer Option 4,Explanation 4,Answer Option 5,Explanation 5,Answer Option 6,Explanation 6,Correct Answers,Overall Explanation,Domain
On which principle is business process modeling for ATDD primarily based?,multiple-choice,Business analysts and testers use models mainly to identify changes for test plans.,Incorrect: Identifying changes is secondary; ATDD focuses on defining behavior before coding.,Automated test generation can produce and maintain automated test scripts.,Incorrect: Mentions automation but misses the specific ATDD context (behavior/data-driven).,Business process and rule models are reviewed only with product owners.,"Incorrect: ATDD requires cross-role collaboration (Three Amigos), not just the Product Owner.",Automated test generation techniques can be used to produce and maintain automated test cases using data-driven and behavior-driven approaches.,Correct: ATDD models support deriving acceptance tests. Test cases are generated using BDD and data-driven approaches to create executable specifications.,,,,,4," In ATDD, models drive acceptance tests. These tests are maintained via behavior-driven and data-driven approaches to ensure they align with business intent.",Business Process and Business Rules Modeling
"When using graphical representations of business processes to support acceptance testing, which statement is TRUE?",multiple-choice,Using decision tables directly inside BPMN allows defining detailed test conditions.,"Incorrect: BPMN models processes; DMN models decisions. Decision tables are linked, not embedded as conditions.","For acceptance testing, graphical business process models should focus on the user workflows to be tested.",Correct: Acceptance testing validates end-to-end behavior. Focus on user-relevant flows improves clarity and stakeholder understanding.,Graphical representations must describe the complete workflow in full technical detail.,Incorrect: Too much technical detail reduces readability. Acceptance testing needs clear business logic.,"Business processes should be described graphically using DMN, and completed with decision tables.",Incorrect: This reverses the roles. BPMN is for processes; DMN is for decisions.,,,,,2, Always associate BPMN with user workflows and DMN with business decisions. Never reverse their responsibilities or technicalize the business process model.,Business Process and Business Rules Modeling
A team is using BPMN and DMN to support acceptance testing. Which statement about BPMN and DMN is CORRECT?,multiple-choice,BPMN and DMN are both standards maintained by the Object Management Group (OMG).,Correct: Both Business Process Model and Notation (BPMN) and Decision Model and Notation (DMN) are standardized and maintained by OMG. This ensures consistency between process and decision modeling.,"BPMN models business decisions, while DMN models end-to-end business workflows.",Incorrect: This is a role reversal. BPMN models workflows/processes; DMN models decisions/rules.,DMN is an extension of BPMN used only for technical decision automation.,"Incorrect: DMN is a separate, complementary standard, not an extension. It is not limited to technical automation.","BPMN is maintained by OMG, while DMN is maintained by ISO as part of ISO 25010.","Incorrect: ISO 25010 defines quality models, not modeling notations. DMN is maintained by OMG.",,,,,1, BPMN = business processes/workflows. DMN = business decisions/rules. Both are maintained by the Object Management Group (OMG).,Business Process and Business Rules Modeling
"To which non-functional requirement characteristic do sub-characteristics like Appropriateness recognizability, Learnability, and Operability belong?",multiple-choice,Usability,"Correct: ISO/IEC 25010 defines these as Usability sub-characteristics. They address how users perceive, learn, and control the system.",Maintainability,"Incorrect: Concerns ease of change and analysis for developers, not end-user interaction.",Reliability,"Incorrect: Covers maturity and availability over time, not how easy the system is to use.",Portability,"Incorrect: Concerns installation and adaptability across environments, not user interaction.",,,,,1," If a question describes how users recognize, learn, or operate a system, it maps to the Usability characteristic in ISO 25010.",Acceptance Testing for NonFunctional Requirements
A business analyst mentions analyzing competitors for inspiration. This refers to which pillar of UX requirements analysis?,multiple-choice,Context analysis,"Incorrect: Focuses on the environment of use (physical/social), not market competitors.",Task analysis,Incorrect: Focuses on user workflows and actions.,Competition analysis,Correct: Involves analyzing competitor products to identify best practices and avoid reinventing the wheel.,User analysis,"Incorrect: Focuses on user characteristics (skills/needs), not market research.",,,,,3, Competition analysis is the pillar focused on studying competitor solutions and market practices to inspire design.,Acceptance Tests and Experience-Based Practices
Which option BEST describes the expert reviews technique in usability testing?,multiple-choice,User experts explore the product and describe their actions aloud while using it.,"Incorrect: This describes the ""think-aloud"" technique.",Usability experts evaluate the system against predefined criteria or checklists based on usability heuristics.,Correct: This is the definition of heuristic evaluation. It involves experts (not end users) using checklists to find usability issues.,Tester experts use checklists provided by UX/UI designers to validate layouts.,Incorrect: Focuses on visual validation rather than expert heuristic analysis.,Experts score the product using rating scales after execution.,"Incorrect: Describes questionnaires/surveys like SUS, not heuristic review.",,,,,2, Expert reviews involve usability experts applying heuristics and checklists. Think-aloud involves users talking through their process.,Acceptance Testing for NonFunctional Requirements
The team focuses on what the system must do and how users are expected to behave to design an optimized solution. Which pillar of UX requirements analysis is this?,multiple-choice,Context analysis,Incorrect: Focuses on environment and constraints.,Competition analysis,Incorrect: Focuses on market solutions.,User analysis,Incorrect: Focuses on user traits/skills.,Task analysis,Correct: Focuses on identifying functionality and analyzing user behavior/actions to optimize workflows.,,,,,4, Task analysis maps out what users do and how the system supports those actions. User analysis defines who they are.,Acceptance Testing for NonFunctional Requirements
Which activity is a typical usage of a Test Management and Automation tool?,multiple-choice,Manage traceability between business process models and business rules,Incorrect: This is handled by BPM/modeling tools.,Traceability between tests and user stories,Incorrect: Typically the domain of requirements or ALM tools.,Analyze defect impact on business processes,Incorrect: This is a business analysis/defect management task.,Manage test execution results,"Correct: A core function of test management tools, including tracking pass/fail status and execution history.",,,,,4," Test management tools are specifically for managing test cases, execution runs, and results.",Acceptance Tests and Experience-Based Practices
Which activity is a typical usage of a Requirements Management tool?,multiple-choice,Description of acceptance criteria,Correct: Acceptance criteria are part of the requirements specification; these tools store and version them.,Traceability between tests and user stories,Incorrect: Usually handled by test management or ALM tools to track coverage.,Analyze defect impact on business processes,Incorrect: Not a primary function of requirements tools.,Model business processes and business rules,Incorrect: Performed using BPM tools (BPMN/DMN).,,,,,1, Requirements management tools are the primary home for requirements documentation and the description of acceptance criteria.,Acceptance Tests and Experience-Based Practices
Which tool type fits the following acceptance test activities BEST?,multiple-choice,Business process management tools for modeling business processes and rules.,"Correct: BPM tools are designed for modeling BPMN and DMN, which are key inputs for acceptance testing.",Test management and automation tools for model-based acceptance test generation.,Incorrect: MBT tools generate tests; Test Management tools manage the execution of those tests.,Requirements management tools for managing acceptance test execution campaigns.,Incorrect: Test execution campaigns belong in test management tools.,Model-based testing tools for managing incidents.,Incorrect: Incidents are managed in defect tracking tools.,,,,,1, Always align the tool to its core artifact: BPM tools = Models; Requirements tools = Criteria; Test Management = Execution.,Business Process and Business Rules Modeling
"At which stage are performance tests (throughput, response time) particularly addressed in acceptance testing?",multiple-choice,During User Acceptance Testing (UAT),Incorrect: Focuses on workflows and usability.,During Operational Acceptance Testing (OAT),"Correct: OAT verifies system operability in production, including performance, load, stress, and recovery.",During Business Acceptance Testing (BAT),Incorrect: Focuses on business value and ROI.,During Beta Acceptance Testing,Incorrect: Provides real-user feedback but is not structured performance validation.,,,,,2," Performance, scalability, and recovery are the primary focus of Operational Acceptance Testing (OAT).",Acceptance Testing for NonFunctional Requirements
"Which workload model is used to simulate a constant, sustained workload over time in performance testing?",multiple-choice,Transient,"Incorrect: Refers to short-lived system phases (warm-up/ramp-up), not a workload model.",Unsteady state,Incorrect: Describes fluctuating conditions. Not a standard model for stable performance validation.,Steady state,"Correct: Represents a constant, sustained load. Used to assess response time and throughput under normal operating conditions.",Equilibrium,Incorrect: Scientific-sounding but not a standard performance testing workload term.,,,,,3," Steady state workload is the model used to simulate constant, production-like load. Other terms like transient or unsteady describe system behaviors rather than models.",Acceptance Testing for NonFunctional Requirements
What mechanism is used to control the time and effort spent in an exploratory testing session?,multiple-choice,Grooming sessions,"Incorrect: Agile ceremony for backlog refinement, not test execution control.",Time-boxed sessions,"Correct: Exploratory testing is managed via time-boxing (e.g., 60–120 mins) to ensure focus while controlling schedule and cost.",Test charter sessions,"Incorrect: The charter defines the scope/goal (what to test), but the time-box controls the duration.",Standup sessions,"Incorrect: Daily coordination meeting for progress, not a control mechanism for testing effort.",,,,,2," In Exploratory Testing, the Charter tells you what to do, while the Time-box tells you how long you have to do it.",Acceptance Tests and Experience-Based Practices
Which statement BEST reflects the correct approach to security acceptance testing?,multiple-choice,Security acceptance testing should focus on high-level scenarios derived from security requirements and criteria.,"Correct: Acceptance testing validates fitness for use via risk-based, high-level scenarios, not deep technical verification of implementations.",Security requirements should be excluded from acceptance testing and validated only after release.,Incorrect: Security is a critical acceptance concern; excluding it creates late-stage business risk.,Detailed low-level security test cases must be executed to validate cryptographic implementations.,"Incorrect: This is specialized security testing, not the purpose of the high-level acceptance phase.",Security acceptance tests must be designed and executed only by specialized security testers.,"Incorrect: Acceptance testing is collaborative (BA, Tester, Stakeholder). Specialized testers may support but not isolate the activity.",,,,,1," Security in acceptance testing is about validating high-level business expectations and risks, not technical pentesting or cryptographic audits.",Acceptance Testing for NonFunctional Requirements
"Which workload model is MOST appropriate to evaluate system behavior under normal, sustained operating conditions?",multiple-choice,Transient,Incorrect: Refers to temporary phases like startup or ramp-down.,Unsteady state,Incorrect: Focuses on varying loads; not used for baseline stable behavior validation.,Steady state,"Correct: Models stable, sustained conditions where the arrival rate equals the completion rate. Perfect for validating NFRs like response time.",Equilibrium,Incorrect: Non-standard terminology. High-frequency exam trap.,,,,,3," Steady state is the baseline model for evaluating performance requirements under normal, stable load.",Acceptance Testing for NonFunctional Requirements
"From a business perspective, which factors are key when specifying performance acceptance criteria?",multiple-choice,The perceived response time reflects the user’s real experience.,"Incorrect: This is the user perspective, focusing on subjective perception.",The latency response time reflects the user’s real experience.,"Incorrect: Latency is a technical measurement, not a business-oriented factor.",Available system resources and architecture are key factors.,Incorrect: This is the technical perspective (infrastructure and resource efficiency).,"The number of concurrent users, transaction types, and expected response times are key factors.","Correct: The business perspective defines the usage profile (who, what, how many) and the resulting SLA/performance goals.",,,,,4, Business perspective = Usage Profiles (Concurrent users + Transactions) + SLAs. User perspective = Perception. Technical perspective = Infrastructure/Latency.,Acceptance Testing for NonFunctional Requirements
Which statement regarding graphical business process models (BPMN) in acceptance testing is TRUE?,multiple-choice,Using decision tables in BPMN allows defining test conditions for business rules.,"Incorrect: Decision tables belong to DMN. BPMN handles process flow, not individual rule logic.","For acceptance testing, graphical business process models should focus on the user workflows to be tested.",Correct: Models should prioritize clarity for the workflows under test to support shared understanding and test derivation.,Business process diagrams must describe the complete workflow in full technical detail.,Incorrect: Excessive detail clutters the model and reduces its value as a communication tool for acceptance.,Business processes should be graphically described using DMN and completed with decision tables.,Incorrect: Reverses the roles. BPMN is for processes; DMN is for decisions.,,,,,2, Always pair BPMN with user workflows and DMN with business decisions. Keep models simple and focused on what is actually being tested.,Business Process and Business Rules Modeling
An organization wants tool support to model business processes and rules and analyze defect impact on those processes. Which tool type BEST supports these usages?,multiple-choice,Test management and automation tool,"Incorrect: Focuses on test cases and execution, not business process modeling or impact analysis.",Agile project management tool,"Incorrect: Used for backlogs and sprint tracking, not for formal business process (BPMN) or rule (DMN) modeling.",Business process management tool,Correct: Specifically designed to model processes (BPMN) and rules (DMN). It allows teams to understand how system defects affect end-to-end business workflows.,Requirements management tool,"Incorrect: Manages documentation and traceability, but does not typically provide executable process modeling or impact analysis.",,,,,3, BPM tools are the primary choice for process and rule modeling (BPMN/DMN) and analyzing business impact. Test and Requirements tools have different lifecycle focuses.,Business Process and Business Rules Modeling
"In ATDD, which statement BEST reflects a principle underlying the use of business process models?",multiple-choice,Business process models mainly serve as abstract templates to group similar test cases.,"Incorrect: This minimizes the role of models; they are meant to drive concrete behavior, not just categorize tests.",Testers derive acceptance tests from the models to demonstrate coverage of relevant business paths.,"Correct: Models express expected behavior. In ATDD, tests are derived from these models to ensure business-relevant paths and rules are validated.",Business process models replace the need for ongoing collaboration with business analysts.,"Incorrect: ATDD is fundamentally collaborative. Models complement communication, they do not replace the Business Analyst.",Business process models are created primarily to generate lifecycle documentation artifacts.,Incorrect: Documentation is a secondary by-product. The primary goal is guiding acceptance decisions and system behavior.,,,,,2," ATDD uses business process models as ""living specifications"" from which acceptance tests are derived to ensure the software matches the required business paths.",Business Process and Business Rules Modeling
An organization wants to derive acceptance tests from business process models and execute them efficiently. Which tool type fits these activities BEST?,multiple-choice,Business process management tools for modeling business processes and rules.,"Incorrect: These focus on the modeling/design phase, not the generation or execution of test campaigns.",Test management and automation tools for business process model-based acceptance test generation.,"Correct: These tools bridge the gap by deriving tests from BPMN/DMN models, managing execution, and reporting results.",Requirements management tools for managing acceptance test execution campaigns.,Incorrect: Requirements tools store criteria and traceability but do not handle test execution or automation.,Model-based testing tools for managing incidents.,"Incorrect: MBT tools derive tests from models, but incident management is handled by defect tracking tools.",,,,,2," To move from a model to an executed test, you need Test Management and Automation tools specifically capable of model-based generation and campaign management.",Acceptance Tests and Experience-Based Practices
ISO/IEC 25010 distinguishes Quality in Use from Product Quality. Which element below is a Quality in Use characteristic?,multiple-choice,Compatibility,Incorrect: This is a Product Quality characteristic (focused on interoperability).,Usability,Incorrect: Usability is a Product Quality characteristic (focused on interface properties). High-frequency exam trap.,Efficiency,"Correct: In the Quality in Use model, Efficiency measures the resources used by a user to achieve goals in a real context.",Portability,Incorrect: This is a Product Quality characteristic (focused on environment adaptation).,,,,,3," The 5 Quality in Use characteristics are: Effectiveness, Efficiency, Satisfaction, Freedom from risk, and Context coverage. Usability is a Product Quality characteristic.",Acceptance Testing for NonFunctional Requirements
The sub-characteristics Modifiability and Testability belong to which ISO/IEC 25010 characteristic?,multiple-choice,Portability,"Incorrect: Focuses on moving the system (adaptability, installability), not changing the code.",Maintainability,Correct: Maintainability covers how easily a system can be changed (Modifiability) and verified (Testability).,Performance efficiency,"Incorrect: Concerned with runtime speed and resource use, not the ease of updating the system.",Compatibility,"Incorrect: Concerned with how systems coexist, not how they are modified or tested.",,,,,2," Maintainability = Modifiability + Testability. If the requirement is about the ease of changing the software or verifying those changes, the answer is Maintainability.",Acceptance Testing for NonFunctional Requirements
Which of the following characteristics is defined in the ISO/IEC 25010 Quality in Use model?,multiple-choice,Engagement,Incorrect: Not a defined ISO term; common UX slang but non-standard for the exam.,Effectivity,"Incorrect: The correct ISO term is ""Effectiveness"". Near-synonyms are common exam distractors.",Satisfaction,"Correct: One of the five specific characteristics. It includes sub-characteristics like Trust, Pleasure, and Comfort.",Productivity,"Incorrect: Often confused with efficiency, but not an officially defined characteristic in this standard.",,,,,3," Always look for the exact five Quality in Use terms: Effectiveness, Efficiency, Satisfaction, Freedom from risk, and Context coverage. Distractors often use similar-sounding words like ""Effectivity"".",Acceptance Testing for NonFunctional Requirements
Which QA activity should be applied during acceptance testing to support go/no-go decisions?,multiple-choice,Cross-browser / cross-platform testing,"Incorrect: This is a test type/technique, typically addressed during system testing, not a high-level QA activity for readiness.",Report and measure,"Correct: Acceptance testing must provide summarized results, trends, and risk assessments to support stakeholder decisions. Aligned with summary reporting.",Traceability,"Incorrect: Important throughout the lifecycle, but is established earlier rather than being the primary QA activity during execution.",Detect bugs in previously tested code,Incorrect: Bug hunting is the goal of system testing. Acceptance testing focuses on validation and readiness.,,,,,2," At the acceptance level, QA is about decision support (reporting and measuring) rather than defect discovery.",Acceptance Tests and Experience-Based Practices
"To ensure the quality of acceptance testing activities, which technique focuses on consistency and alignment between requirements and tests?",multiple-choice,Verification of traceability between user stories and acceptance test cases.,Correct: Directly ensures tests cover requirements and identifies gaps or obsolete tests. This is a core QA activity for process quality.,Review of source code to ensure traceability.,Incorrect: Code reviews are lower-level verification activities. Acceptance testing focuses on behavior and requirements.,Eye-tracking analysis to validate feasibility.,"Incorrect: This is a UX research technique, not a QA technique for test process quality.",Checklist-based verification of requirements.,"Incorrect: This improves requirements quality, not necessarily the quality of the acceptance testing activities.",,,,,1," To ensure the quality of the acceptance test phase itself, focus on the traceability between requirements (user stories) and the test cases.",Acceptance Tests and Experience-Based Practices
Which statement regarding ATDD and BDD is CORRECT?,multiple-choice,"ATDD is associated with Gherkin, while BDD relies on other designs.",Incorrect: Reverses the common relationship. BDD typically uses Gherkin.,"BDD is associated with Gherkin for writing acceptance tests, while ATDD may use different designs.","Correct: BDD uses Given-When-Then (Gherkin) for behavior. ATDD defines tests early but is notation-agnostic (text, tables, or graphs).",Tool-Driven Evaluation (TDE) is associated with Gherkin.,"Incorrect: TDE is a tool assessment method, not a specification notation.",Test-Driven Development (TDD) is associated with Gherkin.,Incorrect: TDD uses unit tests in code; Gherkin is used at the behavior/acceptance level.,,,,,2," BDD = Gherkin focus. ATDD = Process focus (defining tests before code), notation-independent. TDD = Developer/Unit level.",Collaborative Acceptance Testing
What is the primary advantage of Business Analysts and Testers jointly reviewing acceptance criteria?,multiple-choice,The review guarantees higher-quality metrics in test reports.,"Incorrect: This is a secondary, late-stage outcome. The primary benefit happens during design.",The review ensures all non-functional requirements are documented.,"Incorrect: Helps, but does not guarantee; too narrow in scope for the primary benefit.",A shared understanding between BAs and testers reduces ambiguity and supports effective test design.,"Correct: This alignment is the core principle of CT-AcT, ensuring tests accurately reflect business intent and reducing rework.",The review replaces the need for further collaboration.,Incorrect: Collaboration must be continuous; early review does not eliminate the need for later interaction.,,,,,3," The synergy of BA and Tester perspectives creates a ""shared understanding"" that is the foundation for effective acceptance test design.",Collaborative Acceptance Testing
Which Gherkin scenario BEST validates both steady-state and spike behavior for an e-commerce checkout system?,multiple-choice,GIVEN 1000 users WHEN response measured THEN it is 3s.,Incorrect: Only validates a single metric; misses the spike/degradation requirement.,GIVEN steady state of 1000 users WHEN extra user attempts checkout THEN Queue message shown AND response <= 3s.,Correct: Validates the steady-state limit and the business-visible behavior during a spike (graceful degradation).,GIVEN 1000 users WHEN arrival stable THEN resource use is 70%.,Incorrect: Focuses on technical resource metrics rather than user-observable acceptance criteria.,GIVEN spike of 1500 users WHEN equilibrium THEN measure latency.,"Incorrect: Uses non-standard terminology (""equilibrium"") and focuses on technical interfaces.",,,,,2, Performance acceptance tests should describe user-observable behavior (like a Queue message) during both normal and over-limit conditions.,Acceptance Testing for NonFunctional Requirements
"How should issues regarding ""frustrated users"" and ""hard to modify code"" be categorized under ISO/IEC 25010?",multiple-choice,Issue 1 -> Usability; Issue 2 -> Efficiency,"Incorrect: Efficiency is a Quality in Use characteristic, not related to code modifiability.",Both issues -> Product Quality,"Incorrect: Satisfaction (frustration) is a Quality in Use characteristic, not Product Quality.",Issue 1 -> Quality in Use (Satisfaction); Issue 2 -> Product Quality (Maintainability),Correct: User frustration maps to Satisfaction (Quality in Use). Code modifiability maps to Maintainability (Product Quality).,Issue 1 -> Effectiveness; Issue 2 -> Context Coverage,"Incorrect: Effectiveness relates to goal completion, not the feeling of frustration.",,,,,3, Separate the user's experience (Quality in Use) from the system's internal attributes and evolution (Product Quality).,Acceptance Testing for NonFunctional Requirements
